component,source_phase,status,phase25_policy,primary_timeframe_policy,degree_policy,can_be_used_as_rule,can_be_used_as_soft_context,should_remain_experimental,should_be_excluded,methodological_reason,risk_if_used_wrong,required_next_step
H4/D1 count-only,2.3.4,ready_for_phase25_design,primary_visual_base,H4 primary with D1 context,intermediate primary; major context,yes_soft_rule,yes,no,no,"H4/D1 closure exists with decisions {'exclude_from_phase25_rules': 27, 'keep_as_ambiguous_example': 10, 'keep_as_negative_example': 9, 'keep_as_good_example': 8}. It is the cleanest visual scale.",Using downgraded or ambiguous H4 counts as clean rules.,Use only keep/good or explicit ambiguous labels in guided search.
H1/H4 auxiliary,2.4.2 / 2.3.3,auxiliary_only,case_bank_and_substructure,auxiliary below H4,intermediate auxiliary,no,yes,no,no,"Useful for substructure and failure-bank, but less stable than H4/D1.",Promoting low timeframe microstructure to primary Elliott structure.,Keep separate from H4/D1 decisions.
M30/H1 auxiliary,2.4.2 / 2.3.3,microstructure_auxiliary,microstructure_only,not primary,minor/intermediate only as substructure,no,yes_limited,yes,no,Manual review found many micro/lateral cases. It is useful mainly to expose failure modes.,Over-reading small noisy swings as full Elliott waves.,"Use for diagnostics, not for Phase 2.5 primary rules."
intermediate degree,1.6 / 2.3.3,preferred,primary_degree,H4/D1 primary; H1/H4 auxiliary,intermediate,yes_soft_rule,yes,no,no,"Degree calibration selected intermediate as best compromise, especially on H4/D1.",Treating it as exact objective Elliott degree rather than visual scale.,Use as default degree in Phase 2.5 prototype.
major degree,1.6 / 2.3.3,context_or_higher_degree,higher_degree_context,context for H4/D1,major,no,yes,no,no,"Major is useful as context, but degree overlap remains {'minor_substructure_only': 14, 'intermediate_primary_candidate': 14, 'degree_too_micro': 10, 'degree_not_discriminative': 7, 'major_context': 6, 'major_operable_higher_degree': 3}.",Assuming every major count is more valid than intermediate by construction.,Use as context or higher-degree candidate with explicit label.
minor degree,1.6 / 2.3.3,substructure_only,substructure_or_failure_bank,not primary,minor,no,yes_limited,yes,no,"Often too micro for principal Elliott count, though it can show internal waves.",Letting minor dominate the main WaveCount state.,Keep as substructure with microstructure warning.
clean impulses,2.3.4,usable,candidate_rule_input,H4/D1 primary,intermediate preferred,yes_soft_rule,yes,no,no,Clean/defensible impulses are the strongest WaveCount input after visual closure.,Turning visual quality into profitability claim or signal.,"Feed to Phase 2.5 as candidate structure, not trade signal."
provisional impulses,2.3.1 / 2.3.4,usable_with_uncertainty,provisional_context,H4/D1 primary,intermediate or higher-degree subwave,no,yes,no,no,Wave 5 diagnostics diagnosed 42 candidates and showed endpoint uncertainty should not invalidate aggressively.,Closing wave 5 too early or invalidating good subwaves too aggressively.,Carry endpoint uncertainty and higher-degree subwave labels.
partial 1-2-3,2.3.2,provisional_only,context_only,H4/D1 preferred; lower TF auxiliary,intermediate preferred,no,yes,no,no,Partial audit diagnosed 24 candidates; partials must stay provisional.,Treating three alternating swings as a complete impulse or entry signal.,Require wave-3 displacement and post-3 diagnostics in Phase 2.5.
wave5 endpoint uncertainty,2.3.1,diagnostic_ready,uncertainty_label,all visual timeframes,all degrees,no,yes,no,no,It captures whether a local impulse may continue or belong to a higher-degree wave.,Reading uncertainty as failure instead of provisionality.,"Keep as diagnostic label, not hard invalidation."
ABC visual quality,2.4.3,limited,manual_or_experimental,H4/D1 preferred,intermediate preferred,no,yes_limited,yes,no,"Visual ABC quality alone gave {'exclude_from_phase25': 1, 'keep_experimental': 1, 'usable_as_soft_context': 1, 'usable_only_manual_review': 1, 'overall_decision': 1}; isolated ABC is insufficient.",Accepting a clean 0-A-B-C as correction without knowing what it corrects.,Use only after contextual correction policy.
ABC contextual correction,2.4.4,usable_limited,soft_context_only,H4/D1 preferred; H1 auxiliary examples,intermediate preferred,no,yes,yes_limited,no,"Contextual correction policy produced {'exclude_not_correction': 12, 'manual_contextual_review_only': 8, 'experimental_unknown_parent': 5, 'usable_contextual_correction': 4}; only parent/context-supported corrections are usable.",Letting context rescue visually bad ABC or treating unknown-parent ABC as rules.,Require parent/context field before any Phase 2.5 use.
EMA 50/150 context,2.4.2,ready_as_soft_context,soft_quality_filter,H4 with D1 context,not degree-specific,yes_soft_rule,yes,no,no,"EMAs help regime, transition and ambiguity; price inside band should raise ambiguity.",Using EMA alignment as hard acceptance/rejection of counts.,"Use as score/penalty, never as standalone validation."
EWO 5-35 context,2.4.2,ready_as_soft_context,momentum_role_support,H4 with D1 context,not degree-specific,yes_soft_rule,yes,no,no,"EWO helps wave-role interpretation: wave 3 expansion, wave 5 loss/divergence, corrections.",Treating EWO as signal or forcing labels from oscillator shape.,"Use as explanatory feature, not hard rule."
HTF/D1 context,2.4.2,ready_as_soft_context,regime_context,D1 for H4,major/intermediate context,yes_soft_rule,yes,no,no,"D1 helps distinguish impulse, correction and transition, but can lag.",Using HTF to rescue downgraded counts or reject valid transitions.,"Use conflict labels: transition, explainable conflict, suspicious conflict."
correction alternation,2.4.4,future_soft_note,not_ready_as_rule,requires comparable wave 2 and 4 context,higher-degree context required,no,yes_limited,yes,no,Alternation is meaningful only when wave 2 and wave 4 are both contextualized.,Applying alternation without confirmed comparable corrections.,Leave as note until correction model is redesigned.
complex corrections,2.4.4,future_work,exclude_from_phase25_rules,not applicable,not applicable,no,no,yes,yes,Zigzag/flat/triangle/combination taxonomy is not implemented yet.,Pretending simple ABC covers all Elliott corrections.,Separate redesign after Phase 2.5 prototype if needed.
