candidate_id,symbol,timeframe,swing_degree,abc_visual_status,abc_quality_score,phase25_abc_policy_previous,scope,parent_context_status,parent_candidate_id,parent_wave_context,parent_direction,parent_gap_bars,abc_direction,abc_vs_parent_direction,correction_role,correction_type_simple,alternation_quality,alternation_notes,contextual_correction_quality,contextual_policy,should_enter_phase25_as_context,should_user_review,trend_context_label,context_score,htf_timeframe,htf_trend_state,htf_lookahead_safe,notes,source_chart_path,previous_reviewed_chart_path,reviewed_chart_path
abc_metals_xagusd_h4_intermediate_abc_003,XAGUSD.r,H4,intermediate,not_clean_abc,2,exclude_from_phase25,phase2_3_fixed,htf_regime_context_only,,htf_regime_context,bullish,,bullish,with_parent,not_a_correction_impulsive_sequence,not_a_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,rejected,exclude_not_correction,no,yes,impulse_with_htf,85,D1,bullish_alignment,yes,"Previous=exclude_from_phase25; visual=not_clean_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png
abc_forex_audjpy_h4_intermediate_abc_005,AUDJPY.r,H4,intermediate,not_clean_abc,2,keep_experimental,phase2_3_fixed,direct_parent_candidate,partial_123_forex_audjpy_h4_intermediate_partial123_002,prior_partial_123,bearish,0.0,bullish,counter_parent,not_a_correction_impulsive_sequence,not_a_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,rejected,exclude_not_correction,no,yes,impulse_with_htf,85,D1,bullish_alignment,yes,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=partial_123; decision=exclude_from_phase25_rules. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png
abc_metals_xagusd_h4_minor_abc_003,XAGUSD.r,H4,minor,not_clean_abc,2,exclude_from_phase25,phase2_3_fixed,htf_regime_context_only,,htf_regime_context,bullish,,bullish,with_parent,not_a_correction_impulsive_sequence,not_a_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,rejected,exclude_not_correction,no,yes,impulse_with_htf,85,D1,bullish_alignment,yes,"Previous=exclude_from_phase25; visual=not_clean_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_030_abc_metals_xagusd_h4_minor_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_030_abc_metals_xagusd_h4_minor_abc_003.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_030_abc_metals_xagusd_h4_minor_abc_003.png
abc_index_aus200_h4_minor_abc_005,AUS200,H4,minor,visually_forced_abc,2,exclude_from_phase25,phase2_3_fixed,htf_regime_context_only,,htf_regime_context,bullish,,bullish,with_parent,not_a_correction_impulsive_sequence,not_a_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,rejected,exclude_not_correction,no,yes,impulse_with_htf,85,D1,mixed_or_unclear,yes,"Previous=exclude_from_phase25; visual=visually_forced_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=mixed_or_unclear. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_031_abc_index_aus200_h4_minor_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_031_abc_index_aus200_h4_minor_abc_005.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_031_abc_index_aus200_h4_minor_abc_005.png
abc_forex_audjpy_h4_minor_abc_005,AUDJPY.r,H4,minor,not_clean_abc,2,exclude_from_phase25,phase2_3_fixed,direct_parent_candidate,partial_123_forex_audjpy_h4_intermediate_partial123_002,prior_partial_123,bearish,0.0,bullish,counter_parent,not_a_correction_impulsive_sequence,not_a_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,rejected,exclude_not_correction,no,yes,impulse_with_htf,85,D1,bullish_alignment,yes,"Previous=exclude_from_phase25; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=partial_123; decision=exclude_from_phase25_rules. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_032_abc_forex_audjpy_h4_minor_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_032_abc_forex_audjpy_h4_minor_abc_005.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_032_abc_forex_audjpy_h4_minor_abc_005.png
abc_metals_xagusd_h4_major_abc_003,XAGUSD.r,H4,major,not_clean_abc,3,keep_experimental,phase2_3_fixed,distant_parent_candidate,impulse_metals_xagusd_h4_minor_impulse_001,prior_full_impulse,bullish,47.0,bullish,with_parent,not_a_correction_impulsive_sequence,not_a_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,rejected,exclude_not_correction,no,yes,impulse_with_htf,60,D1,bullish_alignment,yes,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=impulse; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_034_abc_metals_xagusd_h4_major_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_034_abc_metals_xagusd_h4_major_abc_003.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_034_abc_metals_xagusd_h4_major_abc_003.png
abc_forex_audjpy_h4_major_abc_005,AUDJPY.r,H4,major,not_clean_abc,3,keep_experimental,phase2_3_fixed,distant_parent_candidate,impulse_forex_audjpy_h4_minor_impulse_005,prior_full_impulse,bullish,55.0,bullish,with_parent,not_a_correction_impulsive_sequence,not_a_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,rejected,exclude_not_correction,no,yes,impulse_with_htf,85,D1,bullish_alignment,yes,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=impulse; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_036_abc_forex_audjpy_h4_major_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_036_abc_forex_audjpy_h4_major_abc_005.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_036_abc_forex_audjpy_h4_major_abc_005.png
abc_forex_audjpy_h1_intermediate_abc_009,AUDJPY.r,H1,intermediate,plausible_abc,3,usable_only_manual_review,phase2_3_fixed,distant_parent_candidate,partial_123_forex_audjpy_h1_minor_partial123_007,prior_partial_123,bullish,42.0,bullish,with_parent,not_a_correction_impulsive_sequence,not_a_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,rejected,exclude_not_correction,no,yes,,,,,,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h1_025_abc_forex_audjpy_h1_intermediate_abc_009.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h1_h1_025_abc_forex_audjpy_h1_intermediate_abc_009.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_025_abc_forex_audjpy_h1_intermediate_abc_009.png
abc_forex_audjpy_h1_intermediate_abc_011,AUDJPY.r,H1,intermediate,plausible_abc,3,usable_only_manual_review,phase2_3_fixed,distant_parent_candidate,partial_123_forex_audjpy_h1_minor_partial123_007,prior_partial_123,bullish,100.0,bullish,with_parent,not_a_correction_impulsive_sequence,not_a_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,rejected,exclude_not_correction,no,yes,,,,,,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h1_028_abc_forex_audjpy_h1_intermediate_abc_011.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h1_h1_028_abc_forex_audjpy_h1_intermediate_abc_011.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_028_abc_forex_audjpy_h1_intermediate_abc_011.png
abc_forex_audjpy_h1_minor_abc_013,AUDJPY.r,H1,minor,plausible_abc,3,keep_experimental,phase2_3_fixed,distant_parent_candidate,partial_123_forex_audjpy_h1_minor_partial123_007,prior_partial_123,bullish,42.0,bullish,with_parent,not_a_correction_impulsive_sequence,not_a_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,rejected,exclude_not_correction,no,yes,,,,,,"Previous=keep_experimental; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h1_032_abc_forex_audjpy_h1_minor_abc_013.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h1_h1_032_abc_forex_audjpy_h1_minor_abc_013.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_032_abc_forex_audjpy_h1_minor_abc_013.png
