candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,phase,fixed_chart_path,abc_interpretation
abc_forex_audjpy_h4_intermediate_abc_002,abc,candidate_counts,forex_audjpy_h4_intermediate_abc_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bearish,candidate_abc,abc,2.0,5.0,2025-12-10 08:00:00,2025-12-17 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,25,h4,charts\after_phase2_3\h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png,candidate_abc_visual_review_only
abc_metals_xagusd_h4_intermediate_abc_003,abc,candidate_counts,metals_xagusd_h4_intermediate_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,candidate_abc,abc,3.0,6.0,2025-12-19 04:00:00,2025-12-29 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,26,h4,charts\after_phase2_3\h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,candidate_abc_visual_review_only
abc_index_aus200_h4_intermediate_abc_006,abc,candidate_counts,index_aus200_h4_intermediate_abc_006,index_aus200_h4,Index,AUS200,H4,intermediate,bearish,candidate_abc,abc,6.0,9.0,2025-12-23 12:00:00,2026-01-07 16:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,27,h4,charts\after_phase2_3\h4_027_abc_index_aus200_h4_intermediate_abc_006.png,candidate_abc_visual_review_only
abc_forex_audjpy_h4_intermediate_abc_005,abc,candidate_counts,forex_audjpy_h4_intermediate_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,candidate_abc,abc,5.0,8.0,2025-12-17 00:00:00,2026-01-07 04:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,28,h4,charts\after_phase2_3\h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,candidate_abc_visual_review_only
abc_forex_audjpy_h4_minor_abc_002,abc,candidate_counts,forex_audjpy_h4_minor_abc_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bearish,candidate_abc,abc,2.0,5.0,2025-12-10 08:00:00,2025-12-17 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,29,h4,charts\after_phase2_3\h4_029_abc_forex_audjpy_h4_minor_abc_002.png,candidate_abc_visual_review_only
abc_metals_xagusd_h4_minor_abc_003,abc,candidate_counts,metals_xagusd_h4_minor_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,candidate_abc,abc,3.0,6.0,2025-12-19 04:00:00,2025-12-24 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,30,h4,charts\after_phase2_3\h4_030_abc_metals_xagusd_h4_minor_abc_003.png,candidate_abc_visual_review_only
abc_index_aus200_h4_minor_abc_005,abc,candidate_counts,index_aus200_h4_minor_abc_005,index_aus200_h4,Index,AUS200,H4,minor,bullish,candidate_abc,abc,5.0,8.0,2025-12-18 00:00:00,2025-12-23 12:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,31,h4,charts\after_phase2_3\h4_031_abc_index_aus200_h4_minor_abc_005.png,candidate_abc_visual_review_only
abc_forex_audjpy_h4_minor_abc_005,abc,candidate_counts,forex_audjpy_h4_minor_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,candidate_abc,abc,5.0,8.0,2025-12-17 00:00:00,2025-12-22 08:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,32,h4,charts\after_phase2_3\h4_032_abc_forex_audjpy_h4_minor_abc_005.png,candidate_abc_visual_review_only
abc_forex_audjpy_h4_major_abc_003,abc,candidate_counts,forex_audjpy_h4_major_abc_003,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,major,bullish,candidate_abc,abc,3.0,6.0,2025-12-17 00:00:00,2026-01-14 04:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,33,h4,charts\after_phase2_3\h4_033_abc_forex_audjpy_h4_major_abc_003.png,candidate_abc_visual_review_only
abc_metals_xagusd_h4_major_abc_003,abc,candidate_counts,metals_xagusd_h4_major_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,major,bullish,candidate_abc,abc,3.0,6.0,2025-12-31 20:00:00,2026-01-20 12:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,34,h4,charts\after_phase2_3\h4_034_abc_metals_xagusd_h4_major_abc_003.png,candidate_abc_visual_review_only
abc_index_aus200_h4_major_abc_006,abc,candidate_counts,index_aus200_h4_major_abc_006,index_aus200_h4,Index,AUS200,H4,major,bearish,candidate_abc,abc,6.0,9.0,2025-12-23 12:00:00,2026-01-07 16:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,35,h4,charts\after_phase2_3\h4_035_abc_index_aus200_h4_major_abc_006.png,candidate_abc_visual_review_only
abc_forex_audjpy_h4_major_abc_005,abc,candidate_counts,forex_audjpy_h4_major_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,major,bullish,candidate_abc,abc,5.0,8.0,2026-01-02 00:00:00,2026-01-23 08:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,36,h4,charts\after_phase2_3\h4_036_abc_forex_audjpy_h4_major_abc_005.png,candidate_abc_visual_review_only
abc_forex_audjpy_h1_intermediate_abc_009,abc,candidate_counts,forex_audjpy_h1_intermediate_abc_009,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,candidate_abc,abc,9.0,12.0,2026-03-06 16:00:00,2026-03-09 22:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,25,h1,charts\after_phase2_3\h1_025_abc_forex_audjpy_h1_intermediate_abc_009.png,candidate_abc_visual_review_only
abc_metals_xagusd_h1_intermediate_abc_003,abc,candidate_counts,metals_xagusd_h1_intermediate_abc_003,metals_xagusd_h1,Metals,XAGUSD.r,H1,intermediate,bearish,candidate_abc,abc,3.0,6.0,2026-03-02 01:00:00,2026-03-03 13:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,26,h1,charts\after_phase2_3\h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png,candidate_abc_visual_review_only
abc_index_aus200_h1_intermediate_abc_004,abc,candidate_counts,index_aus200_h1_intermediate_abc_004,index_aus200_h1,Index,AUS200,H1,intermediate,bearish,candidate_abc,abc,4.0,7.0,2026-02-27 11:00:00,2026-03-03 17:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,27,h1,charts\after_phase2_3\h1_027_abc_index_aus200_h1_intermediate_abc_004.png,candidate_abc_visual_review_only
abc_forex_audjpy_h1_intermediate_abc_011,abc,candidate_counts,forex_audjpy_h1_intermediate_abc_011,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,candidate_abc,abc,11.0,14.0,2026-03-09 02:00:00,2026-03-11 18:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,28,h1,charts\after_phase2_3\h1_028_abc_forex_audjpy_h1_intermediate_abc_011.png,candidate_abc_visual_review_only
abc_forex_audjpy_h1_minor_abc_007,abc,candidate_counts,forex_audjpy_h1_minor_abc_007,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,candidate_abc,abc,7.0,10.0,2026-03-03 17:00:00,2026-03-04 22:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,29,h1,charts\after_phase2_3\h1_029_abc_forex_audjpy_h1_minor_abc_007.png,candidate_abc_visual_review_only
abc_metals_xagusd_h1_minor_abc_002,abc,candidate_counts,metals_xagusd_h1_minor_abc_002,metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bullish,candidate_abc,abc,2.0,5.0,2026-02-26 01:00:00,2026-03-02 01:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,30,h1,charts\after_phase2_3\h1_030_abc_metals_xagusd_h1_minor_abc_002.png,candidate_abc_visual_review_only
abc_index_aus200_h1_minor_abc_006,abc,candidate_counts,index_aus200_h1_minor_abc_006,index_aus200_h1,Index,AUS200,H1,minor,bearish,candidate_abc,abc,6.0,9.0,2026-03-02 07:00:00,2026-03-03 17:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,31,h1,charts\after_phase2_3\h1_031_abc_index_aus200_h1_minor_abc_006.png,candidate_abc_visual_review_only
abc_forex_audjpy_h1_minor_abc_013,abc,candidate_counts,forex_audjpy_h1_minor_abc_013,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,candidate_abc,abc,13.0,16.0,2026-03-06 16:00:00,2026-03-09 22:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,32,h1,charts\after_phase2_3\h1_032_abc_forex_audjpy_h1_minor_abc_013.png,candidate_abc_visual_review_only
abc_forex_audjpy_h1_major_abc_007,abc,candidate_counts,forex_audjpy_h1_major_abc_007,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,major,bullish,candidate_abc,abc,7.0,10.0,2026-03-05 19:00:00,2026-03-11 18:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,33,h1,charts\after_phase2_3\h1_033_abc_forex_audjpy_h1_major_abc_007.png,candidate_abc_visual_review_only
abc_metals_xagusd_h1_major_abc_006,abc,candidate_counts,metals_xagusd_h1_major_abc_006,metals_xagusd_h1,Metals,XAGUSD.r,H1,major,bullish,candidate_abc,abc,6.0,9.0,2026-03-06 01:00:00,2026-03-10 05:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,34,h1,charts\after_phase2_3\h1_034_abc_metals_xagusd_h1_major_abc_006.png,candidate_abc_visual_review_only
