candidate_id,chart_path,chart_path,review_category,symbol,timeframe,swing_degree,direction,trend_context_label,context_score,visual_review_status,visual_quality_score,visual_quality_raw,ema_context_usefulness,ewo_context_usefulness,htf_ltf_context_usefulness,inferred_wave_role_from_ewo,likely_problem_if_any,should_user_review,user_review_priority,suggested_action,visual_notes,ewo_rule_assessment,review_trigger,candidate_order
impulse_forex_audjpy_h1_minor_impulse_013,charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,impulse,AUDJPY.r,H1,minor,bullish,impulse_with_htf,85,visually_defensible,5,82,useful,useful_for_wave_role,useful,bullish impulse with late momentum peak,wave 5 may be the strongest leg instead of wave 3,no,low,keep_as_good_example,Natural bullish 1-2-3-4-5 after EMA compression; 3 and 5 ride above EMA50/150 and HTF agrees. Count is defensible but the final high looks more like the momentum climax than a clean weaker fifth.,usable_soft_rule,,1
impulse_metals_xagusd_h1_minor_impulse_019,charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,impulse,XAGUSD.r,H1,minor,bearish,conflict_with_htf,0,visually_forced,2,30,partially_useful,unclear,conflict_suspicious,weak bearish submove after bullish EWO phase,labels compress a choppy pullback into five waves,yes,high,use_as_negative_example,Bearish count sits inside noisy sideways decline after a bullish rebound; 0-2 are crowded and 3-5 do not separate cleanly. EMA context is bearish locally but HTF conflict and weak structure make it poor for rules.,too_noisy,conflict_with_htf|low_visual_quality,2
impulse_index_aus200_h1_minor_impulse_006,charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,impulse,AUS200,H1,minor,bearish,correction_against_htf,60,visually_defensible,4,78,useful,useful_for_wave_role,conflict_explains_case,bearish wave 3 momentum confirmation,HTF bullish conflict makes it a countertrend impulse,yes,medium,possible_rule_candidate,The bearish 1-2-3-4-5 is visually coherent: wave 3 is the sharp break under both EMAs and wave 5 extends lower. Context says correction against HTF rather than clean trend continuation.,usable_soft_rule,context_contradiction_but_visual_good,3
impulse_forex_audjpy_h1_minor_impulse_015,charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png,charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png,impulse,AUDJPY.r,H1,minor,bullish,impulse_with_htf,65,visually_defensible,5,88,useful,useful_for_wave_role,useful,bullish impulse with EWO crest near 3-5 zone,minor ambiguity between wave 3 and extended wave 5,yes,medium,keep_as_good_example,"Best AUDJPY minor example in this block: 0-1-2 launches from basing area, wave 3 breaks trend cleanly and 4 is shallow. EMAs and HTF support the bullish reading.",usable_soft_rule,top_positive_methodology_example,4
impulse_forex_audjpy_h1_intermediate_impulse_009,charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,impulse,AUDJPY.r,H1,intermediate,bullish,impulse_with_htf,65,visually_defensible,4,80,useful,useful_for_wave_role,useful,bullish expansion with sustained positive EWO,intermediate scale may overmerge minor swings,no,low,keep_as_good_example,"Same rally works at intermediate scale, with a reasonable 1-2 base and strong continuation to 5. EWO is positive through the advance, though the strongest oscillator reading arrives late.",usable_soft_rule,,5
impulse_metals_xauusd_h1_intermediate_impulse_013,charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png,charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png,impulse,XAUUSD.r,H1,intermediate,bearish,correction_against_htf,60,plausible_but_needs_review,4,61,useful,useful_for_wave_role,conflict_explains_case,bearish impulse after failed rebound,wave 4 to 5 spans too much later chop,yes,medium,inspect_manually_before_phase_2_5,"Bearish direction is supported by EMAs and later price action, but the fifth is selected far after the first decline and feels stitched across congestion. Useful as a counter-HTF case, not a clean template.",promising_but_needs_review,context_contradiction_but_visual_good,6
impulse_index_aus200_h1_intermediate_impulse_004,charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,impulse,AUS200,H1,intermediate,bearish,correction_against_htf,60,plausible_but_needs_review,4,72,useful,useful_for_wave_role,conflict_explains_case,bearish third-wave selloff,0-1-2 placement is visually awkward,yes,medium,possible_rule_candidate,"The major drop into wave 3 is convincing and EWO goes deeply negative, but the first two waves are cramped around the top. Keep for review as a bearish correction against bullish HTF.",promising_but_needs_review,context_contradiction_but_visual_good,7
impulse_forex_eurjpy_m30_intermediate_impulse_005,charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,impulse,EURJPY.r,M30,intermediate,bearish,impulse_with_htf,85,plausible_but_needs_review,4,76,useful,useful_for_wave_role,useful,bearish wave 3 momentum trough,wave 5 is delayed after a broad corrective stretch,yes,medium,possible_rule_candidate,"Bearish count is mostly natural: wave 3 is the momentum break below EMAs and 4 is a clear rebound. The fifth low is distant and lower-momentum, which is plausible Elliott behavior but needs manual acceptance.",usable_soft_rule,,8
impulse_metals_xagusd_h1_major_impulse_009,charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png,charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png,impulse,XAGUSD.r,H1,major,bearish,impulse_with_htf,85,plausible_but_needs_review,4,74,useful,useful_for_wave_role,useful,bearish continuation with negative EWO after wave 2,wave 3 and 5 are visually separated by noisy consolidation,yes,medium,possible_rule_candidate,Large bearish structure is coherent and aligned with EMA/HTF context. It is less clean than AUS200 because the middle segment contains overlapping chop before the final low.,promising_but_needs_review,,9
impulse_index_aus200_h1_major_impulse_002,charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,impulse,AUS200,H1,major,bearish,correction_against_htf,60,visually_defensible,4,80,useful,useful_for_wave_role,conflict_explains_case,bearish impulse with deep negative EWO,HTF conflict means it should be labelled countertrend,yes,medium,possible_rule_candidate,Good bearish five-wave candidate: sharp wave 3 visible wave 4 rebound and lower wave 5. The oscillator supports bearish momentum but HTF bullish context should prevent treating it as a clean aligned setup.,usable_soft_rule,context_contradiction_but_visual_good,10
