step_id,action,phase,notes
A1,create target artifact folders,future_migration,no data changes
A2,move/copy only current canonical and auxiliary artifacts first,future_migration,preserve old paths until validated
A3,rewrite CSV chart_path fields to new locations,future_migration,required before using moved artifacts
A4,regenerate Markdown image indexes,future_migration,use existing index builder or new reorg helper
A5,move historical material to 99_superseded or leave documented,future_migration,no deletion
B1,create docs/wavecount/INDEX.md,future_migration,safe first docs step
B2,move docs only after index/redirect plan,future_migration,avoid breaking current references
C1,validate all image refs and run_meta paths,future_validation,must be zero broken current refs
C2,run py_compile and WaveCount tests if code/docs helpers touched,future_validation,no backtests
C3,git diff --check,future_validation,final hygiene
