candidate_id,abc_visual_status,phase25_abc_policy_previous,correction_role,contextual_correction_quality,contextual_policy,notes,reviewed_chart_path
abc_forex_audjpy_h4_intermediate_abc_002,clean_abc,usable_as_soft_context,standalone_countertrend_correction,strong,usable_contextual_correction,"Previous=usable_as_soft_context; visual=clean_abc; Uses HTF regime only; trend_context_label=correction_against_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png
abc_metals_xagusd_h4_intermediate_abc_003,not_clean_abc,exclude_from_phase25,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=exclude_from_phase25; visual=not_clean_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png
abc_index_aus200_h4_intermediate_abc_006,ambiguous_correction,usable_only_manual_review,possible_wave4_correction,medium,manual_contextual_review_only,"Previous=usable_only_manual_review; visual=ambiguous_correction; Parent from h4_d1_visual_closure; category=partial_123; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_027_abc_index_aus200_h4_intermediate_abc_006.png
abc_forex_audjpy_h4_intermediate_abc_005,not_clean_abc,keep_experimental,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=partial_123; decision=exclude_from_phase25_rules. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png
abc_forex_audjpy_h4_minor_abc_002,plausible_abc,usable_only_manual_review,standalone_countertrend_correction,medium,manual_contextual_review_only,"Previous=usable_only_manual_review; visual=plausible_abc; Uses HTF regime only; trend_context_label=correction_against_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_029_abc_forex_audjpy_h4_minor_abc_002.png
abc_metals_xagusd_h4_minor_abc_003,not_clean_abc,exclude_from_phase25,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=exclude_from_phase25; visual=not_clean_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_030_abc_metals_xagusd_h4_minor_abc_003.png
abc_index_aus200_h4_minor_abc_005,visually_forced_abc,exclude_from_phase25,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=exclude_from_phase25; visual=visually_forced_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=mixed_or_unclear. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_031_abc_index_aus200_h4_minor_abc_005.png
abc_forex_audjpy_h4_minor_abc_005,not_clean_abc,exclude_from_phase25,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=exclude_from_phase25; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=partial_123; decision=exclude_from_phase25_rules. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_032_abc_forex_audjpy_h4_minor_abc_005.png
abc_forex_audjpy_h4_major_abc_003,ambiguous_correction,keep_experimental,possible_wave4_correction,medium,manual_contextual_review_only,"Previous=keep_experimental; visual=ambiguous_correction; Parent from h4_d1_visual_closure; category=partial_123; decision=exclude_from_phase25_rules. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_033_abc_forex_audjpy_h4_major_abc_003.png
abc_metals_xagusd_h4_major_abc_003,not_clean_abc,keep_experimental,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=impulse; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_034_abc_metals_xagusd_h4_major_abc_003.png
