candidate_id,resolved_market_group,source_scope,symbol,timeframe,swing_degree,review_category,phase256_policy_bucket,phase259_candidate_bucket,phase259_bucket_change_vs_256,phase256_score,phase259_candidate_score,phase259_score_delta_vs_256,phase259_prominence_diagnostic,percentile_scope_used,robust_prominence_percentile,phase259_policy_reason,phase259_policy_warning,chart_path
impulse_exp257_metals_xageurr_h4_minor_impulse_012,Metals,h4_d1,XAGEUR.r,H4,minor,impulse,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,50.0,42.0,-8.0,true_low_prominence,symbol_timeframe_degree,0.2,Low prominence confirmed; no quality upgrade allowed.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png
impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,Metals,h4_d1,XAGEUR.r,H4,intermediate,impulse,visual_watchlist_low_prominence,candidate_visual_watchlist_low_prominence,unchanged,54.0,46.0,-8.0,true_low_prominence,symbol_timeframe_degree,0.2,Low prominence remains confirmed; watchlist is retained.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png
impulse_exp257_metals_xageurr_h4_major_impulse_030,Metals,h4_d1,XAGEUR.r,H4,major,impulse,usable_provisional_structure,candidate_usable_provisional_structure,unchanged,67.0,70.0,3.0,robust_prominence_confirmed,symbol_timeframe_degree,1.0,Robust prominence confirms existing scale; no automatic bucket upgrade is required.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\010_impulse_exp257_metals_xageurr_h4_major_impulse_030.png
partial_123_exp257_metals_xageurr_h4_intermediate_partial123_002,Metals,h4_d1,XAGEUR.r,H4,intermediate,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.6,Candidate policy keeps 2.5.6-compatible baseline bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,
partial_123_exp257_metals_xageurr_h4_minor_partial123_002,Metals,h4_d1,XAGEUR.r,H4,minor,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.7,Candidate policy keeps 2.5.6-compatible baseline bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\018_partial_123_exp257_metals_xageurr_h4_minor_partial123_002.png
partial_123_exp257_metals_xageurr_h4_major_partial123_002,Metals,h4_d1,XAGEUR.r,H4,major,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.4,Candidate policy keeps 2.5.6-compatible baseline bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\022_partial_123_exp257_metals_xageurr_h4_major_partial123_002.png
abc_exp257_metals_xageurr_h4_intermediate_abc_002,Metals,h4_d1,XAGEUR.r,H4,intermediate,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.6,Candidate policy keeps 2.5.6-compatible baseline bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\026_abc_exp257_metals_xageurr_h4_intermediate_abc_002.png
abc_exp257_metals_xageurr_h4_minor_abc_002,Metals,h4_d1,XAGEUR.r,H4,minor,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.7,Candidate policy keeps 2.5.6-compatible baseline bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\030_abc_exp257_metals_xageurr_h4_minor_abc_002.png
abc_exp257_metals_xageurr_h4_major_abc_002,Metals,h4_d1,XAGEUR.r,H4,major,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.4,Candidate policy keeps 2.5.6-compatible baseline bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\034_abc_exp257_metals_xageurr_h4_major_abc_002.png
near_miss_exp257_metals_xageurr_h4_intermediate_impulse_002,Metals,h4_d1,XAGEUR.r,H4,intermediate,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,8.0,8.0,window_distorted_low_prominence,symbol_timeframe_degree,0.6,"Prominence improves, but exclusion is retained because structure/context is not safe to rescue.",2.5.9 is a candidate policy only; it does not replace 2.5.6. Metals improvement remains diagnostic/watchlist until manual confirmation.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\038_near_miss_exp257_metals_xageurr_h4_intermediate_impulse_002.png
