source_scope,context_metric,context_label,profile_class,case_count
h4_d1_expansion,ema_htf_helpfulness,explains_correction,near_miss,4
h4_d1_expansion,ema_htf_helpfulness,explains_correction,no,6
h4_d1_expansion,ema_htf_helpfulness,misleading,no,5
h4_d1_expansion,ema_htf_helpfulness,supports_context,near_miss,5
h4_d1_expansion,ema_htf_helpfulness,supports_context,no,31
h4_d1_expansion,ema_htf_helpfulness,supports_context,yes,3
h1_h4_auxiliary,ema_htf_helpfulness,explains_correction,near_miss_aux,5
h1_h4_auxiliary,ema_htf_helpfulness,explains_correction,no,12
h1_h4_auxiliary,ema_htf_helpfulness,misleading,no,4
h1_h4_auxiliary,ema_htf_helpfulness,supports_context,near_miss_aux,3
h1_h4_auxiliary,ema_htf_helpfulness,supports_context,no,26
h1_h4_auxiliary,ema_htf_helpfulness,supports_context,yes_aux,4
phase2_5_0_all_candidates,htf_ltf_alignment_label,conflict_explained,exclude,2
phase2_5_0_all_candidates,htf_ltf_alignment_label,conflict_explained,high_quality_context,2
phase2_5_0_all_candidates,htf_ltf_alignment_label,conflict_suspicious,exclude,11
phase2_5_0_all_candidates,htf_ltf_alignment_label,conflict_suspicious,experimental_only,2
phase2_5_0_all_candidates,htf_ltf_alignment_label,conflict_suspicious,usable_but_provisional,3
phase2_5_0_all_candidates,htf_ltf_alignment_label,correction_against_htf,exclude,13
phase2_5_0_all_candidates,htf_ltf_alignment_label,correction_against_htf,experimental_only,3
phase2_5_0_all_candidates,htf_ltf_alignment_label,correction_against_htf,high_quality_context,4
phase2_5_0_all_candidates,htf_ltf_alignment_label,correction_against_htf,usable_but_provisional,2
phase2_5_0_all_candidates,htf_ltf_alignment_label,impulse_with_htf,exclude,44
phase2_5_0_all_candidates,htf_ltf_alignment_label,impulse_with_htf,experimental_only,13
phase2_5_0_all_candidates,htf_ltf_alignment_label,impulse_with_htf,high_quality_context,20
phase2_5_0_all_candidates,htf_ltf_alignment_label,impulse_with_htf,usable_but_provisional,2
phase2_5_0_all_candidates,htf_ltf_alignment_label,unclear,ambiguous_context,1
phase2_5_0_all_candidates,htf_ltf_alignment_label,unclear,exclude,4
phase2_5_0_all_candidates,htf_ltf_alignment_label,unclear,experimental_only,5
phase2_5_0_all_candidates,htf_ltf_alignment_label,unclear,high_quality_context,3
phase2_5_0_all_candidates,htf_ltf_alignment_label,unclear,usable_but_provisional,3
