source_phase,source_candidate_id,candidate_id,structure_type,review_category,group,symbol,timeframe,swing_degree,direction,timeframe_policy,degree_policy,phase25_allowed_use,final_phase23_decision,manual_visual_status,visual_quality_score,wave5_diagnostic,wave5_endpoint_status,proposed_endpoint_classification,future_more_extreme_found,post_wave5_extension_vs_wave5,partial123_diagnostic,partial123_status,live_state,wave3_too_weak,post_3_invalidates,post_3_confirms,context_review_status,trend_context_label,context_score,ema_usefulness,ewo_usefulness,htf_usefulness,phase25_rule_candidate,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_trend_state,htf_lookahead_safe,abc_contextual_policy,abc_parent_required,abc_parent_status,abc_role_hypothesis,abc_should_enter_phase25_context,context_must_not_rescue_bad_count,reviewed_chart_path,reviewed_context_chart_path,reviewed_chart_path_abc,guided_quality_score,guided_quality_bucket,score_reasons,score_penalties,ewo_wave_role_label,ewo_role_support,ewo_role_reasons,ewo_role_penalty,ema_context_label,ema_context_score_delta,htf_ltf_alignment_label,htf_context_score_delta,chart_path,ready_for_phase251_search,phase251_reason,suggested_next_search_mode,matches_guided_impulse_profile,guided_profile_match_score,guided_profile_reasons,guided_profile_failures,guided_profile_critical_failures,near_miss_reason,phase252_candidate_action,phase252_reason
2.4.2_context_quality,impulse_forex_eurjpy_h4_minor_impulse_022,impulse_forex_eurjpy_h4_minor_impulse_022,impulse,impulse,Forex Majors,EURJPY.r,H4,minor,bullish,primary_h4_d1,minor_substructure_only,soft_context,keep_as_ambiguous_example,plausible_but_needs_review,2,endpoint_uncertain,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,not_applicable,,,,,,context_should_not_rescue_count,impulse_with_htf,65.0,useful_trend_context,useful_for_momentum_phase,useful_regime_filter,do_not_use_as_rule,above_band,no_transition,0.9125142857143088,-0.0924714285714003,positive,D1,bullish_alignment,True,,,,,,True,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,,23,exclude,H4/D1 primary base; 2.3.4 ambiguous but useful; impulse candidate; EMA context +4: useful_trend_context; HTF context +6: impulse_with_htf; useful_regime_filter; EWO partially supports role,minor substructure only; low visual quality 2; wave5 provisional: endpoint_uncertain; context must not rescue this count; context_must_not_rescue_bad_count; score capped because context must not rescue the count,ewo_impulse_momentum_context,partially_supports,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=-0.0924714",0,ema_supports_context,4,impulse_with_htf,6,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,no,Excluded by previous audit or guided score.,do_not_search,no,60,structure=impulse; primary H4/D1 policy; timeframe=H4; EMA acceptable (ema_supports_context); HTF acceptable (impulse_with_htf); EWO compatible (partially_supports); wave5 documented (endpoint_uncertain),degree is minor; allowed_use=soft_context; phase23_decision=keep_as_ambiguous_example; score/bucket=23.0/exclude; context risk=context_should_not_rescue_count,context risk=context_should_not_rescue_count; excluded by Phase 2.5.0,,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.
2.4.2_context_quality,impulse_forex_eurusd_h4_major_impulse_011,impulse_forex_eurusd_h4_major_impulse_011,invalid_or_negative,impulse,Forex Majors,EURUSD.r,H4,major,bearish,primary_h4_d1,degree_too_micro,exclude,exclude_from_phase25_rules,visually_forced,2,endpoint_uncertain,premature_wave5_completion,premature_wave5_completion,True,0.8394415357766091,not_applicable,,,,,,context_should_not_rescue_count,correction_against_htf,60.0,useful_trend_context,useful_for_momentum_phase,useful_correction_context,do_not_use_as_rule,below_band,no_transition,-0.0083188571428574,-0.0010535714285717,negative,D1,mixed_or_unclear,True,,,,,,True,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\009_impulse_forex_eurusd_h4_major_impulse_011.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\009_impulse_forex_eurusd_h4_major_impulse_011.png,,0,exclude,H4/D1 primary base; major as context/higher degree; EMA context +4: useful_trend_context; HTF context +4: correction_against_htf; useful_correction_context; EWO partially supports role,too micro for primary count; 2.3.4 excluded from Phase 2.5; low visual quality 2; invalid_or_negative structure; wave5 provisional: endpoint_uncertain; context must not rescue this count; context_must_not_rescue_bad_count; score capped because context must not rescue the count,ewo_impulse_momentum_context,partially_supports,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; useful_for_momentum_phase; end_ewo_direction=negative; end_ewo_slope=-0.00105357",0,ema_supports_context,4,correction_against_htf,4,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\009_impulse_forex_eurusd_h4_major_impulse_011.png,no,Excluded by previous audit or guided score.,do_not_search,no,42,primary H4/D1 policy; timeframe=H4; EMA acceptable (ema_supports_context); HTF acceptable (correction_against_htf); EWO compatible (partially_supports); wave5 documented (endpoint_uncertain),not impulse (invalid_or_negative); degree is major; allowed_use=exclude; phase23_decision=exclude_from_phase25_rules; score/bucket=0.0/exclude; context risk=context_should_not_rescue_count,not impulse (invalid_or_negative); context risk=context_should_not_rescue_count; excluded by Phase 2.5.0,,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.
2.4.2_context_quality,partial_123_forex_audjpy_h4_intermediate_partial123_002,partial_123_forex_audjpy_h4_intermediate_partial123_002,invalid_or_negative,partial_123,Forex Majors,AUDJPY.r,H4,intermediate,bearish,primary_h4_d1,degree_too_micro,exclude,exclude_from_phase25_rules,should_downgrade,2,not_applicable,,,,,invalidated_after_3,invalidated_after_3,partial_123_provisional_then_invalidated,False,True,False,context_should_not_rescue_count,correction_against_htf,35.0,neutral,useful_for_momentum_phase,useful_correction_context,do_not_use_as_rule,below_band,no_transition,-0.8071285714285636,-0.089985714285703,negative,D1,bullish_alignment,True,,,,,,True,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,,0,exclude,H4/D1 primary base; intermediate primary degree; HTF context +4: correction_against_htf; useful_correction_context; EWO partially supports role,too micro for primary count; 2.3.4 excluded from Phase 2.5; low visual quality 2; invalid_or_negative structure; partial invalidated after 3; context must not rescue this count; context_must_not_rescue_bad_count; score capped because context must not rescue the count,ewo_partial123_momentum_context,partially_supports,Partial 1-2-3 uses EWO only as provisional momentum context.; useful_for_momentum_phase; end_ewo_direction=negative; end_ewo_slope=-0.0899857,0,ema_partial_or_neutral,0,correction_against_htf,4,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,no,Excluded by previous audit or guided score.,do_not_search,no,57,primary H4/D1 policy; timeframe=H4; degree=intermediate; EMA acceptable (ema_partial_or_neutral); HTF acceptable (correction_against_htf); EWO compatible (partially_supports); wave5 documented (not_applicable),not impulse (invalid_or_negative); allowed_use=exclude; phase23_decision=exclude_from_phase25_rules; score/bucket=0.0/exclude; context risk=context_should_not_rescue_count,not impulse (invalid_or_negative); context risk=context_should_not_rescue_count; excluded by Phase 2.5.0,,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.
2.4.2_context_quality,partial_123_index_aus200_h4_intermediate_partial123_006,partial_123_index_aus200_h4_intermediate_partial123_006,invalid_or_negative,partial_123,Index,AUS200,H4,intermediate,bearish,primary_h4_d1,degree_too_micro,exclude,exclude_from_phase25_rules,not_usable_for_methodology,1,not_applicable,,,,,invalidated_after_3,invalidated_after_3,partial_123_provisional_then_invalidated,True,True,False,context_conflicts_suspicious,conflict_with_htf,0.0,useful_quality_filter,noisy,useful_regime_filter,ema_band_ambiguity_penalty,inside_band,no_transition,-12.8799999999992,2.022857142856082,negative,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,,0,exclude,H4/D1 primary base; intermediate primary degree; EMA context +3: useful_quality_filter; inside_ema_band_adds_ambiguity,too micro for primary count; 2.3.4 excluded from Phase 2.5; low visual quality 1; invalid_or_negative structure; HTF context -16: conflict_suspicious; useful_regime_filter; partial invalidated after 3; context_conflicts_suspicious; score capped because context is misleading/suspicious,ewo_partial123_momentum_context,unclear,Partial 1-2-3 uses EWO only as provisional momentum context.; noisy; end_ewo_direction=negative; end_ewo_slope=2.02286,4,ema_supports_but_inside_band,3,conflict_suspicious,-16,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,no,Excluded by previous audit or guided score.,do_not_search,no,46,primary H4/D1 policy; timeframe=H4; degree=intermediate; EMA acceptable (ema_supports_but_inside_band); wave5 documented (not_applicable),not impulse (invalid_or_negative); allowed_use=exclude; phase23_decision=exclude_from_phase25_rules; score/bucket=0.0/exclude; context risk=context_conflicts_suspicious; HTF suspicious (conflict_suspicious); EWO not supportive (unclear),not impulse (invalid_or_negative); excluded by Phase 2.5.0,,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.
2.4.2_context_quality,partial_123_forex_audjpy_h4_intermediate_partial123_005,partial_123_forex_audjpy_h4_intermediate_partial123_005,invalid_or_negative,partial_123,Forex Majors,AUDJPY.r,H4,intermediate,bullish,primary_h4_d1,intermediate_primary_candidate,exclude,exclude_from_phase25_rules,should_downgrade,2,not_applicable,,,,,partial_123_too_lax,partial_123_too_lax,ambiguous_partial,True,False,True,context_should_not_rescue_count,impulse_with_htf,85.0,useful_quality_filter,useful_for_wave_role,useful_regime_filter,do_not_use_as_rule,above_band,no_transition,0.572100000000006,0.2291142857143029,positive,D1,bullish_alignment,True,,,,,,True,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,,0,exclude,H4/D1 primary base; intermediate primary degree; EMA context +6: useful_quality_filter; HTF context +6: impulse_with_htf; useful_regime_filter; EWO supports wave role,2.3.4 excluded from Phase 2.5; low visual quality 2; invalid_or_negative structure; partial_123_too_lax; context must not rescue this count; context_must_not_rescue_bad_count; score capped because context must not rescue the count,ewo_partial123_momentum_context,supports_wave_role,Partial 1-2-3 uses EWO only as provisional momentum context.; useful_for_wave_role; end_ewo_direction=positive; end_ewo_slope=0.229114,0,ema_supports_context,6,impulse_with_htf,6,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,no,Excluded by previous audit or guided score.,do_not_search,no,57,primary H4/D1 policy; timeframe=H4; degree=intermediate; EMA acceptable (ema_supports_context); HTF acceptable (impulse_with_htf); EWO compatible (supports_wave_role); wave5 documented (not_applicable),not impulse (invalid_or_negative); allowed_use=exclude; phase23_decision=exclude_from_phase25_rules; score/bucket=0.0/exclude; context risk=context_should_not_rescue_count,not impulse (invalid_or_negative); context risk=context_should_not_rescue_count; excluded by Phase 2.5.0,,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.
2.4.2_context_quality,partial_123_forex_audjpy_h4_minor_partial123_002,partial_123_forex_audjpy_h4_minor_partial123_002,invalid_or_negative,partial_123,Forex Majors,AUDJPY.r,H4,minor,bearish,primary_h4_d1,minor_substructure_only,exclude,exclude_from_phase25_rules,should_downgrade,2,not_applicable,,,,,invalidated_after_3,invalidated_after_3,partial_123_provisional_then_invalidated,False,True,False,context_should_not_rescue_count,correction_against_htf,35.0,neutral,useful_for_momentum_phase,useful_correction_context,do_not_use_as_rule,below_band,no_transition,-0.8071285714285636,-0.089985714285703,negative,D1,bullish_alignment,True,,,,,,True,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,,0,exclude,H4/D1 primary base; HTF context +4: correction_against_htf; useful_correction_context; EWO partially supports role,minor substructure only; 2.3.4 excluded from Phase 2.5; low visual quality 2; invalid_or_negative structure; partial invalidated after 3; context must not rescue this count; context_must_not_rescue_bad_count; score capped because context must not rescue the count,ewo_partial123_momentum_context,partially_supports,Partial 1-2-3 uses EWO only as provisional momentum context.; useful_for_momentum_phase; end_ewo_direction=negative; end_ewo_slope=-0.0899857,0,ema_partial_or_neutral,0,correction_against_htf,4,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,no,Excluded by previous audit or guided score.,do_not_search,no,42,primary H4/D1 policy; timeframe=H4; EMA acceptable (ema_partial_or_neutral); HTF acceptable (correction_against_htf); EWO compatible (partially_supports); wave5 documented (not_applicable),not impulse (invalid_or_negative); degree is minor; allowed_use=exclude; phase23_decision=exclude_from_phase25_rules; score/bucket=0.0/exclude; context risk=context_should_not_rescue_count,not impulse (invalid_or_negative); context risk=context_should_not_rescue_count; excluded by Phase 2.5.0,,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.
2.4.2_context_quality,partial_123_index_aus200_h4_major_partial123_006,partial_123_index_aus200_h4_major_partial123_006,invalid_or_negative,partial_123,Index,AUS200,H4,major,bearish,primary_h4_d1,degree_not_discriminative,exclude,exclude_from_phase25_rules,not_usable_for_methodology,1,not_applicable,,,,,invalidated_after_3,invalidated_after_3,partial_123_provisional_then_invalidated,True,True,False,context_should_not_rescue_count,conflict_with_htf,0.0,partially_useful,noisy,misleading_if_hard_filter,do_not_use_as_rule,inside_band,no_transition,-12.8799999999992,2.022857142856082,negative,D1,bullish_alignment,True,,,,,,True,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\023_partial_123_index_aus200_h4_major_partial123_006.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\023_partial_123_index_aus200_h4_major_partial123_006.png,,0,exclude,H4/D1 primary base; major as context/higher degree,degree not discriminative; 2.3.4 excluded from Phase 2.5; low visual quality 1; invalid_or_negative structure; EMA context -1: partially_useful; inside_ema_band_adds_ambiguity; HTF context -8: conflict_suspicious; htf_useful_only_if_soft; partial invalidated after 3; context must not rescue this count; context_must_not_rescue_bad_count; score capped because context must not rescue the count,ewo_partial123_momentum_context,unclear,Partial 1-2-3 uses EWO only as provisional momentum context.; noisy; end_ewo_direction=negative; end_ewo_slope=2.02286,4,ema_partial_or_neutral,-1,conflict_suspicious,-8,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\023_partial_123_index_aus200_h4_major_partial123_006.png,no,Excluded by previous audit or guided score.,do_not_search,no,31,primary H4/D1 policy; timeframe=H4; EMA acceptable (ema_partial_or_neutral); wave5 documented (not_applicable),not impulse (invalid_or_negative); degree is major; allowed_use=exclude; phase23_decision=exclude_from_phase25_rules; score/bucket=0.0/exclude; context risk=context_should_not_rescue_count; HTF suspicious (conflict_suspicious); EWO not supportive (unclear),not impulse (invalid_or_negative); context risk=context_should_not_rescue_count; excluded by Phase 2.5.0,,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.
2.4.2_context_quality,abc_forex_audjpy_h4_abc_002,abc_forex_audjpy_h4_abc_002,invalid_or_negative,abc,Forex Majors,AUDJPY.r,H4,intermediate,bearish,primary_h4_d1,intermediate_primary_candidate,exclude,exclude_from_phase25_rules,ambiguous,3,not_applicable,,,,,not_applicable,,,,,,context_explains_ambiguity,correction_against_htf,35.0,partially_useful,partially_useful,useful_correction_context,do_not_use_as_rule,below_band,no_transition,-0.8071285714285636,-0.089985714285703,negative,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\025_abc_forex_audjpy_h4_abc_002.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\025_abc_forex_audjpy_h4_abc_002.png,,0,exclude,H4/D1 primary base; intermediate primary degree; EMA context +2: partially_useful; HTF context +4: correction_against_htf; useful_correction_context; context explains ambiguity,2.3.4 excluded from Phase 2.5; invalid_or_negative structure,ewo_correction_context_not_leg_level,unclear,EWO available only as end-of-candidate context.; end_ewo_direction=negative; end_ewo_slope=-0.0899857; ABC correction lacks leg-level EWO thresholds in 2.5.0.,0,ema_partial_or_neutral,2,correction_against_htf,4,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\025_abc_forex_audjpy_h4_abc_002.png,no,Excluded by previous audit or guided score.,do_not_search,no,59,primary H4/D1 policy; timeframe=H4; degree=intermediate; context does not rescue or mislead; EMA acceptable (ema_partial_or_neutral); HTF acceptable (correction_against_htf); wave5 documented (not_applicable),not impulse (invalid_or_negative); allowed_use=exclude; phase23_decision=exclude_from_phase25_rules; score/bucket=0.0/exclude; EWO not supportive (unclear),not impulse (invalid_or_negative); excluded by Phase 2.5.0,,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.
2.4.2_context_quality,abc_metals_xagusd_h4_abc_003,abc_metals_xagusd_h4_abc_003,invalid_or_negative,abc,Metals,XAGUSD.r,H4,intermediate,bullish,primary_h4_d1,intermediate_primary_candidate,exclude,exclude_from_phase25_rules,not_usable_for_methodology,2,not_applicable,,,,,not_applicable,,,,,,context_should_not_rescue_count,impulse_with_htf,85.0,misleading,misleading,misleading_if_hard_filter,do_not_use_as_rule,above_band,no_transition,6.320371428571434,1.5703428571428617,positive,D1,bullish_alignment,True,,,,,,True,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\026_abc_metals_xagusd_h4_abc_003.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\026_abc_metals_xagusd_h4_abc_003.png,,0,exclude,H4/D1 primary base; intermediate primary degree; HTF context +6: impulse_with_htf; htf_useful_only_if_soft,2.3.4 excluded from Phase 2.5; low visual quality 2; invalid_or_negative structure; EMA context -8: misleading; EWO contradicts or misleads; context must not rescue this count; context_must_not_rescue_bad_count; score capped because context must not rescue the count,ewo_correction_context_not_leg_level,contradicts,EWO available only as end-of-candidate context.; misleading; end_ewo_direction=positive; end_ewo_slope=1.57034; ABC correction lacks leg-level EWO thresholds in 2.5.0.,8,ema_noisy_or_misleading,-8,impulse_with_htf,6,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\026_abc_metals_xagusd_h4_abc_003.png,no,Excluded by previous audit or guided score.,do_not_search,no,46,primary H4/D1 policy; timeframe=H4; degree=intermediate; HTF acceptable (impulse_with_htf); wave5 documented (not_applicable),not impulse (invalid_or_negative); allowed_use=exclude; phase23_decision=exclude_from_phase25_rules; score/bucket=0.0/exclude; context risk=context_should_not_rescue_count; EMA problematic (ema_noisy_or_misleading); EWO not supportive (contradicts),not impulse (invalid_or_negative); context risk=context_should_not_rescue_count; excluded by Phase 2.5.0,,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.
2.4.2_context_quality,abc_index_aus200_h4_abc_006,abc_index_aus200_h4_abc_006,invalid_or_negative,abc,Index,AUS200,H4,intermediate,bearish,primary_h4_d1,degree_not_discriminative,exclude,exclude_from_phase25_rules,ambiguous,3,not_applicable,,,,,not_applicable,,,,,,context_conflicts_suspicious,conflict_with_htf,0.0,partially_useful,noisy,useful_transition_context,do_not_use_as_rule,inside_band,no_transition,-12.8799999999992,2.022857142856082,negative,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\027_abc_index_aus200_h4_abc_006.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\027_abc_index_aus200_h4_abc_006.png,,0,exclude,H4/D1 primary base; intermediate primary degree,degree not discriminative; 2.3.4 excluded from Phase 2.5; invalid_or_negative structure; EMA context -1: partially_useful; inside_ema_band_adds_ambiguity; HTF context -16: conflict_suspicious; useful_transition_context; context_conflicts_suspicious; score capped because context is misleading/suspicious,ewo_correction_context_not_leg_level,unclear,EWO available only as end-of-candidate context.; noisy; end_ewo_direction=negative; end_ewo_slope=2.02286; ABC correction lacks leg-level EWO thresholds in 2.5.0.,4,ema_partial_or_neutral,-1,conflict_suspicious,-16,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\027_abc_index_aus200_h4_abc_006.png,no,Excluded by previous audit or guided score.,do_not_search,no,46,primary H4/D1 policy; timeframe=H4; degree=intermediate; EMA acceptable (ema_partial_or_neutral); wave5 documented (not_applicable),not impulse (invalid_or_negative); allowed_use=exclude; phase23_decision=exclude_from_phase25_rules; score/bucket=0.0/exclude; context risk=context_conflicts_suspicious; HTF suspicious (conflict_suspicious); EWO not supportive (unclear),not impulse (invalid_or_negative); excluded by Phase 2.5.0,,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.
