symbol,market_group,trend_chip,rsi_chip,pivot_chip,previous_day_level_chip,round_level_chip,fibonacci_chip,volatility_chip,macd_breakout_chip,fib_limit_chip,wavecount_chip,codex_review_status,setups_count,max_quality_score,is_signal,is_study_only,can_execute_order,would_send_to_mt5,would_send_telegram_order,wavecount_used_as_filter
CHINA50,Index,M15/H1/H4 bullish,neutral,no_context,Maximo dia previo 0.01%,Nivel redondo inferior 0.01%,contexto Fib 78.6 (2.32%),adecuada 1.31x,missing_context x1|invalidated x3,pendiente detector live,W3? H4 fuerte,revision codex pendiente,3,5,False,True,False,False,False,False
ITA40,Index,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo inferior 0.19%; Nivel redondo superior 0.03%,cerca Fib 38.2 (0.14%),adecuada 1.46x,breakout_recent x1|missing_context x2|invalidated x1,pendiente detector live,W3? H1 media,revision codex pendiente,3,5,False,True,False,False,False,False
NZDCHF.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo superior 0.11%,cerca Fib 38.2 (0.01%),adecuada 0.89x,entry_review x1|missing_context x2|invalidated x1,historico auditado 5/5,W4? H4 fuerte,revision codex pendiente,2,5,False,True,False,False,False,False
SPA35,Index,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.36%; Nivel redondo superior 0.22%,cerca Fib 38.2 (0.30%),adecuada 1.67x,entry_review x1|missing_context x1|invalidated x2,pendiente detector live,W3? H4 fuerte,revision codex pendiente,3,5,False,True,False,False,False,False
US100,Index,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo inferior 0.22%; Nivel redondo superior 0.19%,contexto Fib 78.6 (0.36%),adecuada 0.88x,missing_context x1|invalidated x3,live Fib 61.8 H4,W3? H1 media,revision codex pendiente,3,5,False,True,False,False,False,False
USDHKD.r,Forex Exotic,M15/H1/H4 bullish,neutral,R2 previo 0.00%; R3 previo 0.04%,Maximo dia previo 0.04%; Minimo dia previo 0.11%,Nivel redondo inferior 0.06%; Nivel redondo superior 0.00%,pending_source,adecuada 0.95x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,1,5,False,True,False,False,False,False
XCUUSD.r,Metals,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo superior 0.22%,cerca Fib 61.8 (0.12%),adecuada 1.00x,breakout_recent x1|missing_context x2|invalidated x1,live Fib 61.8 H1,W3? H4 fuerte,revision codex pendiente,4,5,False,True,False,False,False,False
AUDCAD.r,Forex Majors,sin alineacion limpia,neutral,no_context,Maximo dia previo 0.01%,no_context,contexto Fib 23.6 (1.04%),adecuada 1.56x,entry_review x1|missing_context x1|invalidated x2,pendiente detector live,W3? H4 media,revision codex pendiente,3,4,False,True,False,False,False,False
AUDJPY.r,Forex Majors,sin alineacion limpia,neutral,no_context,Maximo dia previo 0.09%,no_context,contexto Fib 78.6 (1.01%),adecuada 1.12x,breakout_recent x1|late x1|missing_context x2,historico auditado 4/5 cautela,W3? H4 media,revision codex pendiente,3,4,False,True,False,False,False,False
AUDUSD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,contexto Fib 78.6 (0.19%),adecuada 1.41x,entry_review x1|missing_context x1|invalidated x2,pendiente detector live,W3? H4 media,revision codex pendiente,2,4,False,True,False,False,False,False
