metric,value
visual_cases_reviewed,54.0
unique_candidates,54.0
conflict_with_htf_cases,7.0
user_must_review_cases,26.0
mean_visual_quality_score_1_5,3.463
visual_review_status_visually_defensible,13.0
visual_review_status_visually_forced,12.0
visual_review_status_plausible_but_needs_review,11.0
visual_review_status_ambiguous,9.0
visual_review_status_hard_invalid_correct,8.0
visual_review_status_likely_false_candidate,1.0
ema_context_usefulness_partially_useful,26.0
ema_context_usefulness_useful,21.0
ema_context_usefulness_misleading,6.0
ema_context_usefulness_not_useful,1.0
ewo_context_usefulness_useful_for_wave_role,30.0
ewo_context_usefulness_useful_for_momentum_only,21.0
ewo_context_usefulness_unclear,3.0
htf_ltf_context_usefulness_useful,21.0
htf_ltf_context_usefulness_conflict_explains_case,13.0
htf_ltf_context_usefulness_conflict_suspicious,10.0
htf_ltf_context_usefulness_partially_useful,5.0
htf_ltf_context_usefulness_unclear,5.0
ewo_rule_assessment_usable_soft_rule,17.0
ewo_rule_assessment_promising_but_needs_review,15.0
ewo_rule_assessment_too_noisy,13.0
ewo_rule_assessment_not_supported,9.0
review_category_impulse,12.0
review_category_partial_123,12.0
review_category_abc,12.0
review_category_near_miss,9.0
review_category_hard_invalid,9.0
