swing_degree,diagnostic_status,rule_type,reason,count
intermediate,hard_invalid_impulse,hard,wave 3 does not exceed wave 1 extreme,21
intermediate,hard_invalid_impulse,hard,wave 2 breaks wave 1 origin,17
intermediate,hard_invalid_impulse,hard,wave 3 is shorter than both wave 1 and wave 5,15
intermediate,hard_invalid_impulse,soft,wave 4 overlaps wave 1 territory,27
intermediate,hard_invalid_impulse,soft,wave 2 retracement is visually too deep,17
intermediate,hard_invalid_impulse,soft,wave 4 retracement is visually too deep,17
intermediate,hard_invalid_impulse,soft,wave 5 fails to exceed wave 3 extreme,14
intermediate,soft_impulse_near_miss,soft,wave 4 overlaps wave 1 territory,9
intermediate,soft_impulse_near_miss,soft,wave 5 fails to exceed wave 3 extreme,9
intermediate,soft_impulse_near_miss,soft,wave 4 retracement is visually too deep,5
intermediate,soft_impulse_near_miss,soft,wave 2 retracement is visually too deep,1
major,hard_invalid_impulse,hard,wave 3 does not exceed wave 1 extreme,12
major,hard_invalid_impulse,hard,wave 2 breaks wave 1 origin,10
major,hard_invalid_impulse,hard,wave 3 is shorter than both wave 1 and wave 5,9
major,hard_invalid_impulse,soft,wave 4 overlaps wave 1 territory,18
major,hard_invalid_impulse,soft,wave 4 retracement is visually too deep,13
major,hard_invalid_impulse,soft,wave 2 retracement is visually too deep,10
major,hard_invalid_impulse,soft,wave 5 fails to exceed wave 3 extreme,10
major,soft_impulse_near_miss,soft,wave 4 overlaps wave 1 territory,3
major,soft_impulse_near_miss,soft,wave 5 fails to exceed wave 3 extreme,3
major,soft_impulse_near_miss,soft,wave 4 retracement is visually too deep,2
minor,hard_invalid_impulse,hard,wave 3 does not exceed wave 1 extreme,45
minor,hard_invalid_impulse,hard,wave 2 breaks wave 1 origin,35
minor,hard_invalid_impulse,hard,wave 3 is shorter than both wave 1 and wave 5,24
minor,strict_candidate_impulse,none,no failure,5
minor,hard_invalid_impulse,soft,wave 4 overlaps wave 1 territory,55
minor,hard_invalid_impulse,soft,wave 2 retracement is visually too deep,37
minor,hard_invalid_impulse,soft,wave 5 fails to exceed wave 3 extreme,31
minor,hard_invalid_impulse,soft,wave 4 retracement is visually too deep,30
minor,soft_impulse_near_miss,soft,wave 4 overlaps wave 1 territory,15
minor,soft_impulse_near_miss,soft,wave 5 fails to exceed wave 3 extreme,15
minor,soft_impulse_near_miss,soft,wave 4 retracement is visually too deep,7
minor,soft_impulse_near_miss,soft,wave 2 retracement is visually too deep,1
