candidate_id,phase25_abc_policy_previous,contextual_policy,should_enter_phase25_as_context,should_user_review,notes,reviewed_chart_path
abc_forex_audjpy_h4_intermediate_abc_002,usable_as_soft_context,usable_contextual_correction,yes,yes,"Previous=usable_as_soft_context; visual=clean_abc; Uses HTF regime only; trend_context_label=correction_against_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png
abc_metals_xagusd_h4_intermediate_abc_003,exclude_from_phase25,exclude_not_correction,no,yes,"Previous=exclude_from_phase25; visual=not_clean_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png
abc_index_aus200_h4_intermediate_abc_006,usable_only_manual_review,manual_contextual_review_only,no,yes,"Previous=usable_only_manual_review; visual=ambiguous_correction; Parent from h4_d1_visual_closure; category=partial_123; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_027_abc_index_aus200_h4_intermediate_abc_006.png
abc_forex_audjpy_h4_intermediate_abc_005,keep_experimental,exclude_not_correction,no,yes,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=partial_123; decision=exclude_from_phase25_rules. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png
abc_forex_audjpy_h4_minor_abc_002,usable_only_manual_review,manual_contextual_review_only,no,yes,"Previous=usable_only_manual_review; visual=plausible_abc; Uses HTF regime only; trend_context_label=correction_against_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_029_abc_forex_audjpy_h4_minor_abc_002.png
abc_metals_xagusd_h4_minor_abc_003,exclude_from_phase25,exclude_not_correction,no,yes,"Previous=exclude_from_phase25; visual=not_clean_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_030_abc_metals_xagusd_h4_minor_abc_003.png
abc_index_aus200_h4_minor_abc_005,exclude_from_phase25,exclude_not_correction,no,yes,"Previous=exclude_from_phase25; visual=visually_forced_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=mixed_or_unclear. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_031_abc_index_aus200_h4_minor_abc_005.png
abc_forex_audjpy_h4_minor_abc_005,exclude_from_phase25,exclude_not_correction,no,yes,"Previous=exclude_from_phase25; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=partial_123; decision=exclude_from_phase25_rules. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_032_abc_forex_audjpy_h4_minor_abc_005.png
abc_forex_audjpy_h4_major_abc_003,keep_experimental,manual_contextual_review_only,no,yes,"Previous=keep_experimental; visual=ambiguous_correction; Parent from h4_d1_visual_closure; category=partial_123; decision=exclude_from_phase25_rules. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_033_abc_forex_audjpy_h4_major_abc_003.png
abc_metals_xagusd_h4_major_abc_003,keep_experimental,exclude_not_correction,no,yes,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=impulse; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_034_abc_metals_xagusd_h4_major_abc_003.png
abc_index_aus200_h4_major_abc_006,usable_only_manual_review,manual_contextual_review_only,no,yes,"Previous=usable_only_manual_review; visual=ambiguous_correction; Parent from h4_d1_visual_closure; category=partial_123; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_035_abc_index_aus200_h4_major_abc_006.png
abc_forex_audjpy_h4_major_abc_005,keep_experimental,exclude_not_correction,no,yes,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=impulse; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_036_abc_forex_audjpy_h4_major_abc_005.png
