review_reason,candidate_id,source_scope,symbol,timeframe,swing_degree,profile_class,diagnostic_label,notes,chart_path
context_misleading_or_conflict,impulse_exp252_index_aus200_h4_intermediate_impulse_020,h4_d1,AUS200,H4,intermediate,near_miss,false_positive_risk,profile=near_miss; near_miss=context_conflict; context=correction_against_htf; EWO=supports_wave_role; EMA/HTF=explains_correction; status=false_positive_risk,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png
context_misleading_or_conflict,hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001,h4_d1,AUDJPY.r,H4,intermediate,no,good_negative_example,profile=no; near_miss=none; context=conflict_with_htf; EWO=unclear; EMA/HTF=misleading; status=good_negative_example,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\046_hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001.png
context_misleading_or_conflict,hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001,h4_d1,XAGUSD.r,H4,intermediate,no,good_negative_example,profile=no; near_miss=none; context=conflict_with_htf; EWO=unclear; EMA/HTF=misleading; status=good_negative_example,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\047_hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001.png
context_misleading_or_conflict,hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001,h4_d1,AUDJPY.r,H4,minor,no,good_negative_example,profile=no; near_miss=none; context=conflict_with_htf; EWO=unclear; EMA/HTF=misleading; status=good_negative_example,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\049_hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001.png
context_misleading_or_conflict,hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001,h4_d1,XAGUSD.r,H4,minor,no,good_negative_example,profile=no; near_miss=none; context=conflict_with_htf; EWO=unclear; EMA/HTF=misleading; status=good_negative_example,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\050_hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001.png
context_misleading_or_conflict,hard_invalid_exp252_metals_xagusd_h4_major_impulse_001,h4_d1,XAGUSD.r,H4,major,no,good_negative_example,profile=no; near_miss=none; context=conflict_with_htf; EWO=unclear; EMA/HTF=misleading; status=good_negative_example,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\053_hard_invalid_exp252_metals_xagusd_h4_major_impulse_001.png
context_misleading_or_conflict,near_miss_aux252b_forex_audjpy_h1_intermediate_impulse_005,h1_h4,AUDJPY.r,H1,intermediate,no,not_usable,not_usable; scale=not_applicable; EWO=supports_momentum_only; EMA/HTF=misleading; near=none,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\037_near_miss_aux252b_forex_audjpy_h1_intermediate_impulse_005.png
context_misleading_or_conflict,near_miss_aux252b_metals_xagusd_h1_minor_impulse_012,h1_h4,XAGUSD.r,H1,minor,no,not_usable,not_usable; scale=not_applicable; EWO=supports_momentum_only; EMA/HTF=misleading; near=none,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\041_near_miss_aux252b_metals_xagusd_h1_minor_impulse_012.png
prominence_or_scale_problem,impulse_aux252b_forex_audjpy_h1_minor_impulse_007,h1_h4,AUDJPY.r,H1,minor,,better_as_lower_tf_substructure,better_as_lower_tf_substructure: prominence=0.128; duration=0.035; degree=minor; category=impulse,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png
prominence_or_scale_problem,impulse_aux252b_metals_xagusd_h1_minor_impulse_005,h1_h4,XAGUSD.r,H1,minor,,better_as_lower_tf_substructure,better_as_lower_tf_substructure: prominence=0.180; duration=0.043; degree=minor; category=impulse,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\002_impulse_aux252b_metals_xagusd_h1_minor_impulse_005.png
