candidate_id,parent_context_status,parent_candidate_id,parent_wave_context,parent_direction,parent_gap_bars,abc_direction,abc_vs_parent_direction,notes,reviewed_chart_path
abc_forex_audjpy_h4_intermediate_abc_002,htf_regime_context_only,,htf_regime_context,bullish,,bearish,counter_parent,"Previous=usable_as_soft_context; visual=clean_abc; Uses HTF regime only; trend_context_label=correction_against_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png
abc_metals_xagusd_h4_intermediate_abc_003,htf_regime_context_only,,htf_regime_context,bullish,,bullish,with_parent,"Previous=exclude_from_phase25; visual=not_clean_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png
abc_index_aus200_h4_intermediate_abc_006,direct_parent_candidate,partial_123_index_aus200_h4_minor_partial123_005,prior_partial_123,bullish,0.0,bearish,counter_parent,"Previous=usable_only_manual_review; visual=ambiguous_correction; Parent from h4_d1_visual_closure; category=partial_123; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_027_abc_index_aus200_h4_intermediate_abc_006.png
abc_forex_audjpy_h4_intermediate_abc_005,direct_parent_candidate,partial_123_forex_audjpy_h4_intermediate_partial123_002,prior_partial_123,bearish,0.0,bullish,counter_parent,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=partial_123; decision=exclude_from_phase25_rules. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png
abc_forex_audjpy_h4_minor_abc_002,htf_regime_context_only,,htf_regime_context,bullish,,bearish,counter_parent,"Previous=usable_only_manual_review; visual=plausible_abc; Uses HTF regime only; trend_context_label=correction_against_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_029_abc_forex_audjpy_h4_minor_abc_002.png
abc_metals_xagusd_h4_minor_abc_003,htf_regime_context_only,,htf_regime_context,bullish,,bullish,with_parent,"Previous=exclude_from_phase25; visual=not_clean_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_030_abc_metals_xagusd_h4_minor_abc_003.png
abc_index_aus200_h4_minor_abc_005,htf_regime_context_only,,htf_regime_context,bullish,,bullish,with_parent,"Previous=exclude_from_phase25; visual=visually_forced_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=mixed_or_unclear. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_031_abc_index_aus200_h4_minor_abc_005.png
abc_forex_audjpy_h4_minor_abc_005,direct_parent_candidate,partial_123_forex_audjpy_h4_intermediate_partial123_002,prior_partial_123,bearish,0.0,bullish,counter_parent,"Previous=exclude_from_phase25; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=partial_123; decision=exclude_from_phase25_rules. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_032_abc_forex_audjpy_h4_minor_abc_005.png
abc_forex_audjpy_h4_major_abc_003,direct_parent_candidate,partial_123_forex_audjpy_h4_intermediate_partial123_002,prior_partial_123,bearish,0.0,bullish,counter_parent,"Previous=keep_experimental; visual=ambiguous_correction; Parent from h4_d1_visual_closure; category=partial_123; decision=exclude_from_phase25_rules. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_033_abc_forex_audjpy_h4_major_abc_003.png
abc_metals_xagusd_h4_major_abc_003,distant_parent_candidate,impulse_metals_xagusd_h4_minor_impulse_001,prior_full_impulse,bullish,47.0,bullish,with_parent,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=impulse; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_034_abc_metals_xagusd_h4_major_abc_003.png
