phase,candidate_order,candidate_id,review_category,swing_degree,chart_path,visual_count_status,visual_quality_score,degree_fit,likely_problem_if_any,should_user_review,user_review_priority,suggested_action,good_example_rank,visual_notes,chart_path_absolute
phase2_3_visual_review,1,impulse_forex_audjpy_h1_minor_impulse_013,impulse,minor,charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,plausible_but_needs_review,3,mixed,wave 5 ends before the clearer local high; later candles look like the same extension,yes,medium,review_manually,,"0-1-2-3-4 reads well, but the fifth looks premature.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png
phase2_3_visual_review,2,impulse_metals_xagusd_h1_minor_impulse_019,impulse,minor,charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,excellent_example,5,good,,no,low,use_as_good_example,,"Clean bearish impulse: clear alternation, wave 4 does not invade wave 1, and wave 5 prints a new low.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png
phase2_3_visual_review,3,impulse_index_aus200_h1_minor_impulse_006,impulse,minor,charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,visually_forced,2,mixed,wave 5 cuts the decline before the dominant visual low,yes,high,use_as_ambiguous_example,,"Internal count is readable until wave 4, but wave 5 sits inside a larger bearish continuation.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png
phase2_3_visual_review,4,impulse_forex_audjpy_h1_minor_impulse_015,impulse,minor,charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png,excellent_example,5,good,,no,low,use_as_good_example,1,"Very good bullish impulse: wave 3 is strong, wave 4 is clean, and wave 5 reaches the visible high.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png
phase2_3_visual_review,5,impulse_forex_audjpy_h1_intermediate_impulse_009,impulse,intermediate,charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,visually_defensible,4,mixed,waves 0-1-2 are small relative to waves 3-5 for intermediate degree,yes,medium,review_manually,,"Valid visual count, but the early proportionality is a bit micro compared with the final leg.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png
phase2_3_visual_review,6,impulse_metals_xauusd_h1_intermediate_impulse_013,impulse,intermediate,charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png,excellent_example,5,good,,no,low,use_as_good_example,,"Proportional bearish impulse: wave 3 breaks well, wave 4 corrects without invasion, and wave 5 marks the final low.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png
phase2_3_visual_review,7,impulse_index_aus200_h1_intermediate_impulse_004,impulse,intermediate,charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,plausible_but_needs_review,3,mixed,wave 5 ends before a visually relevant bearish continuation,yes,high,review_manually,,"The 0-4 sequence is defensible, but wave 5 does not exhaust the later move.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png
phase2_3_visual_review,8,impulse_forex_eurjpy_m30_intermediate_impulse_005,impulse,intermediate,charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,visually_forced,2,mixed,0-1 drags through a long drift and wave 5 misses the more natural later low,yes,high,use_as_ambiguous_example,,"A bearish 1-2-3-4-5 can be seen, but the first leg and final low are weak visually.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png
phase2_3_visual_review,9,impulse_metals_xagusd_h1_major_impulse_009,impulse,major,charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png,excellent_example,5,good,,no,low,use_as_good_example,3,"Very clear major bearish impulse: broad pivots, strong wave 3, brief wave 4 and final low at wave 5.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png
phase2_3_visual_review,10,impulse_index_aus200_h1_major_impulse_002,impulse,major,charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,likely_false_candidate,2,too_micro,"for major degree, wave 5 stops too early and misses the later larger low",yes,high,use_as_negative_example,,"Could be a smaller impulse, but as major it is visually incomplete.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png
