current_path,proposed_path,item_type,status,migration_priority,risk,requires_csv_path_rewrite,requires_md_update,requires_run_meta_update,safe_to_move,notes
artifacts\wavecount\_superseded_2026-05-21,artifacts/wavecount/99_superseded/_superseded_2026-05-21,artifact_dir,historical,medium,medium,True,True,False,False,legacy material already separated; preserve
artifacts\wavecount\90_global_audits\global_audit_2026-05-24,artifacts\wavecount\90_global_audits\global_audit_2026-05-24,artifact_dir,canonical,high,medium,False,True,True,False,global audit and current state snapshot
artifacts\wavecount\phase1_5_structural_swings_2026-05-17,artifacts/wavecount/01_pivots_and_swings/phase1_5_structural_swings_2026-05-17,artifact_dir,canonical,high,medium,False,True,True,False,structural swings
artifacts\wavecount\phase1_6_swing_degrees_2026-05-17,artifacts/wavecount/01_pivots_and_swings/phase1_6_swing_degrees_2026-05-17,artifact_dir,canonical,high,medium,False,True,True,False,minor/intermediate/major degrees
artifacts\wavecount\phase1_pivots_2026-05-17,artifacts/wavecount/01_pivots_and_swings/phase1_pivots_2026-05-17,artifact_dir,canonical,high,medium,True,True,True,False,causal pivot base
artifacts\wavecount\phase2_1_false_negative_review_2026-05-17,artifacts/wavecount/02_candidate_counts/phase2_1_invalidations_2026-05-17,artifact_dir,diagnostic,medium,medium,False,True,True,False,hard/soft invalidation review
artifacts\wavecount\phase2_2_impulse_diagnostics_2026-05-17,artifacts/wavecount/02_candidate_counts/phase2_2_impulse_diagnostics_2026-05-17,artifact_dir,diagnostic,medium,medium,False,True,True,False,impulse absence diagnostics
artifacts\wavecount\phase2_3_1_wave5_endpoint_2026-05-21,artifacts/wavecount/03_visual_review/phase2_3_1_wave5_endpoint_2026-05-21,artifact_dir,diagnostic,medium,high,True,True,True,False,wave 5 endpoint uncertainty
artifacts\wavecount\phase2_3_2_4_h4_d1_visual_audit_2026-05-20,artifacts/wavecount/99_superseded/phase2_3_2_4_h4_d1_visual_audit_2026-05-20,artifact_dir,historical,medium,high,True,True,True,False,superseded by phase2_3_4 and later audits
artifacts\wavecount\phase2_3_2_4_visual_reaudit_2026-05-19,artifacts/wavecount/99_superseded/phase2_3_2_4_visual_reaudit_2026-05-19,artifact_dir,historical,medium,high,True,True,True,False,compressed-axis re-audit kept for traceability
artifacts\wavecount\phase2_3_2_partial123_2026-05-21,artifacts/wavecount/03_visual_review/phase2_3_2_partial123_2026-05-21,artifact_dir,diagnostic,medium,high,True,True,True,False,partial 1-2-3 laxity
artifacts\wavecount\phase2_3_3_degree_calibration_2026-05-23,artifacts/wavecount/03_visual_review/phase2_3_3_degree_calibration_2026-05-23,artifact_dir,diagnostic,medium,medium,True,True,True,False,degree calibration
artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts/wavecount/03_visual_review/phase2_3_4_h4_d1_visual_closure_2026-05-23,artifact_dir,canonical,high,high,True,True,True,False,H4/D1 visual closure
artifacts\wavecount\phase2_3_manual_feedback_h1_m30_2026-05-21,artifacts/wavecount/03_visual_review/phase2_3_manual_feedback_h1_m30_2026-05-21,artifact_dir,diagnostic,medium,high,True,True,True,False,manual feedback integration
artifacts\wavecount\phase2_3_visual_review_2026-05-17,artifacts/wavecount/03_visual_review/phase2_3_visual_review_2026-05-17,artifact_dir,canonical,high,medium,True,True,False,False,"count-only visual review, with h1_m30 and h4_d1 subfolders"
artifacts\wavecount\phase2_4_1_context_visual_audit_2026-05-19,artifacts/wavecount/04_context_and_corrections/phase2_4_1_context_visual_audit_2026-05-19,artifact_dir,diagnostic,medium,high,True,True,True,False,context visual audit
artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23,artifacts/wavecount/04_context_and_corrections/phase2_4_2_context_quality_2026-05-23,artifact_dir,canonical,high,medium,True,True,True,False,context quality closure
artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23,artifacts/wavecount/04_context_and_corrections/phase2_4_3_abc_quality_2026-05-23,artifact_dir,experimental,medium,high,True,True,True,False,corrected ABC quality audit
artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24,artifacts/wavecount/04_context_and_corrections/phase2_4_4_contextual_corrections_2026-05-24,artifact_dir,experimental,medium,medium,True,True,True,False,contextual corrections
artifacts\wavecount\phase2_4_5_pre_phase25_closure_2026-05-24,artifacts/wavecount/04_context_and_corrections/phase2_4_5_pre_phase25_closure_2026-05-24,artifact_dir,canonical,high,medium,True,True,True,False,pre-2.5 closure
artifacts\wavecount\phase2_4_context_2026-05-18,artifacts/wavecount/04_context_and_corrections/phase2_4_context_2026-05-18,artifact_dir,canonical,high,medium,True,True,False,False,EMA/EWO/HTF context base
artifacts\wavecount\05_guided_profile\phase2_5_0_guided_context_score_2026-05-24,artifacts\wavecount\05_guided_profile\phase2_5_0_guided_context_score_2026-05-24,artifact_dir,canonical,high,medium,True,True,True,False,guided context scoring
