phase,candidate_order,candidate_id,review_category,swing_degree,context_chart_path,context_review_status,ema_usefulness,ewo_usefulness,htf_ltf_usefulness,context_changes_phase23_reading,should_user_review,user_review_priority,suggested_action,good_context_example_rank,visual_notes,context_chart_path_absolute
phase2_4_context,1,impulse_forex_audjpy_h1_minor_impulse_013,impulse,minor,charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,context_confirms,useful,useful_for_wave_role,useful,false,no,low,use_as_good_context_example,,"EMAs turn bullish during the 0-5; price stays above band, EWO supports wave 3/5, and HTF/LTF validate the impulse.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png
phase2_4_context,2,impulse_metals_xagusd_h1_minor_impulse_019,impulse,minor,charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,context_conflict_suspicious,partially_useful,useful_for_momentum_only,conflict_suspicious,true,yes,high,review_manually,,Bearish count sits in choppy rebound; EMA/HTF do not validate the same count cleanly.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png
phase2_4_context,3,impulse_index_aus200_h1_minor_impulse_006,impulse,minor,charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,context_explains_ambiguity,useful,useful_for_wave_role,conflict_explains_case,true,no,low,use_as_ambiguous_context,,"Local bearish impulse is supported by LTF/EWO, but H4 bullish reframes it as correction against HTF.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png
phase2_4_context,4,impulse_forex_audjpy_h1_minor_impulse_015,impulse,minor,charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png,context_confirms,useful,useful_for_wave_role,useful,false,no,low,use_as_good_context_example,,Bullish 0-5 remains above EMAs with HTF aligned; EWO expands during impulse and cools late.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png
phase2_4_context,5,impulse_forex_audjpy_h1_intermediate_impulse_009,impulse,intermediate,charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,context_confirms,useful,useful_for_wave_role,useful,false,no,low,use_as_good_context_example,,"AUDJPY intermediate structure gets clear bullish support from EMAs, EWO and HTF.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png
phase2_4_context,6,impulse_metals_xauusd_h1_intermediate_impulse_013,impulse,intermediate,charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png,context_explains_ambiguity,partially_useful,useful_for_wave_role,conflict_explains_case,true,no,low,use_as_ambiguous_context,,"Bearish 0-5 is locally valid, but HTF bullish makes it counter-context.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png
phase2_4_context,7,impulse_index_aus200_h1_intermediate_impulse_004,impulse,intermediate,charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,context_explains_ambiguity,useful,useful_for_wave_role,conflict_explains_case,true,no,low,use_as_ambiguous_context,,LTF and EWO support bearish wave 3; HTF bullish explains correction or early reversal.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png
phase2_4_context,8,impulse_forex_eurjpy_m30_intermediate_impulse_005,impulse,intermediate,charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,context_confirms,useful,useful_for_wave_role,useful,false,no,low,use_as_good_context_example,1,"Clean context example: EMA50 turns under EMA150, EWO sinks at wave 3, and H1 confirms bearish bias.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png
phase2_4_context,9,impulse_metals_xagusd_h1_major_impulse_009,impulse,major,charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png,context_confirms,useful,useful_for_wave_role,useful,false,no,low,use_as_good_context_example,3,"Major bearish count is well contextualized by price below band, negative EWO and aligned HTF/LTF.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png
phase2_4_context,10,impulse_index_aus200_h1_major_impulse_002,impulse,major,charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,context_explains_ambiguity,useful,useful_for_wave_role,conflict_explains_case,true,no,low,use_as_ambiguous_context,,"LTF/EWO support bearish count, but H4 bullish changes it to correction against higher frame.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png
