severity,area,item,detail,recommendation
pendiente/no bloqueante,vigencia_live,AUDCAD.r M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDCAD.r M15,gaps cortos/anomalos: 9,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDCAD.r M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDCAD.r M30,gaps cortos/anomalos: 8,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDCAD.r H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDCAD.r H1,gaps cortos/anomalos: 5,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDCAD.r H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDCAD.r H4,gaps cortos/anomalos: 4,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDCAD.r D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,AUDJPY.r M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDJPY.r M15,gaps cortos/anomalos: 9,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDJPY.r M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDJPY.r M30,gaps cortos/anomalos: 8,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDJPY.r H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDJPY.r H1,gaps cortos/anomalos: 5,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDJPY.r H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDJPY.r H4,gaps cortos/anomalos: 4,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDJPY.r D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,AUDNZD.r M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDNZD.r M15,gaps cortos/anomalos: 11,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDNZD.r M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDNZD.r M30,gaps cortos/anomalos: 9,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDNZD.r H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDNZD.r H1,gaps cortos/anomalos: 5,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDNZD.r H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDNZD.r H4,gaps cortos/anomalos: 4,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDNZD.r D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,AUDUSD.r M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDUSD.r M15,gaps cortos/anomalos: 8,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDUSD.r M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDUSD.r M30,gaps cortos/anomalos: 8,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDUSD.r H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDUSD.r H1,gaps cortos/anomalos: 5,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDUSD.r H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,AUDUSD.r H4,gaps cortos/anomalos: 4,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,AUDUSD.r D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,CADCHF.r M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,CADCHF.r M15,gaps cortos/anomalos: 15,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
