current_name,current_path,phase_or_subphase,purpose,is_current,is_historical_or_superseded,is_diagnostic,contains_csv,contains_png,contains_report,contains_run_meta,csv_count,png_count,md_count,current_table_image_refs,current_table_missing_image_refs,nested_image_refs,nested_missing_image_refs,recommended_status,proposed_path,path_risk,conservation_policy
_superseded_2026-05-21,artifacts\wavecount\_superseded_2026-05-21,superseded,legacy material already separated; preserve,False,True,False,True,True,True,False,14,183,4,0,0,390,174,historical,artifacts/wavecount/99_superseded/_superseded_2026-05-21,nested refs need rewrite,preserve; no deletion
global_audit_2026-05-24,artifacts\wavecount\90_global_audits\global_audit_2026-05-24,audit,global audit and current state snapshot,True,False,False,True,False,True,True,9,0,1,0,0,0,0,canonical,artifacts\wavecount\90_global_audits\global_audit_2026-05-24,ok,preserve; no deletion
phase1_5_structural_swings_2026-05-17,artifacts\wavecount\phase1_5_structural_swings_2026-05-17,phase1_5,structural swings,True,False,False,True,True,True,True,3,4,1,0,0,0,0,canonical,artifacts/wavecount/01_pivots_and_swings/phase1_5_structural_swings_2026-05-17,ok,preserve; no deletion
phase1_6_swing_degrees_2026-05-17,artifacts\wavecount\phase1_6_swing_degrees_2026-05-17,phase1_6,minor/intermediate/major degrees,True,False,False,True,True,True,True,3,4,1,0,0,0,0,canonical,artifacts/wavecount/01_pivots_and_swings/phase1_6_swing_degrees_2026-05-17,ok,preserve; no deletion
phase1_pivots_2026-05-17,artifacts\wavecount\phase1_pivots_2026-05-17,phase1,causal pivot base,True,False,False,True,True,True,True,2,4,2,4,0,0,0,canonical,artifacts/wavecount/01_pivots_and_swings/phase1_pivots_2026-05-17,ok,preserve; no deletion
phase2_1_false_negative_review_2026-05-17,artifacts\wavecount\phase2_1_false_negative_review_2026-05-17,phase2_1,hard/soft invalidation review,True,False,True,True,True,True,True,2,20,1,0,0,0,0,diagnostic,artifacts/wavecount/02_candidate_counts/phase2_1_invalidations_2026-05-17,ok,preserve; no deletion
phase2_2_impulse_diagnostics_2026-05-17,artifacts\wavecount\phase2_2_impulse_diagnostics_2026-05-17,phase2_2,impulse absence diagnostics,True,False,True,True,True,True,True,4,25,1,0,0,0,0,diagnostic,artifacts/wavecount/02_candidate_counts/phase2_2_impulse_diagnostics_2026-05-17,ok,preserve; no deletion
phase2_3_1_wave5_endpoint_2026-05-21,artifacts\wavecount\phase2_3_1_wave5_endpoint_2026-05-21,phase2_3_1,wave 5 endpoint uncertainty,True,False,True,True,True,True,True,8,32,7,224,74,0,0,diagnostic,artifacts/wavecount/03_visual_review/phase2_3_1_wave5_endpoint_2026-05-21,has broken current-table image refs,preserve; no deletion
phase2_3_2_4_h4_d1_visual_audit_2026-05-20,artifacts\wavecount\phase2_3_2_4_h4_d1_visual_audit_2026-05-20,phase2_3_legacy,superseded by phase2_3_4 and later audits,False,True,False,True,False,True,True,5,0,5,491,274,0,0,historical,artifacts/wavecount/99_superseded/phase2_3_2_4_h4_d1_visual_audit_2026-05-20,has broken current-table image refs,preserve; no deletion
phase2_3_2_4_visual_reaudit_2026-05-19,artifacts\wavecount\phase2_3_2_4_visual_reaudit_2026-05-19,phase2_3_legacy,compressed-axis re-audit kept for traceability,False,True,False,True,False,True,True,5,0,5,341,165,0,0,historical,artifacts/wavecount/99_superseded/phase2_3_2_4_visual_reaudit_2026-05-19,has broken current-table image refs,preserve; no deletion
phase2_3_2_partial123_2026-05-21,artifacts\wavecount\phase2_3_2_partial123_2026-05-21,phase2_3_2,partial 1-2-3 laxity,True,False,True,True,True,True,True,9,17,7,128,47,0,0,diagnostic,artifacts/wavecount/03_visual_review/phase2_3_2_partial123_2026-05-21,has broken current-table image refs,preserve; no deletion
phase2_3_3_degree_calibration_2026-05-23,artifacts\wavecount\phase2_3_3_degree_calibration_2026-05-23,phase2_3_3,degree calibration,True,False,True,True,True,True,True,6,8,3,17,0,0,0,diagnostic,artifacts/wavecount/03_visual_review/phase2_3_3_degree_calibration_2026-05-23,ok,preserve; no deletion
phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,phase2_3_4,H4/D1 visual closure,True,False,False,True,True,True,True,8,100,6,622,154,0,0,canonical,artifacts/wavecount/03_visual_review/phase2_3_4_h4_d1_visual_closure_2026-05-23,has broken current-table image refs,preserve; no deletion
phase2_3_manual_feedback_h1_m30_2026-05-21,artifacts\wavecount\phase2_3_manual_feedback_h1_m30_2026-05-21,phase2_3_manual,manual feedback integration,True,False,True,True,False,True,True,7,0,7,66,33,0,0,diagnostic,artifacts/wavecount/03_visual_review/phase2_3_manual_feedback_h1_m30_2026-05-21,has broken current-table image refs,preserve; no deletion
phase2_3_visual_review_2026-05-17,artifacts\wavecount\phase2_3_visual_review_2026-05-17,phase2_3,"count-only visual review, with h1_m30 and h4_d1 subfolders",True,False,False,True,True,True,False,8,108,7,0,0,216,0,canonical,artifacts/wavecount/03_visual_review/phase2_3_visual_review_2026-05-17,ok,preserve; no deletion
phase2_4_1_context_visual_audit_2026-05-19,artifacts\wavecount\phase2_4_1_context_visual_audit_2026-05-19,phase2_4_1,context visual audit,True,False,True,True,False,True,True,6,0,4,174,174,0,0,diagnostic,artifacts/wavecount/04_context_and_corrections/phase2_4_1_context_visual_audit_2026-05-19,has broken current-table image refs,preserve; no deletion
phase2_4_2_context_quality_audit_2026-05-23,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23,phase2_4_2,context quality closure,True,False,False,True,True,True,True,10,134,11,895,0,0,0,canonical,artifacts/wavecount/04_context_and_corrections/phase2_4_2_context_quality_2026-05-23,ok,preserve; no deletion
phase2_4_3_abc_quality_audit_2026-05-23,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23,phase2_4_3,corrected ABC quality audit,True,False,True,True,True,True,True,8,62,9,327,109,0,0,experimental,artifacts/wavecount/04_context_and_corrections/phase2_4_3_abc_quality_2026-05-23,has broken current-table image refs,preserve; no deletion
phase2_4_4_contextual_corrections_2026-05-24,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24,phase2_4_4,contextual corrections,True,False,True,True,True,True,True,10,45,11,352,0,0,0,experimental,artifacts/wavecount/04_context_and_corrections/phase2_4_4_contextual_corrections_2026-05-24,ok,preserve; no deletion
phase2_4_5_pre_phase25_closure_2026-05-24,artifacts\wavecount\phase2_4_5_pre_phase25_closure_2026-05-24,phase2_4_5,pre-2.5 closure,True,False,False,True,False,True,True,9,0,10,29,0,0,0,canonical,artifacts/wavecount/04_context_and_corrections/phase2_4_5_pre_phase25_closure_2026-05-24,ok,preserve; no deletion
phase2_4_context_2026-05-18,artifacts\wavecount\phase2_4_context_2026-05-18,phase2_4,EMA/EWO/HTF context base,True,False,False,True,True,True,False,8,108,5,0,0,216,0,canonical,artifacts/wavecount/04_context_and_corrections/phase2_4_context_2026-05-18,ok,preserve; no deletion
phase2_5_0_guided_context_score_2026-05-24,artifacts\wavecount\05_guided_profile\phase2_5_0_guided_context_score_2026-05-24,phase2_5_0,guided context scoring,True,False,False,True,False,True,True,9,0,10,1174,0,0,0,canonical,artifacts\wavecount\05_guided_profile\phase2_5_0_guided_context_score_2026-05-24,ok,preserve; no deletion
phase2_5_1_guided_impulse_profile_2026-05-24,artifacts\wavecount\05_guided_profile\phase2_5_1_guided_impulse_profile_2026-05-24,phase2_5_1,minimal guided impulse profile,True,False,False,True,True,True,True,7,1,8,817,0,0,0,canonical,artifacts\wavecount\05_guided_profile\phase2_5_1_guided_impulse_profile_2026-05-24,ok,preserve; no deletion
phase2_5_2_guided_impulse_expansion_2026-05-24,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24,phase2_5_2,controlled H4/D1 expansion,True,False,False,True,True,True,True,20,166,15,835,0,216,0,canonical,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24,ok,preserve; no deletion
phase2_5_2b_h1_h4_aux_expansion_2026-05-24,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24,phase2_5_2b,H1/H4 auxiliary and prominence,True,False,True,True,True,True,True,21,175,16,1028,0,216,0,auxiliary,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24,ok,preserve; no deletion
phase2_5_3_descriptive_stats_2026-05-24,artifacts\wavecount\05_guided_profile\phase2_5_3_descriptive_stats_2026-05-24,phase2_5_3,descriptive statistics,True,False,False,True,True,True,True,13,5,14,56,0,0,0,canonical,artifacts\wavecount\05_guided_profile\phase2_5_3_descriptive_stats_2026-05-24,ok,preserve; no deletion
phase2_abc_fix_2026-05-20,artifacts\wavecount\phase2_abc_fix_2026-05-20,phase2_abc_fix,ABC plotting/ordering fix lineage,True,False,True,True,True,True,True,8,45,5,65,24,0,0,diagnostic,artifacts/wavecount/04_context_and_corrections/phase2_abc_fix_2026-05-20,has broken current-table image refs,preserve; no deletion
phase2_candidate_counts_2026-05-17,artifacts\wavecount\phase2_candidate_counts_2026-05-17,phase2,base candidate counts,True,False,False,True,True,True,True,3,4,1,0,0,0,0,canonical,artifacts/wavecount/02_candidate_counts/phase2_base_counts_2026-05-17,ok,preserve; no deletion
reorg_plan_2026-05-24,artifacts\wavecount\90_global_audits\reorg_plan_2026-05-24,reorg_plan,reorganization audit/proposal; no files moved,True,False,False,True,False,True,True,9,0,1,0,0,0,0,canonical,artifacts\wavecount\90_global_audits\reorg_plan_2026-05-24,ok,preserve; no deletion
