metric,value
h4_d1_cases,54
auxiliary_cases,54
h4_d1_htf_lookahead_violations,0
aux_htf_lookahead_violations,0
h4_context_status_context_should_not_rescue_count,24
h4_context_status_context_explains_ambiguity,13
h4_context_status_context_confirms_good_count,5
h4_context_status_context_conflicts_but_explains,4
h4_context_status_context_improves_confidence,3
h4_context_status_context_conflicts_suspicious,3
h4_context_status_context_misleading,2
h4_quality_candidate_no_context_only,28
h4_quality_candidate_no_misleading,8
h4_quality_candidate_yes_but_needs_manual_validation,6
h4_quality_candidate_yes_soft_rule,6
h4_quality_candidate_no_too_noisy,6
h4_rule_candidate_do_not_use_as_rule,34
h4_rule_candidate_htf_alignment_soft_filter,9
h4_rule_candidate_ewo_wave3_momentum_support,3
h4_rule_candidate_ema_transition_support,2
h4_rule_candidate_htf_alignment_soft_filter;ewo_wave3_momentum_support,2
h4_rule_candidate_ewo_wave5_divergence_warning,2
h4_rule_candidate_ema_transition_support;ewo_wave3_momentum_support,1
h4_rule_candidate_ema_band_ambiguity_penalty,1
aux_context_status_context_should_not_rescue_count,25
aux_context_status_context_explains_ambiguity,15
aux_context_status_context_confirms_good_count,13
aux_context_status_context_misleading,1
