best_examples_row,phase,candidate_id,review_category,swing_degree,chart_path,context_chart_path,prior_status,prior_score,user_label,user_note,used_for_phase23_closure
1,phase2_3_h4_count_only,impulse_metals_xagusd_h4_minor_impulse_001,impulse,minor,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,,excellent_example,5.0,,,True
2,phase2_3_h4_count_only,impulse_forex_eurjpy_h4_minor_impulse_022,impulse,minor,charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,,excellent_example,5.0,dudoso,El usuario lo marca como dudoso.,True
3,phase2_3_h4_count_only,impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,intermediate,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,,excellent_example,5.0,bien,El usuario lo marca como bien.,True
4,phase2_3_h4_count_only,impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,intermediate,charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,,excellent_example,5.0,bien,El usuario lo marca como bien.,True
5,phase2_3_h4_count_only,impulse_forex_gbpusd_h4_major_impulse_012,impulse,major,charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png,,excellent_example,5.0,bien,El usuario lo marca como bien.,True
6,phase2_3_h4_count_only,partial_123_metals_xagusd_h4_intermediate_partial123_001,partial_123,intermediate,charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,,visually_defensible,4.0,bien,El usuario lo marca como bien.,True
7,phase2_3_h4_count_only,partial_123_forex_audjpy_h4_intermediate_partial123_005,partial_123,intermediate,charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,,visually_defensible,4.0,mal,Onda 3 muy pequena; degradar.,True
8,phase2_3_h4_count_only,partial_123_forex_audjpy_h4_minor_partial123_005,partial_123,minor,charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,,excellent_example,5.0,dudoso,El usuario lo marca como dudoso.,True
9,phase2_3_h4_count_only,partial_123_forex_audjpy_h4_major_partial123_003,partial_123,major,charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,,excellent_example,5.0,dudoso,El usuario lo marca como dudoso.,True
10,phase2_3_h4_count_only,partial_123_forex_audjpy_h4_major_partial123_005,partial_123,major,charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,,excellent_example,5.0,bien,El usuario lo marca como bien.,True
11,phase2_3_h4_count_only,hard_invalid_index_aus200_h4_intermediate_impulse_001,hard_invalid,intermediate,charts\invalidations\048_hard_invalid_index_aus200_h4_intermediate_impulse_001.png,,hard_invalid_correct,5.0,bien,El usuario lo marca como bien.,True
12,phase2_3_h4_count_only,hard_invalid_metals_xagusd_h4_major_impulse_001,hard_invalid,major,charts\invalidations\053_hard_invalid_metals_xagusd_h4_major_impulse_001.png,,hard_invalid_correct,5.0,hard_invalid_correct,"Mal como impulso, correcto que sea invalido.",True
13,phase2_4_h4_d1_context,impulse_metals_xagusd_h4_minor_impulse_001,impulse,minor,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,,,ignore_phase24,Pertenece a Fase 2.4/contexto; no se usa para cerrar Fase 2.3.,False
14,phase2_4_h4_d1_context,impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,intermediate,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,,,,,False
15,phase2_4_h4_d1_context,impulse_metals_xpdusd_h4_major_impulse_001,impulse,major,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,,,,,False
16,phase2_4_h4_d1_context,partial_123_metals_xagusd_h4_intermediate_partial123_001,partial_123,intermediate,charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,,,,,False
17,phase2_4_h4_d1_context,partial_123_forex_audjpy_h4_intermediate_partial123_005,partial_123,intermediate,charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,,,,,False
18,phase2_4_h4_d1_context,partial_123_metals_xagusd_h4_minor_partial123_001,partial_123,minor,charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,,,,,False
19,phase2_4_h4_d1_context,partial_123_forex_audjpy_h4_minor_partial123_005,partial_123,minor,charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,,,,,False
20,phase2_4_h4_d1_context,partial_123_forex_audjpy_h4_major_partial123_003,partial_123,major,charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,,,,,False
21,phase2_4_h4_d1_context,partial_123_forex_audjpy_h4_major_partial123_005,partial_123,major,charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,,,,,False
22,phase2_4_h4_d1_context,near_miss_forex_audjpy_h4_major_impulse_005,near_miss,major,charts\impulses\043_near_miss_forex_audjpy_h4_major_impulse_005.png,charts\impulses\043_near_miss_forex_audjpy_h4_major_impulse_005.png,,,,,False
