candidate_id,correction_role,alternation_quality,alternation_notes,reviewed_chart_path
abc_forex_audjpy_h4_intermediate_abc_002,standalone_countertrend_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png
abc_metals_xagusd_h4_intermediate_abc_003,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png
abc_index_aus200_h4_intermediate_abc_006,possible_wave4_correction,unknown,"Possible wave-4 context, but current artifacts do not expose a comparable confirmed wave-2 correction for alternation.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_027_abc_index_aus200_h4_intermediate_abc_006.png
abc_forex_audjpy_h4_intermediate_abc_005,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png
abc_forex_audjpy_h4_minor_abc_002,standalone_countertrend_correction,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_029_abc_forex_audjpy_h4_minor_abc_002.png
abc_metals_xagusd_h4_minor_abc_003,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_030_abc_metals_xagusd_h4_minor_abc_003.png
abc_index_aus200_h4_minor_abc_005,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_031_abc_index_aus200_h4_minor_abc_005.png
abc_forex_audjpy_h4_minor_abc_005,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_032_abc_forex_audjpy_h4_minor_abc_005.png
abc_forex_audjpy_h4_major_abc_003,possible_wave4_correction,unknown,"Possible wave-4 context, but current artifacts do not expose a comparable confirmed wave-2 correction for alternation.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_033_abc_forex_audjpy_h4_major_abc_003.png
abc_metals_xagusd_h4_major_abc_003,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_034_abc_metals_xagusd_h4_major_abc_003.png
