candidate_order,candidate_id,review_category,suggested_initial_label,review_label,reviewer_notes,visual_quality_score,should_keep_for_methodology,suggested_action,review_options,chart_path,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,failure_reasons,source_table,source_id,example_id,start_time,end_time
1,impulse_exp252_forex_audjpy_h4_minor_impulse_004,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\001_impulse_exp252_forex_audjpy_h4_minor_impulse_004.png,Forex Majors,AUDJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_forex_audjpy_h4_minor_impulse_004,exp252_forex_audjpy_h4,2025-08-27 00:00:00,2025-09-12 12:00:00
2,impulse_exp252_metals_xagusd_h4_minor_impulse_004,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png,Metals,XAGUSD.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_metals_xagusd_h4_minor_impulse_004,exp252_metals_xagusd_h4,2025-08-27 12:00:00,2025-09-03 16:00:00
3,impulse_exp252_index_aus200_h4_minor_impulse_028,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\003_impulse_exp252_index_aus200_h4_minor_impulse_028.png,Index,AUS200,H4,minor,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_index_aus200_h4_minor_impulse_028,exp252_index_aus200_h4,2025-10-21 04:00:00,2025-11-05 00:00:00
4,impulse_exp252_forex_audjpy_h4_minor_impulse_022,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\004_impulse_exp252_forex_audjpy_h4_minor_impulse_022.png,Forex Majors,AUDJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_forex_audjpy_h4_minor_impulse_022,exp252_forex_audjpy_h4,2025-10-17 08:00:00,2025-11-03 08:00:00
5,impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png,Forex Majors,AUDJPY.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_forex_audjpy_h4_intermediate_impulse_002,exp252_forex_audjpy_h4,2025-08-20 16:00:00,2025-09-12 12:00:00
6,impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png,Metals,XAGUSD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_metals_xagusd_h4_intermediate_impulse_002,exp252_metals_xagusd_h4,2025-08-20 08:00:00,2025-09-03 16:00:00
7,impulse_exp252_index_aus200_h4_intermediate_impulse_020,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png,Index,AUS200,H4,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_index_aus200_h4_intermediate_impulse_020,exp252_index_aus200_h4,2025-10-21 04:00:00,2025-11-05 00:00:00
8,impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\008_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png,Forex Majors,EURJPY.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_forex_eurjpy_h4_intermediate_impulse_007,exp252_forex_eurjpy_h4,2025-09-09 12:00:00,2025-09-26 16:00:00
9,impulse_exp252_forex_eurusd_h4_major_impulse_016,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\009_impulse_exp252_forex_eurusd_h4_major_impulse_016.png,Forex Majors,EURUSD.r,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_forex_eurusd_h4_major_impulse_016,exp252_forex_eurusd_h4,2025-11-21 16:00:00,2025-12-24 04:00:00
10,impulse_exp252_metals_xagusd_h4_major_impulse_002,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png,Metals,XAGUSD.r,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_metals_xagusd_h4_major_impulse_002,exp252_metals_xagusd_h4,2025-08-20 08:00:00,2025-10-09 16:00:00
