case_id,symbol,market_group,timeframe,count_label,wave_number,confidence_status,quality_status,quality_score,quality_reason,direction,study_status,classification_reason,pivot_count,structure_points_count,start_time,end_time,last_close_time,start_price,end_price,latest_close,activation_level,invalidation_level,swing_degree,screener_bucket,live_estimated_wave,confirmed_wave_context,current_leg_direction,source_ohlc,source_method,is_study_only,is_signal,wavecount_used_as_filter,can_execute_order
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W4?|2026-06-08 14:00:00,AUDCAD.r,Forex Majors,H1,W4?,4,candidate,fuerte,5,candidata; 5 puntos estructurales; tramo actual visible; nivel estructural parcial; tramo actual suficiente; tramo con peso visual alto,long,study_only,basic impulse prefix constraints satisfied,64,5,2026-06-04 15:00:00,2026-06-08 14:00:00,2026-06-08 14:00:00,0.99298,0.98529,0.98529,,0.99146,intermediate,candidate_wave_watch,possible_wave4_candidate,possible_wave4_candidate,up,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W2?|2026-06-08 08:00:00,AUDCAD.r,Forex Majors,H4,W2?,2,candidate,media,2,candidata; estructura temprana; tramo actual visible; niveles estructurales completos; onda temprana; tramo con peso visual alto,short,study_only,basic impulse prefix constraints satisfied,83,3,2026-05-29 00:00:00,2026-06-04 00:00:00,2026-06-08 08:00:00,0.98547,0.9896,0.98314,0.99507,0.98547,intermediate,candidate_wave_watch,possible_wave2_candidate,possible_wave2_candidate,down,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,W5?,5,candidate,media,1,candidata; conteo maduro con 6+ puntos; tramo actual visible; niveles estructurales completos; onda avanzada; tramo actual casi plano; tramo con poco peso visual,short,study_only,basic impulse prefix constraints satisfied,62,6,2026-06-02 23:00:00,2026-06-08 14:00:00,2026-06-08 14:00:00,114.869,113.091,113.091,112.257,113.112,intermediate,candidate_wave_watch,possible_wave5_candidate,possible_wave5_candidate,down,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-06-08 08:00:00,AUDJPY.r,Forex Majors,H4,W3?,3,candidate,fuerte,5,candidata; 4+ puntos estructurales; tramo actual visible; niveles estructurales completos; tramo actual suficiente; tramo con peso visual alto,short,study_only,basic impulse prefix constraints satisfied,70,4,2026-06-02 16:00:00,2026-06-08 08:00:00,2026-06-08 08:00:00,114.913,112.78,112.78,113.826,114.225,intermediate,candidate_wave_watch,possible_wave3_candidate,possible_wave3_candidate,down,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W3?|2026-06-08 14:00:00,AUDNZD.r,Forex Majors,H1,W3?,3,candidate,media,1,candidata; 4+ puntos estructurales; tramo actual visible; niveles estructurales completos; tramo actual casi plano; tramo con peso visual suficiente,short,study_only,basic impulse prefix constraints satisfied,52,4,2026-06-03 20:00:00,2026-06-08 14:00:00,2026-06-08 14:00:00,1.21664,1.21327,1.21327,1.21056,1.21544,intermediate,candidate_wave_watch,possible_wave3_candidate,possible_wave3_candidate,down,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W3?|2026-06-08 08:00:00,AUDNZD.r,Forex Majors,H4,W3?,3,candidate,debil,-2,candidata; 4+ puntos estructurales; tramo actual visible; niveles estructurales completos; tramo actual casi plano; tramo con poco peso visual,short,study_only,basic impulse prefix constraints satisfied,78,4,2026-05-26 20:00:00,2026-06-08 08:00:00,2026-06-08 08:00:00,1.22842,1.2146,1.2146,1.19712,1.21664,intermediate,candidate_wave_watch,possible_wave3_candidate,possible_wave3_candidate,down,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDUSD.r|H1|W4?|2026-06-08 14:00:00,AUDUSD.r,Forex Majors,H1,W4?,4,candidate,media,4,candidata; 5 puntos estructurales; tramo actual visible; nivel estructural parcial; tramo actual suficiente; tramo con peso visual suficiente,long,study_only,basic impulse prefix constraints satisfied,64,5,2026-06-04 15:00:00,2026-06-08 14:00:00,2026-06-08 14:00:00,0.71487,0.70695,0.70695,,0.71438,intermediate,candidate_wave_watch,possible_wave4_candidate,possible_wave4_candidate,up,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDUSD.r|H4|W3?|2026-06-08 08:00:00,AUDUSD.r,Forex Majors,H4,W3?,3,candidate,fuerte,5,candidata; 4+ puntos estructurales; tramo actual visible; niveles estructurales completos; tramo actual suficiente; tramo con peso visual alto,short,study_only,basic impulse prefix constraints satisfied,87,4,2026-06-02 16:00:00,2026-06-08 08:00:00,2026-06-08 08:00:00,0.71879,0.70478,0.70478,0.71223,0.71438,intermediate,candidate_wave_watch,possible_wave3_candidate,possible_wave3_candidate,down,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|CADCHF.r|H1|W4?|2026-06-08 14:00:00,CADCHF.r,Forex Majors,H1,W4?,4,candidate,debil,-2,candidata; 5 puntos estructurales; tramo actual visible; nivel estructural parcial; tramo actual casi plano; tramo con poco peso visual,short,study_only,basic impulse prefix constraints satisfied,56,5,2026-06-05 00:00:00,2026-06-08 14:00:00,2026-06-08 14:00:00,0.56634,0.57149,0.57149,,0.5679,intermediate,candidate_wave_watch,possible_wave4_candidate,possible_wave4_candidate,down,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|CADCHF.r|H4|W3?|2026-06-08 08:00:00,CADCHF.r,Forex Majors,H4,W3?,3,candidate,fuerte,5,candidata; 4+ puntos estructurales; tramo actual visible; niveles estructurales completos; tramo actual suficiente; tramo con peso visual alto,long,study_only,basic impulse prefix constraints satisfied,79,4,2026-06-01 00:00:00,2026-06-08 08:00:00,2026-06-08 08:00:00,0.56464,0.57209,0.57209,0.57041,0.56634,intermediate,candidate_wave_watch,possible_wave3_candidate,possible_wave3_candidate,up,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|CADJPY.r|H1|W2?|2026-06-08 14:00:00,CADJPY.r,Forex Majors,H1,W2?,2,candidate,debil,-2,candidata; estructura temprana; tramo actual visible; niveles estructurales completos; onda temprana; tramo actual casi plano,long,study_only,basic impulse prefix constraints satisfied,43,3,2026-06-05 15:00:00,2026-06-08 14:00:00,2026-06-08 14:00:00,115.348,114.77,114.77,114.58,115.348,intermediate,candidate_wave_watch,possible_wave2_candidate,possible_wave2_candidate,up,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|CADJPY.r|H4|W2?|2026-06-08 08:00:00,CADJPY.r,Forex Majors,H4,W2?,2,candidate,debil,-4,candidata; estructura temprana; tramo actual visible; niveles estructurales completos; onda temprana; tramo actual casi plano; tramo con poco peso visual,long,study_only,basic impulse prefix constraints satisfied,74,3,2026-06-02 16:00:00,2026-06-08 08:00:00,2026-06-08 08:00:00,115.671,114.705,114.705,114.64,115.671,intermediate,candidate_wave_watch,possible_wave2_candidate,possible_wave2_candidate,up,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|CHFJPY.r|H1|W5|2026-06-08 14:00:00,CHFJPY.r,Forex Majors,H1,W5,5,active,fuerte,10,estructura activa; conteo maduro con 6+ puntos; tramo actual visible; niveles estructurales completos; onda avanzada; etiqueta sin interrogante; tramo con peso visual suficiente,short,study_only,basic impulse prefix constraints satisfied,59,6,2026-06-02 09:00:00,2026-06-08 11:00:00,2026-06-08 14:00:00,203.592,200.329,200.82,200.814,201.493,intermediate,active_wave_study_candidate,possible_wave5_active,possible_wave5_active,down,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|CHFJPY.r|H4|W1?|2026-06-08 08:00:00,CHFJPY.r,Forex Majors,H4,W1?,1,candidate,media,2,candidata; estructura temprana; tramo actual visible; sin niveles estructurales; tramo actual suficiente; tramo con peso visual alto,short,study_only,basic impulse prefix constraints satisfied,81,2,2026-05-29 16:00:00,2026-06-04 00:00:00,2026-06-08 08:00:00,204.201,201.754,200.496,,,intermediate,candidate_wave_watch,possible_wave1_candidate,possible_wave1_candidate,down,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|EURAUD.r|H1|W4?|2026-06-08 14:00:00,EURAUD.r,Forex Majors,H1,W4?,4,candidate,media,2,candidata; 5 puntos estructurales; tramo actual visible; nivel estructural parcial; tramo actual corto; tramo con peso visual suficiente,short,study_only,basic impulse prefix constraints satisfied,52,5,2026-06-03 00:00:00,2026-06-08 14:00:00,2026-06-08 14:00:00,1.6177899999999998,1.6318,1.6318,,1.62465,intermediate,candidate_wave_watch,possible_wave4_candidate,possible_wave4_candidate,down,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|EURAUD.r|H4|W1?|2026-06-08 08:00:00,EURAUD.r,Forex Majors,H4,W1?,1,candidate,media,2,candidata; estructura temprana; tramo actual visible; sin niveles estructurales; tramo actual suficiente; tramo con peso visual alto,long,study_only,basic impulse prefix constraints satisfied,67,2,2026-06-03 00:00:00,2026-06-04 12:00:00,2026-06-08 08:00:00,1.6177899999999998,1.63042,1.63286,,,intermediate,candidate_wave_watch,possible_wave1_candidate,possible_wave1_candidate,up,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|EURCAD.r|H1|W3?|2026-06-08 14:00:00,EURCAD.r,Forex Majors,H1,W3?,3,candidate,debil,-2,candidata; 4+ puntos estructurales; tramo actual visible; niveles estructurales completos; tramo actual casi plano; tramo con poco peso visual,short,study_only,basic impulse prefix constraints satisfied,53,4,2026-06-04 15:00:00,2026-06-08 14:00:00,2026-06-08 14:00:00,1.61772,1.60791,1.60791,1.5977,1.60829,intermediate,candidate_wave_watch,possible_wave3_candidate,possible_wave3_candidate,down,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|EURCAD.r|H4|W5|2026-06-08 08:00:00,EURCAD.r,Forex Majors,H4,W5,5,active,fuerte,12,estructura activa; conteo maduro con 6+ puntos; tramo actual visible; niveles estructurales completos; onda avanzada; etiqueta sin interrogante; tramo actual suficiente; tramo con peso visual alto,long,study_only,basic impulse prefix constraints satisfied,65,6,2026-05-18 00:00:00,2026-06-04 12:00:00,2026-06-08 08:00:00,1.59181,1.61772,1.60543,1.61224,1.60405,intermediate,active_wave_study_candidate,possible_wave5_active,possible_wave5_active,up,artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
