candidate_order,candidate_id,review_category,symbol,timeframe,swing_degree,direction,inferred_wave_role_from_ewo,ewo_context_usefulness,ewo_rule_assessment,visual_quality_score,visual_notes
1,impulse_forex_audjpy_h1_minor_impulse_013,impulse,AUDJPY.r,H1,minor,bullish,bullish impulse with late momentum peak,useful_for_wave_role,usable_soft_rule,5,Natural bullish 1-2-3-4-5 after EMA compression; 3 and 5 ride above EMA50/150 and HTF agrees. Count is defensible but the final high looks more like the momentum climax than a clean weaker fifth.
2,impulse_metals_xagusd_h1_minor_impulse_019,impulse,XAGUSD.r,H1,minor,bearish,weak bearish submove after bullish EWO phase,unclear,too_noisy,2,Bearish count sits inside noisy sideways decline after a bullish rebound; 0-2 are crowded and 3-5 do not separate cleanly. EMA context is bearish locally but HTF conflict and weak structure make it poor for rules.
3,impulse_index_aus200_h1_minor_impulse_006,impulse,AUS200,H1,minor,bearish,bearish wave 3 momentum confirmation,useful_for_wave_role,usable_soft_rule,4,The bearish 1-2-3-4-5 is visually coherent: wave 3 is the sharp break under both EMAs and wave 5 extends lower. Context says correction against HTF rather than clean trend continuation.
4,impulse_forex_audjpy_h1_minor_impulse_015,impulse,AUDJPY.r,H1,minor,bullish,bullish impulse with EWO crest near 3-5 zone,useful_for_wave_role,usable_soft_rule,5,"Best AUDJPY minor example in this block: 0-1-2 launches from basing area, wave 3 breaks trend cleanly and 4 is shallow. EMAs and HTF support the bullish reading."
5,impulse_forex_audjpy_h1_intermediate_impulse_009,impulse,AUDJPY.r,H1,intermediate,bullish,bullish expansion with sustained positive EWO,useful_for_wave_role,usable_soft_rule,4,"Same rally works at intermediate scale, with a reasonable 1-2 base and strong continuation to 5. EWO is positive through the advance, though the strongest oscillator reading arrives late."
6,impulse_metals_xauusd_h1_intermediate_impulse_013,impulse,XAUUSD.r,H1,intermediate,bearish,bearish impulse after failed rebound,useful_for_wave_role,promising_but_needs_review,4,"Bearish direction is supported by EMAs and later price action, but the fifth is selected far after the first decline and feels stitched across congestion. Useful as a counter-HTF case, not a clean template."
7,impulse_index_aus200_h1_intermediate_impulse_004,impulse,AUS200,H1,intermediate,bearish,bearish third-wave selloff,useful_for_wave_role,promising_but_needs_review,4,"The major drop into wave 3 is convincing and EWO goes deeply negative, but the first two waves are cramped around the top. Keep for review as a bearish correction against bullish HTF."
8,impulse_forex_eurjpy_m30_intermediate_impulse_005,impulse,EURJPY.r,M30,intermediate,bearish,bearish wave 3 momentum trough,useful_for_wave_role,usable_soft_rule,4,"Bearish count is mostly natural: wave 3 is the momentum break below EMAs and 4 is a clear rebound. The fifth low is distant and lower-momentum, which is plausible Elliott behavior but needs manual acceptance."
9,impulse_metals_xagusd_h1_major_impulse_009,impulse,XAGUSD.r,H1,major,bearish,bearish continuation with negative EWO after wave 2,useful_for_wave_role,promising_but_needs_review,4,Large bearish structure is coherent and aligned with EMA/HTF context. It is less clean than AUS200 because the middle segment contains overlapping chop before the final low.
10,impulse_index_aus200_h1_major_impulse_002,impulse,AUS200,H1,major,bearish,bearish impulse with deep negative EWO,useful_for_wave_role,usable_soft_rule,4,Good bearish five-wave candidate: sharp wave 3 visible wave 4 rebound and lower wave 5. The oscillator supports bearish momentum but HTF bullish context should prevent treating it as a clean aligned setup.
