example_type,candidate_id,source_phase,policy,reason,chart_path
h4_d1_count_only,impulse_metals_xagusd_h4_intermediate_impulse_007,2.3.4,best_count_example,Muy buen ejemplo H4: onda 3 amplia y onda 5 natural. User: bien.,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png
h4_d1_count_only,impulse_index_aus200_h4_intermediate_impulse_015,2.3.4,best_count_example,Estructura H4 limpia con onda 3 suficiente y 4-5 legibles.,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\007_impulse_index_aus200_h4_intermediate_impulse_015.png
h4_d1_count_only,partial_123_metals_xagusd_h4_major_partial123_003,2.3.4,best_count_example,"Major muy solido, con onda 3 amplia y continuacion fuerte. Diagnostico mecanico invalidated_after_3 no se aplica como downgrade duro porque la revision visual muestra continuidad o estructura defendible.",artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\022_partial_123_metals_xagusd_h4_major_partial123_003.png
h4_d1_count_only,partial_123_forex_audjpy_h4_major_partial123_005,2.3.4,best_count_example,Muy buen 1-2-3 alcista de grado superior. Diagnostico mecanico belongs_to_prior_wave_45 no se aplica como downgrade duro porque la revision visual muestra continuidad o estructura defendible. User: bien.,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\024_partial_123_forex_audjpy_h4_major_partial123_005.png
h4_d1_count_only,impulse_forex_eurusd_h4_intermediate_impulse_012,2.3.4,best_count_example,Onda 3 clara; tramo algo corto pero defendible. User: bien.,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png
h4_d1_count_only,impulse_forex_eurusd_h4_intermediate_impulse_007,2.3.4,best_count_example,"Impulso bajista defendible, escala H4 correcta.",artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png
h4_d1_count_only,partial_123_metals_xagusd_h4_intermediate_partial123_001,2.3.4,best_count_example,Buen 1-2-3 alcista con onda 3 visible y continuacion posterior. Diagnostico mecanico partial_123_too_lax no se aplica como downgrade duro porque la revision visual muestra continuidad o estructura defendible. User: bien.,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png
h4_d1_count_only,impulse_index_aus200_h4_major_impulse_013,2.3.4,best_count_example,"Bueno visualmente, pero similar al intermediate; tratar como contexto superior.",artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\011_impulse_index_aus200_h4_major_impulse_013.png
context_confirms_good_count,impulse_metals_xagusd_h4_intermediate_impulse_007,2.4.2,best_context_example,"Mejor caso: conteo limpio, EMAs y D1 alineados, EWO acompana expansion. Buen ejemplo para memoria.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png
context_confirms_good_count,partial_123_metals_xagusd_h4_major_partial123_003,2.4.2,best_context_example,Buen ejemplo: 1-2-3 precede continuacion fuerte; EWO/EMAs ayudan de verdad.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\022_partial_123_metals_xagusd_h4_major_partial123_003.png
context_confirms_good_count,partial_123_forex_audjpy_h4_major_partial123_005,2.4.2,best_context_example,Buen parcial major; contexto confirma sin forzar. Candidato bueno para regla blanda.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\024_partial_123_forex_audjpy_h4_major_partial123_005.png
context_confirms_good_count,impulse_forex_eurusd_h4_intermediate_impulse_012,2.4.2,best_context_example,"Muy buen caso: transicion alcista clara, EWO expansivo, D1 acompana. Candidato fuerte para regla blanda.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png
context_confirms_good_count,partial_123_metals_xagusd_h4_intermediate_partial123_001,2.4.2,best_context_example,Buen partial 1-2-3: EMAs/D1/EWO apoyan el arranque. Sirve como ejemplo de contexto util.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png
context_confirms_good_count,impulse_index_aus200_h4_major_impulse_013,2.4.2,best_context_example,"Contexto acompana un conteo visualmente bueno, aunque el grado parece mas intermediate que major.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\011_impulse_index_aus200_h4_major_impulse_013.png
contextual_correction,abc_forex_audjpy_h4_intermediate_abc_002,2.4.4,usable_contextual_correction,"Previous=usable_as_soft_context; visual=clean_abc; Uses HTF regime only; trend_context_label=correction_against_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png
contextual_correction,abc_metals_xagusd_h1_intermediate_abc_003,2.4.4,usable_contextual_correction,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png
contextual_correction,abc_metals_xagusd_h1_major_abc_006,2.4.4,usable_contextual_correction,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=yes_but_needs_manual_validation. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_034_abc_metals_xagusd_h1_major_abc_006.png
contextual_correction,abc_index_aus200_h1_major_abc_002,2.4.4,usable_contextual_correction,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=no_misleading. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_035_abc_index_aus200_h1_major_abc_002.png
