candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,phase,fixed_chart_path,abc_interpretation,scope,source_chart_path,reviewed_chart_path,abc_visual_status,abc_quality_score,abc_state_interpretation,causality_status,context_usefulness,phase25_abc_policy,policy_bucket,visual_notes,point_count,labels,orders,pivot_extreme_time_strictly_increasing,structural_detected_at_non_decreasing,last_structural_detected_at,plot_ready,diagnostic_note,count_detected_at_available,causality_basis,should_user_review,status,error,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,fixed_context_chart_path
abc_forex_audjpy_h4_intermediate_abc_002,abc,candidate_counts,forex_audjpy_h4_intermediate_abc_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bearish,candidate_abc,abc,2.0,5.0,2025-12-10 08:00:00,2025-12-17 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,25,h4,charts\after_phase2_3\h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png,clean_abc,4,abc_completed,causal_with_confirmation_latency,no_context_available,usable_as_soft_context,soft_context_candidate,Mejor ejemplo H4 sin indicadores: zigzag bajista pequeno pero legible dentro de una estructura alcista posterior.,4,0|A|B|C,0|1|2|3,True,True,2025-12-17 12:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_metals_xagusd_h4_intermediate_abc_003,abc,candidate_counts,metals_xagusd_h4_intermediate_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,candidate_abc,abc,3.0,6.0,2025-12-19 04:00:00,2025-12-29 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,26,h4,charts\after_phase2_3\h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,"Limpio geometricamente, pero parece arranque impulsivo alcista; C es demasiado expansiva para lectura correctiva limpia.",4,0|A|B|C,0|1|2|3,True,True,2025-12-29 12:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_forex_audjpy_h4_intermediate_abc_005,abc,candidate_counts,forex_audjpy_h4_intermediate_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,candidate_abc,abc,5.0,8.0,2025-12-17 00:00:00,2026-01-07 04:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,28,h4,charts\after_phase2_3\h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,keep_experimental,experimental,Se lee mas como 1-2-3 alcista que como correccion ABC limpia.,4,0|A|B|C,0|1|2|3,True,True,2026-01-07 16:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_metals_xagusd_h4_minor_abc_003,abc,candidate_counts,metals_xagusd_h4_minor_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,candidate_abc,abc,3.0,6.0,2025-12-19 04:00:00,2025-12-24 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,30,h4,charts\after_phase2_3\h4_030_abc_metals_xagusd_h4_minor_abc_003.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_030_abc_metals_xagusd_h4_minor_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_030_abc_metals_xagusd_h4_minor_abc_003.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,Demasiado micro; B/C no construyen una correccion clara.,4,0|A|B|C,0|1|2|3,True,True,2025-12-24 12:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_index_aus200_h4_minor_abc_005,abc,candidate_counts,index_aus200_h4_minor_abc_005,index_aus200_h4,Index,AUS200,H4,minor,bullish,candidate_abc,abc,5.0,8.0,2025-12-18 00:00:00,2025-12-23 12:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,31,h4,charts\after_phase2_3\h4_031_abc_index_aus200_h4_minor_abc_005.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_031_abc_index_aus200_h4_minor_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_031_abc_index_aus200_h4_minor_abc_005.png,visually_forced_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,"Parece tramo impulsivo inicial, no ABC; A/B pequenos y C tipo spike.",4,0|A|B|C,0|1|2|3,True,True,2025-12-24 00:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_forex_audjpy_h4_minor_abc_005,abc,candidate_counts,forex_audjpy_h4_minor_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,candidate_abc,abc,5.0,8.0,2025-12-17 00:00:00,2025-12-22 08:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,32,h4,charts\after_phase2_3\h4_032_abc_forex_audjpy_h4_minor_abc_005.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_032_abc_forex_audjpy_h4_minor_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_032_abc_forex_audjpy_h4_minor_abc_005.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,Muy micro y con C expansiva; mas 1-2-3 que correccion.,4,0|A|B|C,0|1|2|3,True,True,2025-12-22 20:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_metals_xagusd_h4_major_abc_003,abc,candidate_counts,metals_xagusd_h4_major_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,major,bullish,candidate_abc,abc,3.0,6.0,2025-12-31 20:00:00,2026-01-20 12:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,34,h4,charts\after_phase2_3\h4_034_abc_metals_xagusd_h4_major_abc_003.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_034_abc_metals_xagusd_h4_major_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_034_abc_metals_xagusd_h4_major_abc_003.png,not_clean_abc,3,not_clean_abc,causal_with_confirmation_latency,no_context_available,keep_experimental,experimental,"Ordenado, pero C parece continuacion impulsiva antes del blow-off.",4,0|A|B|C,0|1|2|3,True,True,2026-01-21 00:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_forex_audjpy_h4_major_abc_005,abc,candidate_counts,forex_audjpy_h4_major_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,major,bullish,candidate_abc,abc,5.0,8.0,2026-01-02 00:00:00,2026-01-23 08:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,36,h4,charts\after_phase2_3\h4_036_abc_forex_audjpy_h4_major_abc_005.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_036_abc_forex_audjpy_h4_major_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_036_abc_forex_audjpy_h4_major_abc_005.png,not_clean_abc,3,not_clean_abc,causal_with_confirmation_latency,no_context_available,keep_experimental,experimental,"Estructura grande y clara, pero se lee mas como impulso alcista que ABC.",4,0|A|B|C,0|1|2|3,True,True,2026-01-23 20:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_metals_xagusd_h1_intermediate_abc_003,abc,candidate_counts,metals_xagusd_h1_intermediate_abc_003,metals_xagusd_h1,Metals,XAGUSD.r,H1,intermediate,bearish,candidate_abc,abc,3.0,6.0,2026-03-02 01:00:00,2026-03-03 13:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,26,h1,charts\after_phase2_3\h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h1_h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png,clean_abc,4,abc_completed,causal_with_confirmation_latency,no_context_available,usable_as_soft_context,soft_context_candidate,Uno de los mejores H1: 0-A-B-C claro y C con desplazamiento suficiente.,4,0|A|B|C,0|1|2|3,True,True,2026-03-03 16:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_forex_audjpy_h1_minor_abc_007,abc,candidate_counts,forex_audjpy_h1_minor_abc_007,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,candidate_abc,abc,7.0,10.0,2026-03-03 17:00:00,2026-03-04 22:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,29,h1,charts\after_phase2_3\h1_029_abc_forex_audjpy_h1_minor_abc_007.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h1_029_abc_forex_audjpy_h1_minor_abc_007.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h1_h1_029_abc_forex_audjpy_h1_minor_abc_007.png,ambiguous_correction,2,ambiguous_correction,causal_with_confirmation_latency,no_context_available,keep_experimental,experimental,Demasiado local/lateral; no apto para reglas.,4,0|A|B|C,0|1|2|3,True,True,2026-03-05 01:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
