fixture_id,context_id,as_of_bar_time,bars_total,bars_used,bars_after_as_of_ignored,pivots_total,pivots_used,pivots_after_as_of_ignored,detected_at_lte_as_of,evidence_window_end_lte_as_of,lookahead_safe,real_sql_executed,mt5_connected,backtests_executed,signals_generated
impulse_possible_wave1,wavecount_live_v0_impulse_possible_wave1_20260101T120000,2026-01-01T12:00:00,5,4,1,1,1,0,True,True,True,False,False,False,False
impulse_possible_wave2,wavecount_live_v0_impulse_possible_wave2_20260102T120000,2026-01-02T12:00:00,5,4,1,2,2,0,True,True,True,False,False,False,False
impulse_wave3_candidate,wavecount_live_v0_impulse_wave3_candidate_20260103T160000,2026-01-03T16:00:00,5,5,0,3,3,0,True,True,True,False,False,False,False
impulse_wave3_active,wavecount_live_v0_impulse_wave3_active_20260104T160000,2026-01-04T16:00:00,5,5,0,3,3,0,True,True,True,False,False,False,False
impulse_possible_wave4,wavecount_live_v0_impulse_possible_wave4_20260105T200000,2026-01-05T20:00:00,6,6,0,4,4,0,True,True,True,False,False,False,False
impulse_wave5_candidate,wavecount_live_v0_impulse_wave5_candidate_20260106T200000,2026-01-06T20:00:00,6,6,0,5,5,0,True,True,True,False,False,False,False
impulse_wave5_active,wavecount_live_v0_impulse_wave5_active_20260107T200000,2026-01-07T20:00:00,6,6,0,5,5,0,True,True,True,False,False,False,False
impulse_completed_candidate,wavecount_live_v0_impulse_completed_candidate_20260109T000000,2026-01-09T00:00:00,7,7,0,6,6,0,True,True,True,False,False,False,False
correction_possible_waveA,wavecount_live_v0_correction_possible_waveA_20260109T080000,2026-01-09T08:00:00,3,3,0,1,1,0,True,True,True,False,False,False,False
correction_possible_waveB,wavecount_live_v0_correction_possible_waveB_20260110T120000,2026-01-10T12:00:00,4,4,0,2,2,0,True,True,True,False,False,False,False
correction_waveC_candidate,wavecount_live_v0_correction_waveC_candidate_20260111T160000,2026-01-11T16:00:00,5,5,0,3,3,0,True,True,True,False,False,False,False
correction_waveC_active,wavecount_live_v0_correction_waveC_active_20260112T160000,2026-01-12T16:00:00,5,5,0,3,3,0,True,True,True,False,False,False,False
correction_completed_abc,wavecount_live_v0_correction_completed_abc_20260113T200000,2026-01-13T20:00:00,6,6,0,4,4,0,True,True,True,False,False,False,False
unknown_no_pivots,wavecount_live_v0_unknown_no_pivots_20260114T080000,2026-01-14T08:00:00,3,3,0,0,0,0,True,True,True,False,False,False,False
ambiguous_low_prominence,wavecount_live_v0_ambiguous_low_prominence_20260115T120000,2026-01-15T12:00:00,4,4,0,1,1,0,True,True,True,False,False,False,False
invalidated_wave2,wavecount_live_v0_invalidated_wave2_20260116T120000,2026-01-16T12:00:00,4,4,0,2,2,0,True,True,True,False,False,False,False
not_available_missing_context,wavecount_live_v0_not_available_missing_context_20260117T080000,2026-01-17T08:00:00,0,0,0,0,0,0,True,True,True,False,False,False,False
