candidate_id,resolved_market_group,selection_reason,phase256_policy_bucket,market_group_visual_verdict,market_group_bias_risk,visual_review_basis,notes,chart_path
impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,Forex Majors,best_high_quality,high_quality_structure,policy_consistent_for_group,low,Selected chart copied for visual audit; verdict combines 2.5.6b market stats and 2.5.5/2.5.6 policy evidence.,Review before changing weights; do not compare raw scores across market groups as if fully normalized.,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\001_forex_majors_005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png
impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007,Forex Majors,usable_or_provisional,usable_provisional_structure,policy_consistent_for_group,low,Selected chart copied for visual audit; verdict combines 2.5.6b market stats and 2.5.5/2.5.6 policy evidence.,Review before changing weights; do not compare raw scores across market groups as if fully normalized.,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\002_forex_majors_008_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png
impulse_exp252_forex_eurusd_h4_major_impulse_029,Forex Majors,low_prominence_representative,exclude_from_guided_search,policy_consistent_for_group,low,Selected chart copied for visual audit; verdict combines 2.5.6b market stats and 2.5.5/2.5.6 policy evidence.,Review before changing weights; do not compare raw scores across market groups as if fully normalized.,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\003_forex_majors_012_impulse_exp252_forex_eurusd_h4_major_impulse_029.png
hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001,Forex Majors,ema_htf_conflict_or_misleading,exclude_from_guided_search,policy_consistent_for_group,low,Selected chart copied for visual audit; verdict combines 2.5.6b market stats and 2.5.5/2.5.6 policy evidence.,Review before changing weights; do not compare raw scores across market groups as if fully normalized.,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\004_forex_majors_046_hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001.png
impulse_exp252_index_aus200_h4_major_impulse_016,Index,usable_or_provisional,usable_provisional_structure,policy_consistent_for_group,low,Selected chart copied for visual audit; verdict combines 2.5.6b market stats and 2.5.5/2.5.6 policy evidence.,Review before changing weights; do not compare raw scores across market groups as if fully normalized.,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\005_index_011_impulse_exp252_index_aus200_h4_major_impulse_016.png
impulse_aux252b_index_aus200_h1_intermediate_impulse_007,Index,low_prominence_representative,auxiliary_low_prominence_substructure,policy_consistent_for_group,low,Selected chart copied for visual audit; verdict combines 2.5.6b market stats and 2.5.5/2.5.6 policy evidence.,Review before changing weights; do not compare raw scores across market groups as if fully normalized.,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\006_index_007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png
impulse_exp252_index_aus200_h4_minor_impulse_028,Index,excluded_highest_score,exclude_from_guided_search,policy_consistent_for_group,low,Selected chart copied for visual audit; verdict combines 2.5.6b market stats and 2.5.5/2.5.6 policy evidence.,Review before changing weights; do not compare raw scores across market groups as if fully normalized.,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\007_index_003_impulse_exp252_index_aus200_h4_minor_impulse_028.png
impulse_exp252_metals_xagusd_h4_major_impulse_002,Metals,usable_or_provisional,usable_provisional_structure,policy_consistent_for_group,low,Selected chart copied for visual audit; verdict combines 2.5.6b market stats and 2.5.5/2.5.6 policy evidence.,Review before changing weights; do not compare raw scores across market groups as if fully normalized.,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\008_metals_010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png
impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,Metals,watchlist_low_prominence,visual_watchlist_low_prominence,policy_consistent_for_group,medium,Selected chart copied for visual audit; verdict combines 2.5.6b market stats and 2.5.5/2.5.6 policy evidence.,Review before changing weights; do not compare raw scores across market groups as if fully normalized.,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\009_metals_006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png
impulse_exp252_metals_xagusd_h4_minor_impulse_004,Metals,low_prominence_representative,exclude_from_guided_search,policy_consistent_for_group,low,Selected chart copied for visual audit; verdict combines 2.5.6b market stats and 2.5.5/2.5.6 policy evidence.,Review before changing weights; do not compare raw scores across market groups as if fully normalized.,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\010_metals_002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png
hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001,Metals,ema_htf_conflict_or_misleading,exclude_from_guided_search,policy_consistent_for_group,low,Selected chart copied for visual audit; verdict combines 2.5.6b market stats and 2.5.5/2.5.6 policy evidence.,Review before changing weights; do not compare raw scores across market groups as if fully normalized.,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\011_metals_047_hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001.png
