candidate_id,chart_path,chart_path,review_category,symbol,timeframe,swing_degree,direction,trend_context_label,context_score,visual_review_status,visual_quality_score,visual_quality_raw,ema_context_usefulness,ewo_context_usefulness,htf_ltf_context_usefulness,inferred_wave_role_from_ewo,likely_problem_if_any,should_user_review,user_review_priority,suggested_action,visual_notes,ewo_rule_assessment,review_trigger,candidate_order
impulse_metals_xagusd_h1_minor_impulse_019,charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,impulse,XAGUSD.r,H1,minor,bearish,conflict_with_htf,0,visually_forced,2,30,partially_useful,unclear,conflict_suspicious,weak bearish submove after bullish EWO phase,labels compress a choppy pullback into five waves,yes,high,use_as_negative_example,Bearish count sits inside noisy sideways decline after a bullish rebound; 0-2 are crowded and 3-5 do not separate cleanly. EMA context is bearish locally but HTF conflict and weak structure make it poor for rules.,too_noisy,conflict_with_htf|low_visual_quality,2
partial_123_forex_audjpy_h1_minor_partial123_007,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,partial_123,AUDJPY.r,H1,minor,bullish,conflict_with_htf,60,ambiguous,3,57,not_useful,useful_for_momentum_only,conflict_suspicious,bullish rebound inside choppy correction,EMA label conflicts with actual flat-to-bearish local structure,yes,high,inspect_manually_before_phase_2_5,The 0-1-2-3 shape exists but it is embedded in messy post-drop consolidation and the EMA context is not convincing. EWO confirms a bounce more than a robust wave role.,too_noisy,conflict_with_htf,17
abc_forex_audjpy_h1_abc_009,charts\abc\025_abc_forex_audjpy_h1_abc_009.png,charts\abc\025_abc_forex_audjpy_h1_abc_009.png,abc,AUDJPY.r,H1,intermediate,bullish,impulse_with_htf,85,visually_forced,2,38,misleading,useful_for_momentum_only,unclear,bullish_impulse_mislabeled_as_abc_cluster,ABC labels overlap several impulse subwaves and do not isolate a correction,yes,high,use_as_negative_example,Purple paths jump across multiple nested swings; the dominant visible story is bullish impulse and continuation not a clean corrective ABC.,not_supported,low_visual_quality|ewo_or_visual_role_mismatch,25
abc_metals_xagusd_h1_abc_003,charts\abc\026_abc_metals_xagusd_h1_abc_003.png,charts\abc\026_abc_metals_xagusd_h1_abc_003.png,abc,XAGUSD.r,H1,intermediate,bearish,correction_against_htf,60,visually_forced,2,30,partially_useful,useful_for_momentum_only,conflict_suspicious,large_selloff_and_rebound_chop_not_clean_abc,too many overlapping ABC alternatives around a crash leg; labels mix correction and impulse,yes,high,use_as_negative_example,The central XAGUSD drop is impulsive-looking while the ABC overlays cross several degrees and make the correction role unclear.,not_supported,low_visual_quality,26
abc_forex_audjpy_h1_abc_011,charts\abc\028_abc_forex_audjpy_h1_abc_011.png,charts\abc\028_abc_forex_audjpy_h1_abc_011.png,abc,AUDJPY.r,H1,intermediate,bullish,impulse_with_htf,65,visually_forced,2,35,misleading,useful_for_momentum_only,unclear,bullish_breakout_impulse_not_correction,C is placed at the strongest breakout high making ABC resemble an impulse leg,yes,high,use_as_negative_example,The price action from B to C is the main bullish thrust; treating it as corrective C is visually weak despite aligned EMA context.,not_supported,low_visual_quality,28
abc_forex_audjpy_h1_abc_007,charts\abc\029_abc_forex_audjpy_h1_abc_007.png,charts\abc\029_abc_forex_audjpy_h1_abc_007.png,abc,AUDJPY.r,H1,minor,bullish,conflict_with_htf,60,visually_forced,2,32,misleading,useful_for_momentum_only,conflict_suspicious,range_noise_before_bullish_impulse,minor ABC labels are stacked inside sideways chop and then attach to later impulse,yes,high,use_as_negative_example,Multiple A/B/C marks cluster around AUDJPY range noise; the later C at the major high reads as impulse completion rather than correction.,not_supported,conflict_with_htf|low_visual_quality,29
abc_metals_xagusd_h1_abc_002,charts\abc\030_abc_metals_xagusd_h1_abc_002.png,charts\abc\030_abc_metals_xagusd_h1_abc_002.png,abc,XAGUSD.r,H1,minor,bullish,impulse_with_htf,65,visually_forced,2,28,misleading,useful_for_momentum_only,unclear,bearish_impulse_cascade_mislabeled_as_abc,ABC labels span too many degrees and confuse crash leg with correction,yes,high,use_as_negative_example,The huge drop from the XAGUSD high dominates the chart; purple paths are tangled and do not define a defensible minor bullish correction.,not_supported,low_visual_quality|ewo_or_visual_role_mismatch,30
abc_forex_audjpy_h1_abc_013,charts\abc\032_abc_forex_audjpy_h1_abc_013.png,charts\abc\032_abc_forex_audjpy_h1_abc_013.png,abc,AUDJPY.r,H1,minor,bullish,impulse_with_htf,85,visually_forced,2,34,misleading,useful_for_momentum_only,unclear,bullish_impulse_continuation_mislabeled_as_correction,candidate turns the main breakout into C rather than separating correction from impulse,yes,high,use_as_negative_example,AUDJPY trend context is bullish but the ABC overlay treats trend expansion as corrective; visually poor for ABC rule extraction.,not_supported,low_visual_quality|ewo_or_visual_role_mismatch,32
abc_metals_xagusd_h1_abc_006,charts\abc\033_abc_metals_xagusd_h1_abc_006.png,charts\abc\033_abc_metals_xagusd_h1_abc_006.png,abc,XAGUSD.r,H1,major,bullish,impulse_with_htf,75,visually_forced,2,31,partially_useful,useful_for_momentum_only,unclear,mixed_rebound_and_selloff_structure_without_clean_abc,labels crisscross major swings and include both rebound and decline legs,yes,high,use_as_negative_example,XAGUSD has usable swings but the marked ABC candidates are tangled across degrees; EWO shows momentum phases not a stable corrective signature.,not_supported,low_visual_quality,33
near_miss_forex_audjpy_h1_minor_impulse_007,charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png,charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png,near_miss,AUDJPY.r,H1,minor,bullish,conflict_with_htf,60,visually_forced,2,4,misleading,unclear,conflict_suspicious,EWO is mixed around a choppy corrective basin not a clean bullish impulse signature,minor bullish count is embedded in sideways/down chop while EMAs do not support clean upside,yes,high,do_not_use_for_rules,The five labels overfit local swings before the real later bullish expansion; context says transition not impulse.,too_noisy,conflict_with_htf|low_visual_quality,40
