case_id,symbol,market_group,timeframe,count_label,wave_number,confidence_status,quality_status,quality_score,quality_reason,direction,study_status,classification_reason,pivot_count,structure_points_count,start_time,end_time,last_close_time,start_price,end_price,latest_close,activation_level,invalidation_level,swing_degree,screener_bucket,live_estimated_wave,confirmed_wave_context,current_leg_direction,source_ohlc,source_method,is_study_only,is_signal,wavecount_used_as_filter,can_execute_order
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W2?|2026-03-17 09:00:00,AUDCAD.r,Forex Majors,H1,W2?,2,candidate,media,3,candidata; estructura temprana; tramo actual visible; niveles estructurales completos; onda temprana; tramo actual suficiente; tramo con peso visual alto,long,study_only,basic impulse prefix constraints satisfied,55,3,2026-03-11 17:00:00,2026-03-16 22:00:00,2026-03-17 09:00:00,0.97591,0.96822,0.96831,0.95707,0.97591,intermediate,candidate_wave_watch,possible_wave2_candidate,possible_wave2_candidate,up,artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W3?|2026-03-17 04:00:00,AUDCAD.r,Forex Majors,H4,W3?,3,candidate,media,4,candidata; 4+ puntos estructurales; tramo actual visible; niveles estructurales completos; tramo actual suficiente; tramo con peso visual suficiente,long,study_only,basic impulse prefix constraints satisfied,82,4,2026-03-09 00:00:00,2026-03-17 04:00:00,2026-03-17 04:00:00,0.94619,0.96779,0.96779,0.97591,0.95707,intermediate,candidate_wave_watch,possible_wave3_candidate,possible_wave3_candidate,up,artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W2?|2026-03-17 09:00:00,AUDJPY.r,Forex Majors,H1,W2?,2,candidate,media,2,candidata; estructura temprana; tramo actual visible; niveles estructurales completos; onda temprana; tramo actual suficiente; tramo con peso visual suficiente,long,study_only,basic impulse prefix constraints satisfied,63,3,2026-03-11 18:00:00,2026-03-16 22:00:00,2026-03-17 09:00:00,113.959,112.583,112.683,111.463,113.959,intermediate,candidate_wave_watch,possible_wave2_candidate,possible_wave2_candidate,up,artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-03-17 04:00:00,AUDJPY.r,Forex Majors,H4,W3?,3,candidate,media,4,candidata; 4+ puntos estructurales; tramo actual visible; niveles estructurales completos; tramo actual suficiente; tramo con peso visual suficiente,long,study_only,basic impulse prefix constraints satisfied,73,4,2026-03-05 16:00:00,2026-03-17 04:00:00,2026-03-17 04:00:00,110.066,112.622,112.622,113.959,111.463,intermediate,candidate_wave_watch,possible_wave3_candidate,possible_wave3_candidate,up,artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,W5?,5,candidate,fuerte,7,candidata; conteo maduro con 6+ puntos; tramo actual visible; niveles estructurales completos; onda avanzada; tramo actual suficiente; tramo con peso visual suficiente,long,study_only,basic impulse prefix constraints satisfied,42,6,2026-03-06 00:00:00,2026-03-17 09:00:00,2026-03-17 09:00:00,1.18614,1.21409,1.21409,1.21204,1.20543,intermediate,candidate_wave_watch,possible_wave5_candidate,possible_wave5_candidate,up,artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W5?|2026-03-17 04:00:00,AUDNZD.r,Forex Majors,H4,W5?,5,candidate,media,4,candidata; conteo maduro con 6+ puntos; tramo actual visible; niveles estructurales completos; onda avanzada; tramo visualmente debil,long,study_only,basic impulse prefix constraints satisfied,78,6,2026-03-02 00:00:00,2026-03-17 04:00:00,2026-03-17 04:00:00,1.18031,1.21074,1.21074,1.21204,1.20543,intermediate,candidate_wave_watch,possible_wave5_candidate,possible_wave5_candidate,up,artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDUSD.r|H1|W3?|2026-03-17 09:00:00,AUDUSD.r,Forex Majors,H1,W3?,3,candidate,debil,-2,candidata; 4+ puntos estructurales; tramo actual visible; niveles estructurales completos; tramo actual casi plano; tramo con poco peso visual,short,study_only,basic impulse prefix constraints satisfied,59,4,2026-03-11 07:00:00,2026-03-17 09:00:00,2026-03-17 09:00:00,0.71854,0.70713,0.70713,0.69787,0.70823,intermediate,candidate_wave_watch,possible_wave3_candidate,possible_wave3_candidate,down,artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|AUDUSD.r|H4|W3?|2026-03-17 04:00:00,AUDUSD.r,Forex Majors,H4,W3?,3,candidate,media,4,candidata; 4+ puntos estructurales; tramo actual visible; niveles estructurales completos; tramo actual suficiente; tramo con peso visual suficiente,long,study_only,basic impulse prefix constraints satisfied,77,4,2026-03-09 04:00:00,2026-03-17 04:00:00,2026-03-17 04:00:00,0.69562,0.70726,0.70726,0.71872,0.69787,intermediate,candidate_wave_watch,possible_wave3_candidate,possible_wave3_candidate,up,artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|CADCHF.r|H1|W3?|2026-03-17 09:00:00,CADCHF.r,Forex Majors,H1,W3?,3,candidate,media,1,candidata; 4+ puntos estructurales; tramo actual visible; niveles estructurales completos; tramo actual corto,long,study_only,basic impulse prefix constraints satisfied,54,4,2026-03-10 00:00:00,2026-03-17 09:00:00,2026-03-17 09:00:00,0.57084,0.57608,0.57608,0.57771,0.57439,intermediate,candidate_wave_watch,possible_wave3_candidate,possible_wave3_candidate,up,artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
weavecount_screener_h1_h4_v1|CADCHF.r|H4|W4?|2026-03-17 04:00:00,CADCHF.r,Forex Majors,H4,W4?,4,candidate,debil,-1,candidata; 5 puntos estructurales; tramo actual visible; nivel estructural parcial; tramo actual corto; tramo con poco peso visual,short,study_only,basic impulse prefix constraints satisfied,84,5,2026-03-02 00:00:00,2026-03-17 04:00:00,2026-03-17 04:00:00,0.56124,0.57598,0.57598,,0.56999,intermediate,candidate_wave_watch,possible_wave4_candidate,possible_wave4_candidate,down,artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv,causal_pivots_intermediate_swing_degree,True,False,False,False
