candidate_id,structure_type,timeframe_policy,trend_context_label,htf_ltf_alignment_label,ema_context_label,ema_context_score_delta,htf_context_score_delta,context_must_not_rescue_bad_count,guided_quality_bucket,chart_path
impulse_forex_audjpy_h4_minor_impulse_005,impulse,primary_h4_d1,impulse_with_htf,impulse_with_htf,ema_supports_context,4,6,False,high_quality_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\001_impulse_forex_audjpy_h4_minor_impulse_005.png
impulse_metals_xagusd_h4_minor_impulse_001,impulse,primary_h4_d1,impulse_with_htf,impulse_with_htf,ema_supports_context,4,6,False,high_quality_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\002_impulse_metals_xagusd_h4_minor_impulse_001.png
impulse_index_hk50_h4_minor_impulse_012,impulse,primary_h4_d1,impulse_with_htf,impulse_with_htf,ema_partial_or_neutral,2,6,False,high_quality_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\003_impulse_index_hk50_h4_minor_impulse_012.png
impulse_forex_eurjpy_h4_minor_impulse_022,impulse,primary_h4_d1,impulse_with_htf,impulse_with_htf,ema_supports_context,4,6,True,exclude,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\004_impulse_forex_eurjpy_h4_minor_impulse_022.png
impulse_forex_eurusd_h4_intermediate_impulse_007,impulse,primary_h4_d1,correction_against_htf,conflict_explained,ema_supports_context,6,6,False,high_quality_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png
impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,primary_h4_d1,impulse_with_htf,impulse_with_htf,ema_supports_context,6,6,False,high_quality_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png
impulse_index_aus200_h4_intermediate_impulse_015,impulse,primary_h4_d1,impulse_with_htf,conflict_suspicious,ema_partial_or_neutral,2,-4,False,usable_but_provisional,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\007_impulse_index_aus200_h4_intermediate_impulse_015.png
impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,primary_h4_d1,impulse_with_htf,impulse_with_htf,ema_supports_context,6,6,False,high_quality_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png
impulse_forex_eurusd_h4_major_impulse_011,invalid_or_negative,primary_h4_d1,correction_against_htf,correction_against_htf,ema_supports_context,4,4,True,exclude,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\009_impulse_forex_eurusd_h4_major_impulse_011.png
impulse_metals_xpdusd_h4_major_impulse_001,impulse,primary_h4_d1,impulse_with_htf,impulse_with_htf,ema_supports_context,4,6,False,high_quality_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\010_impulse_metals_xpdusd_h4_major_impulse_001.png
impulse_index_aus200_h4_major_impulse_013,impulse,primary_h4_d1,impulse_with_htf,impulse_with_htf,ema_supports_context,4,6,False,high_quality_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\011_impulse_index_aus200_h4_major_impulse_013.png
impulse_forex_gbpusd_h4_major_impulse_012,impulse,primary_h4_d1,correction_against_htf,conflict_explained,ema_supports_context,4,6,False,high_quality_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\012_impulse_forex_gbpusd_h4_major_impulse_012.png
partial_123_forex_audjpy_h4_intermediate_partial123_002,invalid_or_negative,primary_h4_d1,correction_against_htf,correction_against_htf,ema_partial_or_neutral,0,4,True,exclude,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png
partial_123_metals_xagusd_h4_intermediate_partial123_001,partial_123,primary_h4_d1,impulse_with_htf,impulse_with_htf,ema_supports_context,6,6,False,high_quality_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png
partial_123_index_aus200_h4_intermediate_partial123_006,invalid_or_negative,primary_h4_d1,conflict_with_htf,conflict_suspicious,ema_supports_but_inside_band,3,-16,False,exclude,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\015_partial_123_index_aus200_h4_intermediate_partial123_006.png
partial_123_forex_audjpy_h4_intermediate_partial123_005,invalid_or_negative,primary_h4_d1,impulse_with_htf,impulse_with_htf,ema_supports_context,6,6,True,exclude,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png
partial_123_forex_audjpy_h4_minor_partial123_002,invalid_or_negative,primary_h4_d1,correction_against_htf,correction_against_htf,ema_partial_or_neutral,0,4,True,exclude,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\017_partial_123_forex_audjpy_h4_minor_partial123_002.png
