candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,context_chart_path,source_count_chart_path,source_context_chart_path,matches_guided_impulse_profile,guided_profile_match_score,guided_profile_reasons,guided_profile_failures,guided_profile_critical_failures,near_miss_reason,visual_expansion_status,visual_quality_score,ewo_helpfulness,ema_htf_helpfulness,profile_decision_after_visual_review,visual_notes,phase253_candidate_action,phase253_reason,should_enter_visual_gallery,reviewed_chart_path
partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002,partial_123,partial_impulses,exp252_forex_audjpy_h4_intermediate_partial123_002,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,2,5,2025-08-20 16:00:00,2025-09-03 16:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png,13,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.6884142857142876,0.1117142857142852,positive,D1,2025-09-02,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png,no,81,timeframe=H4; degree=intermediate; HTF lookahead safe; context_score=85.0; HTF not suspicious (impulse_with_htf); HTF/context interpretable; LTF EMA direction supports count; EWO/momentum supports count direction; price outside EMA band,not impulse (partial_123),not impulse (partial_123); partial_123 not part of impulse expansion profile,,not_usable,2,unclear,supports_context,exclude,profile=no; near_miss=none; context=impulse_with_htf; EWO=unclear; EMA/HTF=supports_context; status=not_usable,exclude_from_expansion,Outside the base guided impulse profile.,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png
partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002,partial_123,partial_impulses,exp252_metals_xagusd_h4_intermediate_partial123_002,exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,2,5,2025-08-20 08:00:00,2025-09-01 08:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png,14,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,1.0396000000000072,0.5656714285714344,positive,D1,2025-08-29,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png,no,81,timeframe=H4; degree=intermediate; HTF lookahead safe; context_score=85.0; HTF not suspicious (impulse_with_htf); HTF/context interpretable; LTF EMA direction supports count; EWO/momentum supports count direction; price outside EMA band,not impulse (partial_123),not impulse (partial_123); partial_123 not part of impulse expansion profile,,not_usable,2,unclear,supports_context,exclude,profile=no; near_miss=none; context=impulse_with_htf; EWO=unclear; EMA/HTF=supports_context; status=not_usable,exclude_from_expansion,Outside the base guided impulse profile.,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png
partial_123_exp252_index_aus200_h4_intermediate_partial123_001,partial_123,partial_impulses,exp252_index_aus200_h4_intermediate_partial123_001,exp252_index_aus200_h4,Index,AUS200,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,1,4,2025-08-13 04:00:00,2025-08-25 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png,15,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,61.57785714285637,6.540142857140381,positive,D1,2025-08-22,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png,no,81,timeframe=H4; degree=intermediate; HTF lookahead safe; context_score=85.0; HTF not suspicious (impulse_with_htf); HTF/context interpretable; LTF EMA direction supports count; EWO/momentum supports count direction; price outside EMA band,not impulse (partial_123),not impulse (partial_123); partial_123 not part of impulse expansion profile,,not_usable,2,unclear,supports_context,exclude,profile=no; near_miss=none; context=impulse_with_htf; EWO=unclear; EMA/HTF=supports_context; status=not_usable,exclude_from_expansion,Outside the base guided impulse profile.,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png
partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004,partial_123,partial_impulses,exp252_forex_audjpy_h4_intermediate_partial123_004,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,4,7,2025-08-27 00:00:00,2025-09-12 12:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png,16,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.843428571428575,0.1938571428571549,positive,D1,2025-09-11,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png,no,81,timeframe=H4; degree=intermediate; HTF lookahead safe; context_score=85.0; HTF not suspicious (impulse_with_htf); HTF/context interpretable; LTF EMA direction supports count; EWO/momentum supports count direction; price outside EMA band,not impulse (partial_123),not impulse (partial_123); partial_123 not part of impulse expansion profile,,not_usable,2,unclear,supports_context,exclude,profile=no; near_miss=none; context=impulse_with_htf; EWO=unclear; EMA/HTF=supports_context; status=not_usable,exclude_from_expansion,Outside the base guided impulse profile.,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png
partial_123_exp252_forex_audjpy_h4_minor_partial123_002,partial_123,partial_impulses,exp252_forex_audjpy_h4_minor_partial123_002,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,2,5,2025-08-20 16:00:00,2025-08-28 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png,17,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=negative,bullish_alignment,bullish_alignment,above_band,no_transition,0.438685714285711,0.0199571428571374,positive,D1,2025-08-27,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png,no,63,timeframe=H4; HTF lookahead safe; context_score=85.0; HTF not suspicious (impulse_with_htf); HTF/context interpretable; LTF EMA direction supports count; EWO/momentum supports count direction; price outside EMA band,not impulse (partial_123); degree=minor,not impulse (partial_123); partial_123 not part of impulse expansion profile,,not_usable,2,unclear,supports_context,exclude,profile=no; near_miss=none; context=impulse_with_htf; EWO=unclear; EMA/HTF=supports_context; status=not_usable,exclude_from_expansion,Outside the base guided impulse profile.,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png
partial_123_exp252_metals_xagusd_h4_minor_partial123_002,partial_123,partial_impulses,exp252_metals_xagusd_h4_minor_partial123_002,exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,2,5,2025-08-20 08:00:00,2025-08-28 20:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png,18,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.3961285714285694,0.190014285714291,positive,D1,2025-08-27,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png,no,63,timeframe=H4; HTF lookahead safe; context_score=85.0; HTF not suspicious (impulse_with_htf); HTF/context interpretable; LTF EMA direction supports count; EWO/momentum supports count direction; price outside EMA band,not impulse (partial_123); degree=minor,not impulse (partial_123); partial_123 not part of impulse expansion profile,,not_usable,2,unclear,supports_context,exclude,profile=no; near_miss=none; context=impulse_with_htf; EWO=unclear; EMA/HTF=supports_context; status=not_usable,exclude_from_expansion,Outside the base guided impulse profile.,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png
partial_123_exp252_index_aus200_h4_minor_partial123_001,partial_123,partial_impulses,exp252_index_aus200_h4_minor_partial123_001,exp252_index_aus200_h4,Index,AUS200,H4,minor,bullish,partial_123_candidate,partial_impulse_123,1,4,2025-08-13 04:00:00,2025-08-25 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png,19,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,61.57785714285637,6.540142857140381,positive,D1,2025-08-22,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png,no,63,timeframe=H4; HTF lookahead safe; context_score=85.0; HTF not suspicious (impulse_with_htf); HTF/context interpretable; LTF EMA direction supports count; EWO/momentum supports count direction; price outside EMA band,not impulse (partial_123); degree=minor,not impulse (partial_123); partial_123 not part of impulse expansion profile,,not_usable,2,unclear,supports_context,exclude,profile=no; near_miss=none; context=impulse_with_htf; EWO=unclear; EMA/HTF=supports_context; status=not_usable,exclude_from_expansion,Outside the base guided impulse profile.,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png
partial_123_exp252_forex_audjpy_h4_minor_partial123_004,partial_123,partial_impulses,exp252_forex_audjpy_h4_minor_partial123_004,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,4,7,2025-08-27 00:00:00,2025-09-03 16:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\020_partial_123_exp252_forex_audjpy_h4_minor_partial123_004.png,20,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.6884142857142876,0.1117142857142852,positive,D1,2025-09-02,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\020_partial_123_exp252_forex_audjpy_h4_minor_partial123_004.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\020_partial_123_exp252_forex_audjpy_h4_minor_partial123_004.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\020_partial_123_exp252_forex_audjpy_h4_minor_partial123_004.png,no,63,timeframe=H4; HTF lookahead safe; context_score=85.0; HTF not suspicious (impulse_with_htf); HTF/context interpretable; LTF EMA direction supports count; EWO/momentum supports count direction; price outside EMA band,not impulse (partial_123); degree=minor,not impulse (partial_123); partial_123 not part of impulse expansion profile,,not_usable,2,unclear,supports_context,exclude,profile=no; near_miss=none; context=impulse_with_htf; EWO=unclear; EMA/HTF=supports_context; status=not_usable,exclude_from_expansion,Outside the base guided impulse profile.,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\020_partial_123_exp252_forex_audjpy_h4_minor_partial123_004.png
partial_123_exp252_forex_audjpy_h4_major_partial123_002,partial_123,partial_impulses,exp252_forex_audjpy_h4_major_partial123_002,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,major,bullish,partial_123_candidate,partial_impulse_123,2,5,2025-08-20 16:00:00,2025-09-12 12:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\021_partial_123_exp252_forex_audjpy_h4_major_partial123_002.png,21,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.843428571428575,0.1938571428571549,positive,D1,2025-09-11,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\021_partial_123_exp252_forex_audjpy_h4_major_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\021_partial_123_exp252_forex_audjpy_h4_major_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\021_partial_123_exp252_forex_audjpy_h4_major_partial123_002.png,no,63,timeframe=H4; HTF lookahead safe; context_score=85.0; HTF not suspicious (impulse_with_htf); HTF/context interpretable; LTF EMA direction supports count; EWO/momentum supports count direction; price outside EMA band,not impulse (partial_123); degree=major,not impulse (partial_123); partial_123 not part of impulse expansion profile,,not_usable,2,unclear,supports_context,exclude,profile=no; near_miss=none; context=impulse_with_htf; EWO=unclear; EMA/HTF=supports_context; status=not_usable,exclude_from_expansion,Outside the base guided impulse profile.,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\021_partial_123_exp252_forex_audjpy_h4_major_partial123_002.png
partial_123_exp252_metals_xagusd_h4_major_partial123_002,partial_123,partial_impulses,exp252_metals_xagusd_h4_major_partial123_002,exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,major,bullish,partial_123_candidate,partial_impulse_123,2,5,2025-08-20 08:00:00,2025-09-03 16:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png,22,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,1.192785714285705,0.0010857142857076,positive,D1,2025-09-02,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\partials\022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png,no,63,timeframe=H4; HTF lookahead safe; context_score=85.0; HTF not suspicious (impulse_with_htf); HTF/context interpretable; LTF EMA direction supports count; EWO/momentum supports count direction; price outside EMA band,not impulse (partial_123); degree=major,not impulse (partial_123); partial_123 not part of impulse expansion profile,,not_usable,2,unclear,supports_context,exclude,profile=no; near_miss=none; context=impulse_with_htf; EWO=unclear; EMA/HTF=supports_context; status=not_usable,exclude_from_expansion,Outside the base guided impulse profile.,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png
