component,final_status,can_affect_bucket_now,can_generate_signal,notes
H4/D1 intermediate,official_policy,True,False,"Base principal; solo calidad estructural, no senal."
H4/D1 major,soft_context,True,False,"Contexto superior y posible estructura de grado alto, no desplaza intermediate como base."
H4/D1 minor,auxiliary_only,True,False,Subestructura; riesgo de microconteo si se usa como base.
H1/H4,auxiliary_only,True,False,"Zoom/subestructura util, no base principal del TFG."
M30/H1,auxiliary_only,False,False,Microestructura y banco de fallos; no alimentar busqueda principal.
clean impulses,official_policy,True,False,Impulsos defendibles pueden quedar como high quality o usable segun 2.5.6.
provisional impulses,official_policy,True,False,"Provisionales si pasan escala/contexto, siempre sin senal."
partial 1-2-3,soft_context,True,False,Siempre provisional; nunca entrada ni filtro operativo.
wave5 endpoint uncertainty,diagnostic_only,True,False,No invalida automaticamente; documenta incertidumbre.
ABC/corrections,experimental,False,False,Solo contexto si hay padre; ABC aislado no es regla fuerte.
visual prominence,official_policy,True,False,Penalizacion blanda oficial en 2.5.6.
robust prominence P5-P95,diagnostic_only,False,False,Explica ventanas/spikes; no cambia buckets tras 2.5.9.
symbol/timeframe/degree percentiles,diagnostic_only,False,False,"Utiles para comparar familias, no politica oficial."
EWO 5-35,soft_context,True,False,Apoyo relativo de momentum/rol de onda; no etiqueta ondas por si solo.
EMA 50/150,soft_context,True,False,Regimen/transicion/ambiguedad; no regla dura.
HTF/D1,soft_context,True,False,Contexto superior; no rescata conteos visualmente malos.
Metals,diagnostic_only,False,False,Soportado con advertencia; baja prominencia no se rescata por robustez.
Forex Majors,diagnostic_only,False,False,Grupo representado; reportar estratificado.
Index,diagnostic_only,False,False,Grupo representado; reportar estratificado.
