source_phase,source_candidate_id,candidate_id,structure_type,review_category,group,symbol,timeframe,swing_degree,direction,timeframe_policy,degree_policy,phase25_allowed_use,final_phase23_decision,manual_visual_status,visual_quality_score,wave5_diagnostic,wave5_endpoint_status,proposed_endpoint_classification,future_more_extreme_found,post_wave5_extension_vs_wave5,partial123_diagnostic,partial123_status,live_state,wave3_too_weak,post_3_invalidates,post_3_confirms,context_review_status,trend_context_label,context_score,ema_usefulness,ewo_usefulness,htf_usefulness,phase25_rule_candidate,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_trend_state,htf_lookahead_safe,abc_contextual_policy,abc_parent_required,abc_parent_status,abc_role_hypothesis,abc_should_enter_phase25_context,context_must_not_rescue_bad_count,reviewed_chart_path,reviewed_context_chart_path,reviewed_chart_path_abc,guided_quality_score,guided_quality_bucket,score_reasons,score_penalties,ewo_wave_role_label,ewo_role_support,ewo_role_reasons,ewo_role_penalty,ema_context_label,ema_context_score_delta,htf_ltf_alignment_label,htf_context_score_delta,ready_for_phase251_search,phase251_reason,suggested_next_search_mode,chart_path
2.4.2_context_quality,impulse_forex_eurusd_h4_intermediate_impulse_007,impulse_forex_eurusd_h4_intermediate_impulse_007,impulse,impulse,Forex Majors,EURUSD.r,H4,intermediate,bearish,primary_h4_d1,intermediate_primary_candidate,candidate_structure,keep_as_good_example,visually_defensible,4,clean_or_acceptable,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,not_applicable,,,,,,context_conflicts_but_explains,correction_against_htf,40.0,useful_quality_filter,useful_for_wave_role,useful_correction_context,ema_transition_support,below_band,no_transition,-0.0033714285714283,5.8142857142895465e-05,negative,D1,mixed_or_unclear,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,,100,high_quality_context,H4/D1 primary base; intermediate primary degree; 2.3.4 keep_as_good_example; visual quality 4; impulse candidate; EMA context +6: useful_quality_filter; HTF context +6: conflict_explained; useful_correction_context; EWO supports wave role; wave5 clean/acceptable,,ewo_impulse_momentum_context,supports_wave_role,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; useful_for_wave_role; end_ewo_direction=negative; end_ewo_slope=5.81429e-05",0,ema_supports_context,6,conflict_explained,6,yes,High-quality H4/D1 intermediate impulse context.,search_h4_intermediate_impulse,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png
2.4.2_context_quality,impulse_metals_xagusd_h4_intermediate_impulse_007,impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,impulse,Metals,XAGUSD.r,H4,intermediate,bullish,primary_h4_d1,intermediate_primary_candidate,candidate_structure,keep_as_good_example,excellent_example,5,clean_or_acceptable,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,not_applicable,,,,,,context_confirms_good_count,impulse_with_htf,80.0,useful_quality_filter,useful_for_wave_role,useful_regime_filter,htf_alignment_soft_filter;ewo_wave3_momentum_support,above_band,no_transition,10.028757142857144,0.2346285714285727,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,,100,high_quality_context,H4/D1 primary base; intermediate primary degree; 2.3.4 keep_as_good_example; visual quality 5; impulse candidate; EMA context +6: useful_quality_filter; HTF context +6: impulse_with_htf; useful_regime_filter; EWO supports wave role; wave5 clean/acceptable; context confirms good count,,ewo_wave3_momentum_support,supports_wave_role,Existing 2.4.2 audit marked EWO as wave-3 momentum support.; useful_for_wave_role; end_ewo_direction=positive; end_ewo_slope=0.234629,0,ema_supports_context,6,impulse_with_htf,6,yes,High-quality H4/D1 intermediate impulse context.,search_h4_intermediate_impulse,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png
2.4.2_context_quality,impulse_forex_eurusd_h4_intermediate_impulse_012,impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,impulse,Forex Majors,EURUSD.r,H4,intermediate,bullish,primary_h4_d1,intermediate_primary_candidate,candidate_structure,keep_as_good_example,visually_defensible,4,clean_or_acceptable,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,not_applicable,,,,,,context_confirms_good_count,impulse_with_htf,65.0,useful_quality_filter,useful_for_wave_role,useful_regime_filter,ema_transition_support;ewo_wave3_momentum_support,above_band,no_transition,0.0109169999999998,-0.0031077142857143,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,,100,high_quality_context,H4/D1 primary base; intermediate primary degree; 2.3.4 keep_as_good_example; visual quality 4; impulse candidate; EMA context +6: useful_quality_filter; HTF context +6: impulse_with_htf; useful_regime_filter; EWO supports wave role; wave5 clean/acceptable; context confirms good count,,ewo_wave3_momentum_support,supports_wave_role,Existing 2.4.2 audit marked EWO as wave-3 momentum support.; useful_for_wave_role; end_ewo_direction=positive; end_ewo_slope=-0.00310771,0,ema_supports_context,6,impulse_with_htf,6,yes,High-quality H4/D1 intermediate impulse context.,search_h4_intermediate_impulse,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png
2.4.2_context_quality,impulse_index_aus200_h4_major_impulse_013,impulse_index_aus200_h4_major_impulse_013,impulse,impulse,Index,AUS200,H4,major,bullish,primary_h4_d1,degree_too_micro,soft_context,keep_as_good_example,visually_defensible,4,clean_or_acceptable,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,not_applicable,,,,,,context_improves_confidence,impulse_with_htf,65.0,useful_trend_context,useful_for_momentum_phase,useful_regime_filter,htf_alignment_soft_filter,above_band,no_transition,84.66285714285732,-2.0942857142854336,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\011_impulse_index_aus200_h4_major_impulse_013.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\011_impulse_index_aus200_h4_major_impulse_013.png,,100,high_quality_context,H4/D1 primary base; major as context/higher degree; 2.3.4 keep_as_good_example; visual quality 4; impulse candidate; EMA context +4: useful_trend_context; HTF context +6: impulse_with_htf; useful_regime_filter; EWO partially supports role; wave5 clean/acceptable,too micro for primary count,ewo_impulse_momentum_context,partially_supports,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=-2.09429",0,ema_supports_context,4,impulse_with_htf,6,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\011_impulse_index_aus200_h4_major_impulse_013.png
2.4.2_context_quality,partial_123_metals_xagusd_h4_intermediate_partial123_001,partial_123_metals_xagusd_h4_intermediate_partial123_001,partial_123,partial_123,Metals,XAGUSD.r,H4,intermediate,bullish,primary_h4_d1,intermediate_primary_candidate,soft_context,keep_as_good_example,visually_defensible,4,not_applicable,,,,,partial_123_too_lax,partial_123_too_lax,ambiguous_partial,True,False,True,context_confirms_good_count,impulse_with_htf,85.0,useful_quality_filter,useful_for_wave_role,useful_regime_filter,htf_alignment_soft_filter;ewo_wave3_momentum_support,above_band,no_transition,2.410171428571431,1.1669857142857154,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,,100,high_quality_context,H4/D1 primary base; intermediate primary degree; 2.3.4 keep_as_good_example; visual quality 4; EMA context +6: useful_quality_filter; HTF context +6: impulse_with_htf; useful_regime_filter; EWO supports wave role; context confirms good count,partial 1-2-3 remains provisional; partial_123_too_lax,ewo_wave3_momentum_support,supports_wave_role,Existing 2.4.2 audit marked EWO as wave-3 momentum support.; useful_for_wave_role; end_ewo_direction=positive; end_ewo_slope=1.16699,0,ema_supports_context,6,impulse_with_htf,6,no,No clear Phase 2.5.1 search use.,do_not_search,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png
2.4.2_context_quality,partial_123_metals_xagusd_h4_major_partial123_003,partial_123_metals_xagusd_h4_major_partial123_003,partial_123,partial_123,Metals,XAGUSD.r,H4,major,bullish,primary_h4_d1,major_operable_higher_degree,soft_context,keep_as_good_example,excellent_example,5,not_applicable,,,,,invalidated_after_3,invalidated_after_3,partial_123_provisional_then_invalidated,False,True,False,context_confirms_good_count,impulse_with_htf,60.0,useful_quality_filter,useful_for_wave_role,useful_regime_filter,ewo_wave3_momentum_support,above_band,no_transition,3.997799999999998,-0.2166857142857168,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\022_partial_123_metals_xagusd_h4_major_partial123_003.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\022_partial_123_metals_xagusd_h4_major_partial123_003.png,,100,high_quality_context,H4/D1 primary base; major as context/higher degree; 2.3.4 keep_as_good_example; visual quality 5; EMA context +6: useful_quality_filter; HTF context +6: impulse_with_htf; useful_regime_filter; EWO supports wave role; context confirms good count,partial 1-2-3 remains provisional; partial invalidated after 3,ewo_wave3_momentum_support,supports_wave_role,Existing 2.4.2 audit marked EWO as wave-3 momentum support.; useful_for_wave_role; end_ewo_direction=positive; end_ewo_slope=-0.216686,0,ema_supports_context,6,impulse_with_htf,6,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\022_partial_123_metals_xagusd_h4_major_partial123_003.png
2.4.2_context_quality,partial_123_forex_audjpy_h4_major_partial123_005,partial_123_forex_audjpy_h4_major_partial123_005,partial_123,partial_123,Forex Majors,AUDJPY.r,H4,major,bullish,primary_h4_d1,major_operable_higher_degree,soft_context,keep_as_good_example,excellent_example,5,not_applicable,,,,,belongs_to_prior_wave_45,belongs_to_prior_wave_45,ambiguous_partial,False,False,False,context_confirms_good_count,impulse_with_htf,85.0,useful_quality_filter,useful_for_momentum_phase,useful_regime_filter,htf_alignment_soft_filter,above_band,no_transition,1.6729857142857014,0.0867142857142653,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\024_partial_123_forex_audjpy_h4_major_partial123_005.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\024_partial_123_forex_audjpy_h4_major_partial123_005.png,,100,high_quality_context,H4/D1 primary base; major as context/higher degree; 2.3.4 keep_as_good_example; visual quality 5; EMA context +6: useful_quality_filter; HTF context +6: impulse_with_htf; useful_regime_filter; EWO partially supports role; context confirms good count,partial 1-2-3 remains provisional; belongs_to_prior_wave_45,ewo_partial123_momentum_context,partially_supports,Partial 1-2-3 uses EWO only as provisional momentum context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=0.0867143,0,ema_supports_context,6,impulse_with_htf,6,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\024_partial_123_forex_audjpy_h4_major_partial123_005.png
2.4.4_contextual_corrections,abc_forex_audjpy_h4_intermediate_abc_002,abc_forex_audjpy_h4_intermediate_abc_002,abc_correction,abc,,AUDJPY.r,H4,intermediate,bearish,primary_h4_d1,intermediate_primary_candidate,soft_context,keep_as_ambiguous_example,,4,,,,,,,,,,,,,correction_against_htf,35.0,,,,,,,,,,D1,bullish_alignment,yes,usable_contextual_correction,yes,htf_regime_context_only,standalone_countertrend_correction,yes,False,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png,,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png,98,high_quality_context,H4/D1 primary base; intermediate primary degree; 2.3.4 ambiguous but useful; visual quality 4; HTF context +4: correction_against_htf; ; ABC has contextual parent/regime,ABC requires contextual parent,ewo_role_context_unavailable,not_available,No leg-level EWO information available in current artifacts.,0,ema_unclear,0,correction_against_htf,4,manual_review,ABC is usable only as contextual correction.,search_h4_correction_context,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png
2.4.2_context_quality,partial_123_forex_audjpy_h4_major_partial123_003,partial_123_forex_audjpy_h4_major_partial123_003,partial_123,partial_123,Forex Majors,AUDJPY.r,H4,major,bullish,primary_h4_d1,major_operable_higher_degree,manual_review_only,keep_as_ambiguous_example,plausible_but_needs_review,3,not_applicable,,,,,valid_partial_123,valid_partial_123,partial_123_provisional,False,False,True,context_improves_confidence,impulse_with_htf,65.0,useful_quality_filter,useful_for_momentum_phase,useful_regime_filter,htf_alignment_soft_filter,above_band,no_transition,0.7616285714285738,-0.1095428571428414,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\021_partial_123_forex_audjpy_h4_major_partial123_003.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\021_partial_123_forex_audjpy_h4_major_partial123_003.png,,94,high_quality_context,H4/D1 primary base; major as context/higher degree; 2.3.4 ambiguous but useful; EMA context +6: useful_quality_filter; HTF context +6: impulse_with_htf; useful_regime_filter; EWO partially supports role; partial 1-2-3 visually valid,partial 1-2-3 remains provisional,ewo_partial123_momentum_context,partially_supports,Partial 1-2-3 uses EWO only as provisional momentum context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=-0.109543,0,ema_supports_context,6,impulse_with_htf,6,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\021_partial_123_forex_audjpy_h4_major_partial123_003.png
2.4.2_context_quality,impulse_forex_gbpusd_h4_major_impulse_012,impulse_forex_gbpusd_h4_major_impulse_012,impulse,impulse,Forex Majors,GBPUSD.r,H4,major,bearish,primary_h4_d1,degree_too_micro,soft_context,keep_as_ambiguous_example,plausible_but_needs_review,3,clean_or_acceptable,premature_wave5_completion,premature_wave5_completion,True,0.1463642013673081,not_applicable,,,,,,context_conflicts_but_explains,correction_against_htf,60.0,useful_trend_context,useful_for_wave_role,useful_correction_context,ewo_wave3_momentum_support,below_band,no_transition,-0.0122701428571427,-0.0040924285714285,negative,D1,mixed_or_unclear,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\012_impulse_forex_gbpusd_h4_major_impulse_012.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\012_impulse_forex_gbpusd_h4_major_impulse_012.png,,91,high_quality_context,H4/D1 primary base; major as context/higher degree; 2.3.4 ambiguous but useful; impulse candidate; EMA context +4: useful_trend_context; HTF context +6: conflict_explained; useful_correction_context; EWO supports wave role; wave5 clean/acceptable,too micro for primary count,ewo_wave3_momentum_support,supports_wave_role,Existing 2.4.2 audit marked EWO as wave-3 momentum support.; useful_for_wave_role; end_ewo_direction=negative; end_ewo_slope=-0.00409243,0,ema_supports_context,4,conflict_explained,6,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\012_impulse_forex_gbpusd_h4_major_impulse_012.png
