phase,objective,generated,main_result,methodological_decision,limitations,current_status
1,pivotes causales anti look-ahead,raw pivots con latencia,base causal OK,base causal OK,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
1.5,structural pivots / major swings,swings alternantes filtrados,sirve como capa estructural,sirve como capa estructural,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
1.6,grados minor/intermediate/major,pivotes por grado,intermediate recomendado; major contexto; minor subestructura,intermediate recomendado; major contexto; minor subestructura,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2,conteo candidato 1-2-3-4-5 / ABC,candidate_counts y count_legs,base experimental de conteo,base experimental de conteo,no senales; no backtests; mantener como lectura visual/diagnostica,vigente con cautela
2.1,falsos negativos / hard vs soft invalidations,revision de invalidaciones,hard invalid se mantiene; soft pasa a ambiguedad,hard invalid se mantiene; soft pasa a ambiguedad,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2.2,diagnostico ausencia impulsos limpios,impulse diagnostics,0 impulsos limpios iniciales era senal de muestra/metodo rigido,0 impulsos limpios iniciales era senal de muestra/metodo rigido,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2.3,revision visual sin indicadores,galerias H1/M30 y H4/D1,H4 mejor que H1/M30; M30 microestructura,H4 mejor que H1/M30; M30 microestructura,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2.3.1,endpoint/incertidumbre onda 5,diagnostico wave5,no degradar agresivo; marcar provisionalidad/subonda,no degradar agresivo; marcar provisionalidad/subonda,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2.3.2,parciales 1-2-3 laxos,diagnostico partial123,parciales siempre provisionales; filtrar micro/lateralidad,parciales siempre provisionales; filtrar micro/lateralidad,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2.3.3,calibracion de grados,metricas y comparativas,intermediate base; major contexto; minor subestructura,intermediate base; major contexto; minor subestructura,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2.3.4,cierre visual H4/D1 count-only,visual closure H4/D1,H4/D1 defendible como base visual,H4/D1 defendible como base visual,no senales; no backtests; mantener como lectura visual/diagnostica,vigente principal
2.4,contexto tecnico EMAs/EWO/HTF,contexto diagnostico,contexto ayuda pero no busca ondas todavia,contexto ayuda pero no busca ondas todavia,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2.4.1/2.4.2,auditoria visual contexto,context quality audit,EMAs/EWO/HTF ayudan como filtros blandos,EMAs/EWO/HTF ayudan como filtros blandos,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2.4.3,ABC corregido,ABC sin lineas hacia atras,ABC limpio visualmente pero insuficiente aislado,ABC limpio visualmente pero insuficiente aislado,no senales; no backtests; mantener como lectura visual/diagnostica,experimental
2.4.4,correcciones contextuales,ABC con padre/contexto,ABC solo entra si se sabe que corrige,ABC solo entra si se sabe que corrige,no senales; no backtests; mantener como lectura visual/diagnostica,experimental/contexto
2.4.5,cierre pre-2.5,readiness matrix,define politicas para 2.5,define politicas para 2.5,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2.5.0,scoring/contexto guiado,137 candidatos integrados,"calidad metodologica, no probabilidad","calidad metodologica, no probabilidad",no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2.5.1,perfil minimo impulso guiado,"3 seeds, 13 near-misses, 121 no",perfil H4/D1 intermediate coherente,perfil H4/D1 intermediate coherente,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
2.5.2,expansion controlada H4/D1,"54 H4/D1; 3 yes, 9 near, 42 no",perfil aguanta muestra controlada,perfil aguanta muestra controlada,no senales; no backtests; mantener como lectura visual/diagnostica,vigente principal
2.5.2b,H1/H4 auxiliar y prominencia,"54 H1/H4; 4 yes_aux, 8 near, 42 no",H1/H4 auxiliar; escala/prominencia importa,H1/H4 auxiliar; escala/prominencia importa,no senales; no backtests; mantener como lectura visual/diagnostica,vigente auxiliar
2.5.3,estadistica descriptiva offline,"inventario, estadisticas, readiness 2.5.4",prominencia debe pasar a regla blanda,prominencia debe pasar a regla blanda,no senales; no backtests; mantener como lectura visual/diagnostica,vigente
