candidate_id,structure_type,timeframe_policy,swing_degree,guided_quality_score,guided_quality_bucket,ready_for_phase251_search,phase251_reason,suggested_next_search_mode,chart_path
impulse_forex_audjpy_h4_minor_impulse_005,impulse,primary_h4_d1,minor,76,high_quality_context,no,No clear Phase 2.5.1 search use.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\001_impulse_forex_audjpy_h4_minor_impulse_005.png
impulse_metals_xagusd_h4_minor_impulse_001,impulse,primary_h4_d1,minor,76,high_quality_context,no,No clear Phase 2.5.1 search use.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\002_impulse_metals_xagusd_h4_minor_impulse_001.png
impulse_index_hk50_h4_minor_impulse_012,impulse,primary_h4_d1,minor,82,high_quality_context,no,No clear Phase 2.5.1 search use.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\003_impulse_index_hk50_h4_minor_impulse_012.png
impulse_forex_eurjpy_h4_minor_impulse_022,impulse,primary_h4_d1,minor,23,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\004_impulse_forex_eurjpy_h4_minor_impulse_022.png
impulse_forex_eurusd_h4_intermediate_impulse_007,impulse,primary_h4_d1,intermediate,100,high_quality_context,yes,High-quality H4/D1 intermediate impulse context.,search_h4_intermediate_impulse,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png
impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,primary_h4_d1,intermediate,100,high_quality_context,yes,High-quality H4/D1 intermediate impulse context.,search_h4_intermediate_impulse,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png
impulse_index_aus200_h4_intermediate_impulse_015,impulse,primary_h4_d1,intermediate,60,usable_but_provisional,manual_review,Useful as context but requires review or remains experimental.,search_auxiliary_substructure,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\007_impulse_index_aus200_h4_intermediate_impulse_015.png
impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,primary_h4_d1,intermediate,100,high_quality_context,yes,High-quality H4/D1 intermediate impulse context.,search_h4_intermediate_impulse,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png
impulse_forex_eurusd_h4_major_impulse_011,invalid_or_negative,primary_h4_d1,major,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\009_impulse_forex_eurusd_h4_major_impulse_011.png
impulse_metals_xpdusd_h4_major_impulse_001,impulse,primary_h4_d1,major,84,high_quality_context,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\010_impulse_metals_xpdusd_h4_major_impulse_001.png
impulse_index_aus200_h4_major_impulse_013,impulse,primary_h4_d1,major,100,high_quality_context,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\011_impulse_index_aus200_h4_major_impulse_013.png
impulse_forex_gbpusd_h4_major_impulse_012,impulse,primary_h4_d1,major,91,high_quality_context,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\012_impulse_forex_gbpusd_h4_major_impulse_012.png
partial_123_forex_audjpy_h4_intermediate_partial123_002,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png
partial_123_metals_xagusd_h4_intermediate_partial123_001,partial_123,primary_h4_d1,intermediate,100,high_quality_context,no,No clear Phase 2.5.1 search use.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png
partial_123_index_aus200_h4_intermediate_partial123_006,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\015_partial_123_index_aus200_h4_intermediate_partial123_006.png
partial_123_forex_audjpy_h4_intermediate_partial123_005,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png
partial_123_forex_audjpy_h4_minor_partial123_002,invalid_or_negative,primary_h4_d1,minor,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\017_partial_123_forex_audjpy_h4_minor_partial123_002.png
partial_123_metals_xagusd_h4_minor_partial123_001,partial_123,primary_h4_d1,minor,72,usable_but_provisional,manual_review,Useful as context but requires review or remains experimental.,search_auxiliary_substructure,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\018_partial_123_metals_xagusd_h4_minor_partial123_001.png
partial_123_index_aus200_h4_minor_partial123_005,partial_123,primary_h4_d1,minor,82,high_quality_context,no,No clear Phase 2.5.1 search use.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\019_partial_123_index_aus200_h4_minor_partial123_005.png
partial_123_forex_audjpy_h4_minor_partial123_005,partial_123,primary_h4_d1,minor,81,high_quality_context,no,No clear Phase 2.5.1 search use.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\020_partial_123_forex_audjpy_h4_minor_partial123_005.png
partial_123_forex_audjpy_h4_major_partial123_003,partial_123,primary_h4_d1,major,94,high_quality_context,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\021_partial_123_forex_audjpy_h4_major_partial123_003.png
partial_123_metals_xagusd_h4_major_partial123_003,partial_123,primary_h4_d1,major,100,high_quality_context,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\022_partial_123_metals_xagusd_h4_major_partial123_003.png
partial_123_index_aus200_h4_major_partial123_006,invalid_or_negative,primary_h4_d1,major,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\023_partial_123_index_aus200_h4_major_partial123_006.png
partial_123_forex_audjpy_h4_major_partial123_005,partial_123,primary_h4_d1,major,100,high_quality_context,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\024_partial_123_forex_audjpy_h4_major_partial123_005.png
abc_forex_audjpy_h4_abc_002,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\025_abc_forex_audjpy_h4_abc_002.png
abc_metals_xagusd_h4_abc_003,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\026_abc_metals_xagusd_h4_abc_003.png
abc_index_aus200_h4_abc_006,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\027_abc_index_aus200_h4_abc_006.png
abc_forex_audjpy_h4_abc_005,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\028_abc_forex_audjpy_h4_abc_005.png
abc_index_aus200_h4_abc_005,invalid_or_negative,primary_h4_d1,minor,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\029_abc_index_aus200_h4_abc_005.png
abc_forex_audjpy_h4_abc_009,invalid_or_negative,primary_h4_d1,minor,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\030_abc_forex_audjpy_h4_abc_009.png
abc_forex_eurjpy_h4_abc_004,invalid_or_negative,primary_h4_d1,minor,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\031_abc_forex_eurjpy_h4_abc_004.png
abc_forex_eurusd_h4_abc_002,invalid_or_negative,primary_h4_d1,minor,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\032_abc_forex_eurusd_h4_abc_002.png
abc_forex_audjpy_h4_abc_003,invalid_or_negative,primary_h4_d1,major,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\033_abc_forex_audjpy_h4_abc_003.png
abc_forex_audjpy_h4_abc_013,invalid_or_negative,primary_h4_d1,major,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\034_abc_forex_audjpy_h4_abc_013.png
abc_forex_eurjpy_h4_abc_003,invalid_or_negative,primary_h4_d1,major,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\035_abc_forex_eurjpy_h4_abc_003.png
abc_forex_eurusd_h4_abc_003,invalid_or_negative,primary_h4_d1,major,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\036_abc_forex_eurusd_h4_abc_003.png
near_miss_forex_audjpy_h4_intermediate_impulse_002,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\037_near_miss_forex_audjpy_h4_intermediate_impulse_002.png
near_miss_metals_xagusd_h4_intermediate_impulse_003,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\038_near_miss_metals_xagusd_h4_intermediate_impulse_003.png
near_miss_index_aus200_h4_intermediate_impulse_009,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\039_near_miss_index_aus200_h4_intermediate_impulse_009.png
near_miss_forex_audjpy_h4_minor_impulse_002,invalid_or_negative,primary_h4_d1,minor,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\040_near_miss_forex_audjpy_h4_minor_impulse_002.png
near_miss_metals_xagusd_h4_minor_impulse_005,invalid_or_negative,primary_h4_d1,minor,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\041_near_miss_metals_xagusd_h4_minor_impulse_005.png
near_miss_index_aus200_h4_minor_impulse_005,invalid_or_negative,primary_h4_d1,minor,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\042_near_miss_index_aus200_h4_minor_impulse_005.png
near_miss_forex_audjpy_h4_major_impulse_005,invalid_or_negative,primary_h4_d1,major,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\043_near_miss_forex_audjpy_h4_major_impulse_005.png
near_miss_metals_xagusd_h4_major_impulse_003,invalid_or_negative,primary_h4_d1,major,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\044_near_miss_metals_xagusd_h4_major_impulse_003.png
near_miss_index_aus200_h4_major_impulse_009,invalid_or_negative,primary_h4_d1,major,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\045_near_miss_index_aus200_h4_major_impulse_009.png
hard_invalid_forex_audjpy_h4_intermediate_impulse_001,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\046_hard_invalid_forex_audjpy_h4_intermediate_impulse_001.png
hard_invalid_metals_xagusd_h4_intermediate_impulse_001,invalid_or_negative,primary_h4_d1,intermediate,0,exclude,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\047_hard_invalid_metals_xagusd_h4_intermediate_impulse_001.png
