candidate_id,source_scope,symbol,timeframe,swing_degree,trend_context_label,ema_htf_helpfulness,end_ltf_price_vs_ema_band,htf_timeframe,htf_ema_alignment,htf_price_vs_ema_band,ema_htf_policy_label,ema_htf_soft_support,ema_htf_score_delta,ema_band_warning,htf_conflict_warning,context_must_not_rescue_bad_count,ema_htf_policy_reason,chart_path
impulse_exp252_forex_audjpy_h4_minor_impulse_004,h4_d1,AUDJPY.r,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\001_impulse_exp252_forex_audjpy_h4_minor_impulse_004.png
impulse_exp252_metals_xagusd_h4_minor_impulse_004,h4_d1,XAGUSD.r,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png
impulse_exp252_index_aus200_h4_minor_impulse_028,h4_d1,AUS200,H4,minor,correction_against_htf,explains_correction,below_band,D1,bullish_alignment,inside_band,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\003_impulse_exp252_index_aus200_h4_minor_impulse_028.png
impulse_exp252_forex_audjpy_h4_minor_impulse_022,h4_d1,AUDJPY.r,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\004_impulse_exp252_forex_audjpy_h4_minor_impulse_022.png
impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,h4_d1,AUDJPY.r,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png
impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,h4_d1,XAGUSD.r,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png
impulse_exp252_index_aus200_h4_intermediate_impulse_020,h4_d1,AUS200,H4,intermediate,correction_against_htf,explains_correction,below_band,D1,bullish_alignment,inside_band,ema_htf_correction_context,contextual,-10,,htf_conflict_warning,True,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning; context_must_not_rescue_bad_count,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png
impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007,h4_d1,EURJPY.r,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\008_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png
impulse_exp252_forex_eurusd_h4_major_impulse_016,h4_d1,EURUSD.r,H4,major,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\009_impulse_exp252_forex_eurusd_h4_major_impulse_016.png
impulse_exp252_metals_xagusd_h4_major_impulse_002,h4_d1,XAGUSD.r,H4,major,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png
