candidate_id,resolved_market_group,selection_reason,phase257_policy_bucket,phase257_visual_verdict,market_group_bias_risk,visual_quality_score,prominence_verdict,ewo_verdict,ema_htf_verdict,notes,chart_path
impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,Forex Majors,best_high_quality,high_quality_structure,policy_correct,low,5,prominence_ok,ewo_supports,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\001_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png
impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007,Forex Majors,best_usable_provisional,usable_provisional_structure,policy_correct,low,4,prominence_ok,ewo_supports,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\002_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png
impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022,Forex Majors,auxiliary_low_prominence,auxiliary_low_prominence_substructure,group_specific_behavior,medium,3,needs_group_percentile,ewo_unclear,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\003_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022.png
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028,Forex Majors,excluded_near_threshold,exclude_from_guided_search,policy_correct,medium,2,low_prominence_confirmed,ewo_supports,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028.png
impulse_exp257_forex_majors_audcadr_h4_major_impulse_036,Forex Majors,ewo_support_case,usable_provisional_structure,policy_correct,low,4,prominence_ok,ewo_supports,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\005_impulse_exp257_forex_majors_audcadr_h4_major_impulse_036.png
abc_exp257_forex_majors_audcadr_h4_minor_abc_005,Forex Majors,ema_htf_conflict_or_misleading,exclude_from_guided_search,policy_correct,low,2,not_applicable,ewo_unclear,ema_htf_misleading,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\006_abc_exp257_forex_majors_audcadr_h4_minor_abc_005.png
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080,Forex Majors,low_prominence_case,exclude_from_guided_search,policy_correct,medium,2,low_prominence_confirmed,ewo_supports,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\007_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png
impulse_exp257_index_aus200_h4_major_impulse_023,Index,best_usable_provisional,usable_provisional_structure,policy_correct,low,4,prominence_ok,ewo_supports,not_applicable,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\008_impulse_exp257_index_aus200_h4_major_impulse_023.png
impulse_aux252b_index_aus200_h1_intermediate_impulse_007,Index,auxiliary_low_prominence,auxiliary_low_prominence_substructure,group_specific_behavior,medium,3,needs_group_percentile,ewo_supports,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\009_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png
impulse_exp257_index_aus200_h4_minor_impulse_049,Index,excluded_near_threshold,exclude_from_guided_search,policy_correct,medium,2,low_prominence_confirmed,ewo_supports,not_applicable,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\010_impulse_exp257_index_aus200_h4_minor_impulse_049.png
